序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300691,联合光电,20.88,16.58,2.97,11104.0,23185152.0,0.0,20.88,20.88,20.88,17.91,62.23,0.53,-58.55,3.54,5617738234.0,4397675568.0,-2.84,-2.84,-7.69,6.31
2,300651,金陵体育,23.0,12.75,2.6,16700.0,38410000.0,0.0,23.0,23.0,23.0,20.4,37.81,2.23,-437.05,3.87,2961312974.0,1724449748.0,-6.05,-6.05,70.12,83.85
3,300003,乐普医疗,13.14,11.73,1.38,66248.0,87050134.8,0.0,13.14,13.14,13.14,11.76,91.41,0.41,16.32,1.6,24711229617.0,21235533239.0,0.69,0.84,12.6,15.87
4,002951,金时科技,10.2,10.03,0.93,4804.0,4900080.0,0.0,10.2,10.2,10.2,9.27,23.84,0.12,-40.83,2.14,4131000000.0,4130984700.0,0.0,0.0,67.21,52.69
5,002826,易明医药,13.4,10.02,1.22,1999.0,2678660.0,0.0,13.4,13.4,13.4,12.18,5.47,0.12,33.99,3.36,2555081850.0,2314364049.0,0.0,0.0,28.11,29.34
6,605099,共创草坪,30.77,10.01,2.8,7893.0,24286761.0,0.0,30.77,30.77,30.77,27.97,70.5,0.2,19.81,4.65,12358524340.0,12310769300.0,0.0,0.0,46.25,46.66
7,000889,中嘉博创,2.97,10.0,0.27,11536.0,3426307.83,0.0,2.97,2.97,2.97,2.7,13.39,0.13,-123.21,29.37,2780784615.0,2583453538.0,0.0,0.0,13.36,14.67
8,605005,合兴股份,24.19,10.0,2.2,15983.0,38664038.0,0.0,24.19,24.19,24.19,21.99,32.46,0.4,46.64,4.83,9700190000.0,9700190000.0,0.0,0.0,44.5,48.4
9,600468,百利电气,8.48,9.99,0.77,146749.0,124443152.0,0.0,8.48,8.48,8.48,7.71,15.17,1.35,72.12,4.71,9223995522.0,9223995522.0,0.0,0.0,96.75,80.43
10,603226,菲林格尔,9.04,9.98,0.82,26897.0,24314834.0,0.0,9.04,9.04,9.04,8.22,102.71,0.76,-58.77,3.46,3213645601.0,3213645601.0,0.0,0.0,32.55,91.12
11,000566,海南海药,7.4,9.96,0.67,74399.0,55055260.0,0.0,7.4,7.4,7.4,6.73,23.81,0.64,-35.11,21.02,9600501932.0,8627732024.0,0.0,0.0,45.96,54.49
