序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301316,慧博云通,50.11,20.0,8.35,24612.0,123330381.23,0.0,50.11,50.11,50.11,41.76,0.19,1.01,1215.82,20.0,20244440000.0,12168036065.0,0.0,0.0,91.55,95.97
2,301105,鸿铭股份,39.72,20.0,6.62,38602.0,149380863.51,8.55,39.72,36.89,39.2,33.1,5.96,23.48,123.1,2.35,1986000000.0,652897381.0,0.0,0.0,32.18,42.88
3,301571,国科天成,53.69,20.0,8.95,118319.0,604027576.54,20.88,53.69,44.35,44.58,44.74,8.75,32.97,182.28,5.22,9633377001.0,1926675422.0,0.0,0.0,21.44,26.3
4,301138,华研精机,38.95,19.99,6.49,139398.0,505529374.85,22.77,38.95,31.56,32.3,32.46,6.25,20.33,82.98,4.18,4674000000.0,2670417453.0,0.0,0.0,33.62,46.48
5,688336,三生国健,56.68,19.98,9.44,206003.0,1128673469.0,13.04,56.69,50.53,51.41,47.24,4.87,3.34,84.89,6.16,34959418747.0,34959418747.0,-0.02,-0.02,115.92,164.61
6,300418,昆仑万维,37.23,19.37,6.04,1360438.0,4796151976.62,17.41,37.43,32.0,32.51,31.19,11.28,11.05,-14.91,3.4,45848560860.0,45848560860.0,0.24,0.43,-12.15,-3.25
7,872931,无锡鼎邦,21.74,18.73,3.43,88618.0,188897025.48,22.94,23.0,18.8,18.9,18.31,5.15,30.8,61.5,5.11,2042038200.0,625585892.0,0.65,-0.14,53.1,104.71
8,300643,万通智控,23.9,16.59,3.4,267369.0,600455541.32,17.8,24.43,20.78,21.0,20.5,2.34,11.62,37.33,4.63,5514668338.0,5500537845.0,0.25,-0.04,76.91,99.83
9,301606,绿联科技,50.6,13.15,5.88,61066.0,286437314.65,14.56,50.64,44.13,44.6,44.72,2.82,18.39,34.93,7.48,20994436184.0,1680016950.0,2.06,2.02,9.74,33.86
10,688062,迈威生物-U,23.61,12.38,2.6,162077.0,361754610.0,17.09,24.18,20.59,20.88,21.01,1.8,7.94,-8.09,7.39,9434556000.0,4820453700.0,-0.38,-1.54,19.54,16.88
11,688173,希荻微,15.29,11.12,1.53,379714.0,598029965.0,11.05,16.51,14.99,14.99,13.76,4.86,15.81,-57.52,4.28,6273626200.0,3671543711.0,-0.39,0.13,21.64,38.0
12,600149,廊坊发展,6.22,10.09,0.57,183040.0,111860251.0,6.19,6.22,5.87,6.0,5.65,1.02,4.81,84.03,9.89,2364595200.0,2364595200.0,0.0,0.0,42.33,52.45
13,600770,综艺股份,7.55,10.06,0.69,2258383.0,1704114962.0,1.75,7.55,7.43,7.55,6.86,7.09,17.37,-377.99,2.99,9815000000.0,9815000000.0,0.0,0.0,65.93,80.19
14,600379,宝光股份,11.94,10.05,1.09,165998.0,198008308.0,1.29,11.94,11.8,11.94,10.85,4.97,5.03,52.58,5.12,3942606674.0,3942606674.0,0.0,0.0,26.48,26.35
15,601956,东贝集团,6.91,10.03,0.63,583175.0,393429085.0,10.67,6.91,6.24,6.26,6.28,1.21,9.43,23.74,1.69,4296513896.0,4274719826.0,0.0,0.0,34.96,43.06
16,002471,中超控股,4.28,10.03,0.39,1696784.0,719879452.0,8.48,4.28,3.95,3.95,3.89,0.63,13.0,-72.38,3.39,5859320000.0,5585386146.0,0.0,0.0,62.74,56.78
17,002990,盛视科技,30.64,10.02,2.79,173230.0,510446204.98,11.27,30.64,27.5,27.73,27.85,2.15,12.92,66.16,3.36,8006458368.0,4108682688.0,0.0,0.0,-8.51,33.45
18,002735,王子新材,17.24,10.02,1.57,1826163.0,3067848730.27,13.72,17.24,15.09,15.63,15.67,2.77,65.08,195.62,3.81,6585792974.0,4837471764.0,0.0,0.0,85.38,86.18
19,600990,四创电子,22.73,10.02,2.07,131360.0,287906418.0,11.04,22.73,20.45,20.52,20.66,1.37,4.88,-73.5,3.32,6211877427.0,6114658580.0,0.0,0.0,-2.82,6.81
20,603192,汇得科技,21.41,10.02,1.95,10720.0,22951306.0,0.0,21.41,21.41,21.41,19.46,0.46,0.77,39.07,1.92,3022100010.0,2968853340.0,0.0,0.0,31.11,44.27
21,002099,海翔药业,5.82,10.02,0.53,571283.0,323541585.91,10.21,5.82,5.28,5.3,5.29,10.79,3.54,255.17,1.83,9420922772.0,9403361563.0,0.0,0.0,19.75,12.79
22,603900,莱绅通灵,10.76,10.02,0.98,626734.0,657713263.0,7.26,10.76,10.05,10.17,9.78,2.71,18.35,32.56,1.9,3690936518.0,3674635118.0,0.0,0.0,79.63,94.58
23,603390,通达电气,12.85,10.02,1.17,571952.0,710185081.0,10.27,12.85,11.65,12.0,11.68,5.52,16.35,60.29,2.81,4518984994.0,4494355155.0,0.0,0.0,14.83,17.03
24,002023,海特高新,10.77,10.01,0.98,522277.0,546747576.73,9.6,10.77,9.83,9.83,9.79,6.88,7.05,105.99,1.86,7979064731.0,7979064731.0,0.0,0.0,1.7,6.11
25,603607,京华激光,24.07,10.01,2.19,312807.0,731293630.0,11.75,24.07,21.5,21.5,21.88,2.18,17.52,42.28,4.08,4296899376.0,4296899376.0,0.0,0.0,29.62,47.85
26,600137,浪莎股份,24.73,10.01,2.25,20486.0,50661581.0,0.0,24.73,24.73,24.73,22.48,0.63,2.11,64.53,4.37,2404190951.0,2404190951.0,0.0,0.0,61.11,76.01
27,002989,中天精装,34.52,10.01,3.14,96162.0,321501259.34,10.9,34.52,31.1,31.59,31.38,2.08,5.26,448.78,4.62,6819603019.0,6313738309.0,0.0,0.0,39.53,56.34
28,603839,安正时尚,7.58,10.01,0.69,102058.0,75717246.0,9.87,7.58,6.9,6.9,6.89,0.45,2.56,32.82,1.61,3026028173.0,3026028173.0,0.0,0.0,33.45,37.32
29,001279,强邦新材,43.97,10.01,4.0,93377.0,399765545.59,9.26,43.97,40.27,40.42,39.97,5.64,24.82,85.18,7.04,7035200000.0,1654325829.0,0.0,0.0,10.12,6.93
30,603359,东珠生态,8.47,10.0,0.77,516294.0,424946095.0,13.25,8.47,7.45,7.5,7.7,0.77,11.57,-2392.26,1.41,3778433120.0,3778433120.0,0.0,0.0,84.13,53.16
31,600793,宜宾纸业,33.54,10.0,3.05,321855.0,993308169.0,16.63,33.54,28.47,29.5,30.49,2.13,18.19,92.55,24.95,5933360227.0,5933360227.0,0.0,0.0,70.6,44.38
32,600495,晋西车轴,4.84,10.0,0.44,1057770.0,497527962.0,10.91,4.84,4.36,4.36,4.4,3.47,8.75,186.97,1.79,5847643888.0,5847643888.0,0.0,0.0,22.84,27.37
33,001367,海森药业,22.77,10.0,2.07,82918.0,183403356.33,8.65,22.77,20.98,20.98,20.7,3.72,21.42,27.71,2.54,3459365039.0,881401949.0,0.0,0.0,25.73,24.49
34,002045,国光电器,16.17,10.0,1.47,535823.0,842237859.46,11.5,16.17,14.48,14.62,14.7,4.91,9.54,70.09,2.03,9095352244.0,9084837702.0,0.0,0.0,-14.35,-25.45
35,000561,烽火电子,8.7,9.99,0.79,208198.0,177770123.27,11.0,8.7,7.83,7.91,7.91,2.24,3.46,-29.9,2.81,6522992075.0,5235573592.0,0.0,0.0,4.07,-1.58
36,000695,滨海能源,13.76,9.99,1.25,15862.0,21826112.0,0.0,13.76,13.76,13.76,12.51,1.21,0.72,-77.59,20.8,3056750137.0,3050872209.0,0.0,0.0,17.71,32.95
37,605033,美邦股份,19.15,9.99,1.74,128105.0,234467339.0,12.12,19.15,17.04,17.72,17.41,4.89,9.48,21.61,2.24,2589080000.0,2589080000.0,0.0,0.0,-3.33,59.19
38,002364,中恒电气,17.28,9.99,1.57,355193.0,610726217.56,2.86,17.28,16.83,16.83,15.71,1.25,6.36,119.98,3.97,9738402509.0,9644032973.0,0.0,0.0,-7.49,60.15
39,002952,亚世光电,21.58,9.99,1.96,72783.0,152984574.5,10.7,21.58,19.48,20.18,19.62,5.65,5.51,198.82,4.08,3546457200.0,2849531791.0,0.0,0.0,-4.89,-19.63
40,002365,永安药业,18.51,9.98,1.68,802164.0,1392956427.72,12.18,18.51,16.46,17.8,16.83,1.38,32.67,-312.25,2.76,5454573075.0,4545317470.0,0.0,0.0,120.62,131.66
41,603333,尚纬股份,6.18,9.96,0.56,175577.0,106215665.0,10.32,6.18,5.6,5.6,5.62,1.81,2.82,-66.25,1.85,3841040481.0,3841040481.0,0.0,0.0,23.35,10.95
42,002519,银河电子,5.08,9.96,0.46,1214714.0,607452052.56,11.26,5.08,4.56,4.61,4.62,5.73,10.87,-87.84,2.46,5722268962.0,5678858472.0,0.0,0.0,-1.17,-14.48
43,002259,升达林业,4.22,9.9,0.38,291597.0,117785382.38,12.5,4.22,3.74,3.81,3.84,1.38,3.88,69.82,11.95,3174825287.0,3174825287.0,0.0,0.0,64.84,77.31
44,300366,创意信息,8.13,9.86,0.73,791426.0,628645728.8,13.92,8.37,7.34,7.46,7.4,3.5,14.92,-20.78,2.77,4939594100.0,4312985244.0,0.37,0.0,-27.28,-12.58
45,002431,棕榈股份,2.9,9.85,0.26,339737.0,98523587.9,0.0,2.9,2.9,2.9,2.64,0.68,1.87,-8.12,3.51,5257167169.0,5257167169.0,0.0,0.0,42.16,38.76
