序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002104,恒宝股份,9.988776206970215,9.8,123118968,5875511639.200001,6940185168.000001,2.095459461212158,402295292,092500,092500,0,3/3,3,通信设备
2,002177,御银股份,9.936908721923828,6.97,55622705,4664394494.58,5305503333.12,1.1924957036972046,1342530244,092500,092500,0,4/4,4,计算机设
3,002246,北化股份,10.025928497314453,12.73,114053162,6989212927.62,6989213004.0,1.6318455934524536,236250978,092500,092500,0,1/1,1,化学制品
4,603056,德邦股份,10.0,22.88,579095152,23333376077.44,23333376168.96,2.4818317890167236,276115840,092500,092500,0,5/5,5,物流行业
5,603879,永悦科技,10.0,5.94,28833532,2134505973.6000001,2134506021.1200001,1.3508293628692627,250919083,092501,092501,0,2/2,2,塑料制品
6,603123,翠微股份,10.04444408416748,12.38,56517176,8075176248.620001,9888359999.36,0.6998878121376038,774751542,092502,092502,0,3/3,3,多元金融
7,605005,合兴股份,10.00500202178955,21.99,338804800,8817990000.0,8817990000.0,4.207963943481445,565325187,092503,094021,0,4/3,1,汽车零部
8,605099,共创草坪,9.988203048706055,27.97,65765861,11190517300.0,11233926740.0,0.5876927971839905,93791801,092503,092503,0,2/2,2,家用轻工
9,002633,申科股份,9.974093437194824,16.98,66695180,2537130375.0,2547000000.0,2.628793239593506,48581308,093000,093000,0,2/2,2,通用设备
10,003009,中天火箭,9.990253448486328,45.14,625311760,7014437176.18,7014472836.78,9.054341316223145,109143780,093012,095436,3,2/2,2,航天航空
11,002537,海联金汇,9.963985443115234,9.16,2150742224,10753993384.2,10753993448.32,20.278291702270508,417921336,093027,093851,2,3/3,3,汽车零部
12,603017,中衡设计,9.989806175231934,10.79,539754400,2977023344.62,2977023323.04,18.4210262298584,51823291,093040,100231,6,2/2,2,工程咨询
13,001268,联合精密,10.013908386230469,23.73,79227315,988891011.57,2561258015.82,8.078448295593262,108493560,093054,093054,0,1/1,1,通用设备
14,603906,龙蟠科技,9.991312026977539,12.66,537711632,7153898911.9800005,8419898823.36,7.5626115798950195,157419845,093108,094250,2,1/1,1,电池
15,002250,联化科技,10.0,10.12,1044993392,9174125658.72,9222691174.4,11.5342435836792,127038384,093115,094024,4,4/4,4,农药兽药
16,002951,金时科技,9.964412689208984,9.27,44963597,3754336095.0,3754350000.0,1.215979814529419,148967973,093136,093136,0,1/1,1,包装材料
17,603681,永冠新材,10.029498100280762,18.65,214894249,3564593243.2499995,3564593243.2499995,6.1651291847229,322913037,093157,093157,0,7/5,1,化学制品
18,600521,华海药业,10.005784034729004,19.02,1331064704,27897690960.42,28680407116.8,4.8156304359436035,96421509,093233,100342,3,1/1,1,化学制药
19,002526,山东矿机,10.0,3.96,667233344,7013494374.48,7059863606.4,9.638824462890625,319589922,093248,095706,1,1/1,1,专用设备
20,002550,千红制药,10.051546096801758,8.54,1157623968,8179096013.199999,10929491999.999998,14.46744441986084,163433396,093248,094827,9,4/2,1,化学制药
21,002082,万邦德,10.063898086547852,6.89,177493950,3811933302.58,4214537595.8399997,4.712369441986084,118005719,093254,093254,0,2/2,2,化学制药
22,002907,华森制药,9.985458374023438,22.69,667990000,7008671102.450001,9475260500.800001,9.799735069274902,97463034,093254,095403,1,5/5,5,中药
