序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002104,恒宝股份,9.988776206970215,9.8,128495248,5875511639.200001,6940185168.000001,2.186962604522705,367861032,092500,092500,0,3/3,3,通信设备
2,002177,御银股份,9.936908721923828,6.97,61194523,4664394494.58,5305503333.12,1.3119499683380127,1272336071,092500,092500,0,4/4,4,计算机设
3,002246,北化股份,10.025928497314453,12.73,118233694,6989212927.62,6989213004.0,1.691659688949585,233930299,092500,092500,0,1/1,1,化学制品
4,603056,德邦股份,10.0,22.88,638508752,23333376077.44,23333376168.96,2.7364611625671387,199523941,092500,092500,0,5/5,5,物流行业
5,603879,永悦科技,10.0,5.94,29178646,2134505973.6000001,2134506021.1200001,1.3669975996017456,232280551,092501,092501,0,2/2,2,塑料制品
6,603123,翠微股份,10.04444408416748,12.38,59399240,8075176248.620001,9888359999.36,0.7355782389640808,673221924,092502,092502,0,3/3,3,多元金融
7,605005,合兴股份,10.00500202178955,21.99,345327040,8817990000.0,8817990000.0,4.281929016113281,560584143,092503,094021,0,4/3,1,汽车零部
8,605099,共创草坪,9.988203048706055,27.97,68392244,11190517300.0,11233926740.0,0.6111624836921692,86986700,092503,092503,0,2/2,2,家用轻工
9,002633,申科股份,9.974093437194824,16.98,72374990,2537130375.0,2547000000.0,2.852660655975342,48053230,093000,093000,0,2/2,2,通用设备
10,003009,中天火箭,9.990253448486328,45.14,630809808,7014437176.18,7014472836.78,9.132722854614258,90437764,093012,095436,3,2/2,2,航天航空
11,002537,海联金汇,9.963985443115234,9.16,2172298464,10753993384.2,10753993448.32,20.47873878479004,357035732,093027,093851,2,3/3,3,汽车零部
12,603017,中衡设计,9.989806175231934,10.79,570724944,2977023344.62,2977023323.04,19.46134376525879,4978506,093040,100231,6,2/2,2,工程咨询
13,001268,联合精密,10.013908386230469,23.73,82748847,988891011.57,2561258015.82,8.43455696105957,101300997,093054,093054,0,1/1,1,通用设备
14,603906,龙蟠科技,9.991312026977539,12.66,545315232,7153898911.9800005,8419898823.36,7.66889762878418,154602654,093108,094250,2,1/1,1,电池
15,002250,联化科技,10.0,10.12,1164688176,9174125658.72,9222691174.4,12.840782165527344,96379641,093115,103803,5,4/4,4,农药兽药
16,002951,金时科技,9.964412689208984,9.27,45720956,3754336095.0,3754350000.0,1.2361527681350708,141806898,093136,093136,0,1/1,1,包装材料
17,603681,永冠新材,10.029498100280762,18.65,218874159,3564593243.2499995,3564593243.2499995,6.276780128479004,278746107,093157,093157,0,7/5,1,化学制品
18,002526,山东矿机,10.0,3.96,685909152,7013494374.48,7059863606.4,9.905107498168945,259415244,093248,095706,1,1/1,1,专用设备
19,002550,千红制药,10.051546096801758,8.54,1321182560,8179096013.199999,10929491999.999998,16.468807220458984,192094993,093248,103954,10,4/2,1,化学制药
20,002082,万邦德,10.063898086547852,6.89,179839306,3811933302.58,4214537595.8399997,4.773896217346191,114557274,093254,093254,0,2/2,2,化学制药
21,301024,霍普股份,19.9956111907959,54.67,307831568,3291680700.0,3476191950.0,9.66268253326416,117237901,093257,093342,1,3/3,3,工程建设
22,000566,海南海药,9.967320442199707,6.73,458320304,7846572503.09,8731267257.6,6.027421474456787,234647305,093330,093330,0,2/2,2,化学制药
23,600794,保税科技,9.932279586791992,4.87,432561744,5844741004.59,5844741019.2,7.569231986999512,220374318,093434,093434,0,1/1,1,物流行业
24,603506,南都物业,9.97624683380127,13.89,98345295,2608233350.31,2608233350.31,3.87137508392334,89899941,093617,093617,0,4/2,1,房地产服
25,603093,南华期货,9.992313385009766,14.31,260801912,8730042928.83,8730042857.28,3.057027578353882,146471436,093725,094234,1,1/1,1,多元金融
26,300651,金陵体育,20.0,20.4,311750336,1529511950.3999999,2626555855.2,21.457075119018555,243650664,093942,093942,0,1/1,1,家用轻工
27,002565,顺灏股份,9.976798057556152,4.74,270404560,5024187515.280001,5024347518.72,5.485380172729492,237495690,094124,094124,0,1/1,1,包装材料
28,002968,新大正,10.018552780151367,11.86,160558512,2527360461.38,2683654506.3799996,6.624797821044922,115712860,094521,094521,0,3/2,1,房地产服
29,600561,江西长运,9.954058647155762,7.18,107451269,2042543424.0,2042543424.0,5.4118499755859375,104860310,095003,095003,0,1/1,1,铁路公路
30,002798,帝欧家居,10.058026313781738,5.69,100505641,1846268104.2900002,2242992719.6800003,5.638000965118408,129173492,095015,095015,0,1/1,1,装修建材
31,002682,龙洲股份,10.080645561218262,5.46,252775918,3070471371.24,3070532512.32,8.553881645202637,345490099,095115,095115,0,1/1,1,物流行业
32,300865,大宏立,19.982698440551758,27.74,209243702,1879330962.4799998,2654163200.0,11.744414329528809,351684946,095618,095618,0,1/1,1,专用设备
33,000953,河化股份,9.951457023620605,9.06,563264960,3317067086.7000003,3317067059.52,17.89122772216797,223860559,095627,095627,0,1/1,1,化学制药
34,601825,沪农商行,10.044642448425293,9.86,1257904992,91861514384.73999,95094221941.76,1.382981777191162,158486474,095709,104103,20,1/1,1,银行
35,002829,星网宇达,10.019940376281738,22.07,420753216,3223596373.48,4586353325.58,13.51116943359375,295669274,100021,100021,0,4/2,1,通信设备
36,601069,西部黄金,10.028011322021484,19.64,634713472,13433617806.4,18023263481.600002,4.8584089279174805,256518040,100859,100859,0,1/1,1,贵金属
37,002467,二六三,10.055866241455078,5.91,862758224,8058856284.24,8128447763.52,10.949867248535156,336518059,100906,100906,0,1/1,1,通信服务
38,603076,乐惠国际,10.0,33.0,299479104,3983144352.0,3983144352.0,7.731785297393799,56961300,100925,104701,3,6/4,1,专用设备
39,003010,若羽臣,10.006110191345215,72.01,300048576,8707870890.560001,11811836737.060001,3.542964458465576,306281573,101106,101106,0,1/1,1,互联网服
40,603697,有友食品,10.030394554138184,14.48,212475829,6192981579.04,6192981550.08,3.5686209201812744,144827512,101144,101144,0,1/1,1,食品饮料
41,000695,滨海能源,10.034602165222168,15.9,658194560,3525353787.6,3532145870.1,19.377317428588867,141401387,101727,102127,4,11/7,1,造纸印刷
42,603535,嘉诚国际,10.010009765625,10.99,239426130,5249805385.02,5614933078.72,4.721757888793945,83528769,102117,102117,0,1/1,1,物流行业
43,002940,昂利康,10.02656078338623,16.57,179937109,3070014488.19,3342636042.02,6.050333499908447,148321036,102409,102409,0,1/1,1,化学制药
44,605006,山东玻纤,10.0,6.71,187494144,4026062416.42,4099538271.84,4.768679618835449,125618849,102808,103641,1,1/1,1,玻璃玻纤
45,002657,中科金财,9.990917205810547,24.22,1624383504,8146548714.08,8236059440.0,20.41179847717285,504308258,104945,104945,0,3/2,1,互联网服
46,002982,湘佳股份,10.01220989227295,18.02,428998368,2340362348.48,3661554276.22,19.463733673095703,152581466,105430,105430,0,2/2,2,农牧饲渔
47,600882,妙可蓝多,10.006925582885742,31.77,547262192,16267944365.19,16267944396.96,3.4705796241760254,238243960,110352,110352,0,1/1,1,食品饮料
48,603518,锦泓集团,10.0,11.44,748223760,3935965564.96,3966087656.96,19.851167678833008,43658472,110624,111442,3,5/4,1,纺织服装
49,600530,交大昂立,10.0,8.36,320468016,6478331200.0,6478331200.0,5.1881279945373535,298662881,111129,111129,0,1/1,1,食品饮料
50,300703,创源股份,19.990177154541016,24.43,922210592,4144832472.69,4406972651.2,24.07341957092285,1067715812,111412,111412,0,1/1,1,家用轻工
