序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000889,中嘉博创,10.0,2.97,4340168,2583453537.7200003,2780784626.4,0.16799868643283844,200852380,092500,092500,0,1/1,1,通信服务
2,002826,易明医药,10.016420364379883,13.4,13989600,2314364049.0,2555081850.0,0.6044684052467346,828117320,092500,092500,0,1/1,1,中药
3,002951,金时科技,10.032362937927246,10.2,12706568,4130984699.9999995,4130999999.9999995,0.3075917661190033,66920751,092500,092500,0,2/2,2,包装材料
4,603879,永悦科技,9.932659149169922,6.53,295221376,2346519193.2000003,2346519245.44,12.581833839416504,79222613,092501,093510,1,3/3,3,塑料制品
5,605005,合兴股份,10.004547119140625,24.19,60730712,9700190000.0,9700190000.0,0.6260775327682495,583373998,092501,092501,0,5/4,2,汽车零部
6,605099,共创草坪,10.010725975036621,30.77,221109100,12310769300.0,12358524340.0,1.8215901851654053,98300919,092502,093723,2,3/3,3,家用轻工
7,600468,百利电气,9.987030029296875,8.48,497039488,9223995522.08,9223995581.44,5.388556957244873,425370910,093000,093000,0,13/8,3,电网设备
8,603076,乐惠国际,10.0,36.3,145773784,4381458787.2,4381458787.2,3.3396852016448975,121661446,093002,093159,2,7/5,2,专用设备
9,000533,顺钠股份,10.046367645263672,7.12,126121523,4876505088.0,4918609920.0,2.618110179901123,656175640,093036,093036,0,1/1,1,电网设备
10,002177,御银股份,10.043041229248047,7.67,1280921248,5132841574.38,5838337240.32,25.525022506713867,238677284,093115,093148,1,5/5,5,计算机设
11,000989,九芝堂,10.053476333618164,10.29,742208704,7142838002.369999,8807643344.64,10.566293716430664,344540172,093121,093603,2,2/2,2,中药
12,605006,山东玻纤,9.98509693145752,7.38,313011504,4428068648.76,4508881139.5199995,7.171958923339844,110994019,093141,093547,3,2/2,2,玻璃玻纤
13,603017,中衡设计,10.009267807006836,11.87,245337666,3275001584.8599997,3275001561.12,7.97177791595459,237995874,093229,093229,0,3/3,3,工程咨询
14,603818,曲美家居,10.106383323669434,4.14,71714067,2842291559.7,2851888083.8399997,2.5944883823394775,182429514,093229,093229,0,1/1,1,装修建材
15,603305,旭升集团,9.991876602172852,13.54,222779176,12907860132.24,12907860078.08,1.7506227493286133,461907053,093407,093407,0,1/1,1,汽车零部
16,002731,萃华珠宝,9.992254257202148,14.2,327356560,3261120880.0,3637415200.0,10.36566162109375,372560288,093536,093948,1,2/2,2,珠宝首饰
17,002298,中电鑫龙,10.050251007080078,6.57,264674797,4294581783.1200004,4862528586.72,6.382332801818848,779692115,093642,093642,0,1/1,1,电网设备
18,603823,百合花,10.0,11.44,110162573,4702200405.76,4763246625.28,2.390272855758667,133572296,093738,094005,2,1/1,1,化学制品
19,000017,深中华A,10.071942329406738,7.65,103156090,2317834982.25,5272264699.2,4.666091442108154,450687854,093930,093930,0,1/1,1,珠宝首饰
20,000838,财信发展,9.842519760131836,2.79,29373143,2940006735.45,3070289471.04,1.0408052206039429,431262297,093930,093930,0,1/1,1,房地产开
21,603863,松炀资源,10.0,14.41,89267291,2949006500.0,2949006500.0,3.1080381870269775,331957406,093951,093951,0,1/1,1,造纸印刷
