序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000889,中嘉博创,10.0,2.97,5354839,2583453537.7200003,2780784626.4,0.2072744369506836,129019841,092500,092500,0,1/1,1,通信服务
2,002826,易明医药,10.016420364379883,13.4,22877606,2314364049.0,2555081850.0,0.9885050654411316,390020614,092500,092500,0,1/1,1,中药
3,002951,金时科技,10.032362937927246,10.2,54131828,4130984699.9999995,4130999999.9999995,1.3103855848312378,61968651,092500,092500,0,2/2,2,包装材料
4,603879,永悦科技,9.932659149169922,6.53,476727616,2346519193.2000003,2346519245.44,20.317380905151367,46028252,092501,133116,2,3/3,3,塑料制品
5,605005,合兴股份,10.004547119140625,24.19,68873066,9700190000.0,9700190000.0,0.7100176811218262,555761113,092501,092501,0,5/4,2,汽车零部
6,603226,菲林格尔,9.975668907165527,9.04,194640087,3213645600.7999997,3213645655.0399995,6.151268482208252,33640470,092502,094550,3,2/2,1,装修建材
7,605099,共创草坪,10.010725975036621,30.77,265286358,12310769300.0,12358524340.0,2.180440664291382,50185100,092502,093723,2,3/3,3,家用轻工
8,603076,乐惠国际,10.0,36.3,156674674,4381458787.2,4381458787.2,3.5884811878204346,77308110,093002,093159,2,7/5,2,专用设备
9,000533,顺钠股份,10.046367645263672,7.12,201967586,4876505088.0,4918609920.0,4.1734466552734375,170177704,093036,093036,0,1/1,1,电网设备
10,002177,御银股份,10.043041229248047,7.67,3432843072,5132841574.38,5838337240.32,67.96858978271484,2177052,093115,144939,13,5/5,5,计算机设
11,002082,万邦德,10.014513969421387,7.58,791483648,4193679888.76,4636603044.4800005,19.271217346191406,36238464,093118,132351,3,3/3,3,化学制药
12,000989,九芝堂,10.053476333618164,10.29,885109312,7142838002.369999,8807643344.64,12.56690788269043,112639145,093121,093603,2,2/2,2,中药
13,605006,山东玻纤,9.98509693145752,7.38,329384912,4428068648.76,4508881139.5199995,7.541723251342773,70198707,093141,093547,3,2/2,2,玻璃玻纤
14,603017,中衡设计,10.009267807006836,11.87,269464816,3275001584.8599997,3275001561.12,8.708484649658203,104972155,093229,093229,0,3/3,3,工程咨询
15,603697,有友食品,10.013812065124512,15.93,568413712,6813135121.14,6813135089.28,8.53592300415039,1588858,093342,143851,1,6/3,2,食品饮料
16,603305,旭升集团,9.991876602172852,13.54,312542048,12907860132.24,12907860078.08,2.446035385131836,133628954,093407,093407,0,1/1,1,汽车零部
17,002731,萃华珠宝,9.992254257202148,14.2,475332240,3261120880.0,3637415200.0,14.90378475189209,123303144,093536,100733,2,2/2,2,珠宝首饰
18,002298,中电鑫龙,10.050251007080078,6.57,349720816,4294581783.1200004,4862528586.72,8.362642288208008,210515933,093642,093642,0,1/1,1,电网设备
19,603823,百合花,10.0,11.44,221158178,4702200405.76,4763246625.28,4.750776290893555,44388652,093738,094005,2,1/1,1,化学制品
20,000838,财信发展,9.842519760131836,2.79,86274077,2940006735.45,3070289471.04,2.9762067794799805,88887447,093930,093930,0,1/1,1,房地产开
21,603863,松炀资源,10.0,14.41,119112130,2949006500.0,2949006500.0,4.120068550109863,101395676,093951,093951,0,1/1,1,造纸印刷
22,603151,邦基科技,10.025707244873047,17.12,104497366,1383843840.0,2876160000.0,7.736329555511475,25815248,094155,094155,0,1/1,1,农牧饲渔
23,601700,风范股份,9.90783405303955,4.77,125944547,5448516758.999999,5448516778.08,2.3607590198516846,74358542,094236,094236,0,1/1,1,电网设备
24,300949,奥雅股份,20.0,46.68,252872450,1601173620.84,2824443420.0,16.598045349121094,98177376,094318,094318,0,1/1,1,工程咨询
25,002785,万里石,10.017093658447266,32.18,638671328,6226669840.14,7292621785.1,10.379708290100098,65399414,094503,101815,1,1/1,1,装修建材
26,603042,华脉科技,9.978616714477539,15.43,262428792,2477901231.2,2477901231.2,10.890811920166016,136868142,094833,094833,0,1/1,1,通信设备
27,002741,光华科技,10.020039558410645,16.47,500326368,7022123095.049999,7658917346.879999,7.297154426574707,216308745,095024,095024,0,1/1,1,电子化学
28,300340,科恒股份,20.020427703857422,11.75,369136912,2472958603.5,3241746980.0,15.355207443237305,133392309,095209,095209,0,1/1,1,电池
29,002055,得润电子,9.967320442199707,6.73,422924560,4003460098.8300004,4068217807.6800003,10.830141067504883,60144213,095257,102936,1,4/2,1,消费电子
30,603256,宏和科技,9.97352123260498,12.46,369829568,10961404650.0,10961404699.84,3.494860887527466,98445176,095510,095510,0,4/2,1,玻璃玻纤
31,300651,金陵体育,20.0,24.48,828589968,1835414340.48,3151867026.2400002,47.145416259765625,33354734,095539,141954,1,2/2,2,家用轻工
32,603023,威帝股份,10.05434799194336,4.05,209925319,2260375498.35,2260375502.4,9.670746803283691,32839514,095556,100050,2,1/1,1,汽车零部
33,603093,南华期货,9.993012428283691,15.74,481141184,9602437155.82,9602437077.12,5.254952907562256,55182866,095614,095614,0,2/2,2,多元金融
34,300368,汇金股份,20.027816772460938,8.63,591348944,4564782189.25,4564782163.360001,14.048572540283203,146946462,100018,100018,0,4/2,1,计算机设
35,002952,亚世光电,9.98509693145752,22.14,305546656,2923477008.48,3638487600.0,10.877613067626953,118690569,100430,100633,1,1/1,1,光学光电
36,002418,康盛股份,10.086455345153809,3.82,524950752,4341035680.5,4341048000.0,12.401433944702148,83284977,100721,101142,1,4/2,1,家电行业
37,002342,巨力索具,10.017271041870117,6.37,889275440,6081375300.0,6115200000.0,15.285614967346191,161826028,101245,101245,0,1/1,1,通用设备
38,600684,珠江股份,9.946236610412598,4.09,397805856,3490654357.0699997,3490654344.7999997,11.616250038146973,48846751,101251,104945,1,1/1,1,房地产服
39,002866,传艺科技,9.975062370300293,17.64,384055200,3197541165.84,5107172595.84,12.393359184265137,164716851,102218,102218,0,1/1,1,消费电子
40,300003,乐普医疗,19.982994079589844,14.11,2998168400,22803148706.2,26535422451.68,13.563462257385254,284171830,102306,142345,1,1/1,1,医疗器械
41,600110,诺德股份,10.122699737548828,3.59,143717690,6229299545.88,6229299531.5199995,2.3894829750061035,85925558,102748,102748,0,1/1,1,电池
42,000888,峨眉山Ａ,10.0,15.18,681215584,7998540888.36,7998540918.72,8.829463958740234,104609934,103457,103457,0,1/1,1,旅游酒店
43,600259,广晟有色,10.0,52.03,1214316224,17504760397.3,17504760085.12,7.195540428161621,258989939,104222,104222,0,2/2,2,小金属
44,002969,嘉美包装,10.119048118591309,3.7,174022789,3514170548.8,3535169795.2000003,5.102658748626709,113940760,104227,104227,0,1/1,1,包装材料
45,603711,香飘飘,10.036630630493164,15.02,199324717,6198521190.0,6198521129.92,3.3334262371063232,95879674,105140,105140,0,1/1,1,食品饮料
46,001338,永顺泰,10.008410453796387,13.08,601368928,3086284611.48,6562639282.56,20.080801010131836,117560424,105236,111630,1,1/1,1,农牧饲渔
47,002427,尤夫股份,9.968847274780273,10.59,1190180288,10428575157.99,10435733182.56,11.981328964233398,131814789,105554,105554,0,16/8,1,化纤行业
48,002275,桂林三金,10.0204496383667,16.14,336584064,9022926840.24,9483357333.12,3.822246551513672,21207960,110200,110200,0,1/1,1,中药
49,603535,嘉诚国际,10.028653144836426,11.52,430545040,5502980712.96,5885716930.559999,8.236833572387695,61762487,111939,111939,0,1/1,1,物流行业
50,002657,中科金财,10.016834259033203,26.14,2648991024,8792352740.960001,8888959280.0,31.995174407958984,235414905,112845,134603,2,4/2,1,互联网服
51,603221,爱丽家居,10.008857727050781,12.42,181462371,3008993400.0,3037683600.0,6.182275772094727,69037812,130039,130039,0,1/1,1,塑料制品
52,603238,诺邦股份,10.031152725219727,17.66,199842232,3134808940.0,3134808940.0,6.611851215362549,71412889,130220,130220,0,1/1,1,美容护理
53,002290,禾盛新材,10.003227233886719,34.09,232999346,8428746704.700001,8458149329.700001,2.8770997524261475,195338802,130615,130615,0,1/1,1,家电行业
54,603099,长白山,10.009044647216797,36.49,843211600,9730788300.0,9730788300.0,9.003259658813477,73187993,132242,132242,0,1/1,1,旅游酒店
55,002973,侨银股份,10.0,14.63,398646720,3261012223.7000003,5978777259.84,12.997447967529297,177267321,132612,132612,0,5/3,1,环保行业
56,002345,潮宏基,9.993674278259277,17.39,968013840,15077205907.35,15451235922.560001,6.698197841644287,142079899,132645,132645,0,2/2,2,珠宝首饰
57,000565,渝三峡Ａ,9.979209899902344,10.58,836011216,4587405687.6,4587405729.92,19.179706573486328,88956640,133351,133351,0,1/1,1,化学制品
58,603208,江山欧派,10.033002853393555,16.67,163380375,2953468475.5800004,2953468475.5800004,5.66943359375,26569646,133615,143136,1,1/1,1,装修建材
59,002956,西麦食品,10.0,24.31,202842855,5426582757.309999,5427131774.349999,3.9012136459350586,127198258,133636,133636,0,1/1,1,食品饮料
60,003010,若羽臣,9.998611450195312,79.21,750023760,9578537053.759998,12992856380.259998,7.940903663635254,56283061,133712,133712,0,2/2,2,互联网服
61,605009,豪悦护理,10.007662773132324,71.78,410156032,11054217046.56,11077186646.56,3.8494479656219482,66561450,134422,141116,1,1/1,1,美容护理
62,603900,莱绅通灵,10.042194366455078,13.04,950289136,4453275273.599999,4473030873.599999,22.323575973510742,47598086,134434,140228,3,11/6,1,珠宝首饰
63,603283,赛腾股份,9.990229606628418,45.03,564862384,8780924209.44,9002021509.44,6.619994640350342,92752794,135637,135637,0,1/1,1,专用设备
64,600939,重庆建工,10.0,3.19,151005735,6066740242.309999,6066740264.64,2.584462881088257,52278358,141105,141105,0,1/1,1,工程建设
65,000826,启迪环境,10.0,2.42,807998208,3448918560.7799997,3449354860.16,25.96706199645996,48126690,141448,141448,0,5/3,1,环保行业
66,000546,金圆股份,10.112359046936035,4.9,264959151,3413855509.4,3810476454.4,8.017355918884277,175075079,142515,142515,0,1/1,1,环保行业
67,002191,劲嘉股份,9.921670913696289,4.21,253178191,6065871296.56,6111988882.72,4.362049579620361,166617801,142833,142833,0,1/1,1,包装材料
68,002615,哈尔斯,10.027472496032715,8.01,267748676,2451446138.07,3734804501.2799997,11.333359718322754,159327102,142839,142839,0,1/1,1,家用轻工
69,605599,菜百股份,9.994120597839355,18.71,573123008,14552222638.0,14552222787.68,4.114211559295654,5057313,143014,144223,5,5/3,2,珠宝首饰
70,601086,国芳集团,10.0,14.96,1121063872,9963360000.0,9963360000.0,11.963576316833496,120740664,144153,144153,0,5/3,1,商业百货
