序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688755,N汉邦,46.19,102.85,23.42,117019.0,571557287.0,41.46,55.55,46.11,49.0,22.77,,70.75,91.52,3.43,4064720000.0,764017104.0,0.11,0.06,102.85,102.85
2,301636,N泽润,66.09,99.91,33.03,110472.0,752083893.79,27.53,74.18,65.08,65.5,33.06,,72.96,32.07,3.89,4221024422.0,1000676158.0,0.0,0.12,99.91,99.91
3,830946,森萱医药,13.0,25.12,2.61,285444.0,331424220.53,26.66,13.3,10.53,10.64,10.39,5.87,6.69,47.79,4.78,5549938420.0,5548232170.0,-0.61,0.46,27.7,47.56
4,301260,格力博,20.5,20.02,3.42,357474.0,675308847.41,23.42,20.5,16.5,16.8,17.08,2.32,16.84,14.13,2.12,10050989567.0,4351552835.0,0.0,0.0,46.43,54.72
5,301089,拓新药业,37.78,20.01,6.3,270690.0,928686145.44,19.6,37.78,31.61,32.2,31.48,5.58,29.75,-335.29,3.09,4780851210.0,3437085105.0,0.0,0.0,30.95,34.02
6,300963,中洲特材,24.66,20.0,4.11,828764.0,1975725824.86,17.91,24.66,20.98,21.3,20.55,1.62,41.33,156.3,7.61,8078616000.0,4945118947.0,0.0,0.0,171.89,182.8
7,301488,豪恩汽电,73.8,20.0,12.3,69685.0,485149554.51,14.18,73.8,65.08,66.3,61.5,5.25,29.77,92.16,5.1,6789600000.0,1727750250.0,0.0,0.0,-3.4,33.48
8,870436,大地电气,23.52,18.43,3.66,127422.0,292860498.24,27.69,25.5,20.0,20.12,19.86,3.51,14.34,-63.26,5.8,2222075520.0,2090178912.0,-0.17,-0.76,20.74,39.83
9,301076,新瀚新材,42.85,17.56,6.4,314653.0,1304282312.99,18.66,43.74,36.94,37.12,36.45,1.89,37.25,89.02,4.95,5764353400.0,3619514861.0,-0.44,-0.51,24.49,38.58
10,300328,宜安科技,13.09,17.08,1.91,1725434.0,2174225664.49,22.9,13.42,10.86,10.98,11.18,2.35,25.14,-370.34,8.32,9037644924.0,8984556793.0,1.71,1.47,57.33,77.85
11,301283,聚胶股份,36.72,16.72,5.26,81372.0,277910160.78,21.87,37.5,30.62,31.15,31.46,4.38,17.9,20.68,1.89,2937600000.0,1669208727.0,-1.02,-0.94,40.96,45.66
12,871396,常辅股份,41.61,15.65,5.63,128842.0,544096787.3,23.93,46.58,37.97,38.01,35.98,2.0,30.43,106.36,7.44,2495779451.0,1761913826.0,0.68,-0.81,117.51,161.53
13,301335,天元宠物,30.86,15.15,4.06,177844.0,523763126.85,21.94,32.08,26.2,26.68,26.8,2.46,35.66,58.49,2.06,3888360000.0,1539142623.0,0.0,0.29,24.94,37.16
14,300434,金石亚药,9.22,15.11,1.21,412516.0,358138962.38,12.23,9.28,8.3,8.41,8.01,8.26,12.06,14.73,1.48,3704078500.0,3154356413.0,0.88,0.44,0.88,11.76
15,836247,华密新材,31.99,14.09,3.95,154117.0,488244727.68,27.14,34.86,27.25,27.84,28.04,1.71,17.54,102.69,8.37,3876798362.0,2811063732.0,-0.03,-0.31,33.24,54.02
16,300946,恒而达,81.6,13.36,9.62,115801.0,914273986.68,19.16,86.0,72.21,73.0,71.98,1.49,20.49,122.29,8.16,9792489600.0,4611297600.0,-0.72,-0.49,196.4,200.44
17,300695,兆丰股份,100.0,12.55,11.15,59415.0,577564837.0,18.63,104.85,88.3,88.3,88.85,1.59,8.38,56.36,2.74,7092987200.0,7092987200.0,-0.01,-0.01,92.2,124.22
18,300258,精锻科技,16.84,12.42,1.86,1256393.0,2120004272.93,22.9,17.98,14.55,14.62,14.98,2.68,25.21,53.8,2.12,8647652550.0,8392457422.0,1.08,0.96,49.56,89.0
19,300819,聚杰微纤,29.1,12.4,3.21,185718.0,521561811.56,20.74,31.0,25.63,25.64,25.89,1.97,13.78,73.79,4.87,4341865500.0,3921581475.0,-0.51,-0.55,120.45,123.85
20,873167,新赣江,30.35,12.32,3.33,99142.0,286695651.12,15.8,31.25,26.98,27.69,27.02,2.78,23.73,101.02,4.49,2150638938.0,1268079663.0,0.66,0.73,-16.85,115.71
21,301211,亨迪药业,18.98,12.04,2.04,203057.0,376098671.11,11.63,19.43,17.46,17.46,16.94,5.17,28.2,132.34,2.36,5466240000.0,1366560000.0,-0.47,-0.84,1.39,-10.72
22,301320,豪江智能,19.07,11.39,1.95,127900.0,234303578.96,15.07,19.64,17.06,17.22,17.12,4.54,18.9,53.17,3.27,3455484000.0,1290760101.0,0.1,0.37,14.33,27.9
23,301300,远翔新材,38.35,11.26,3.88,59749.0,222623115.4,17.73,40.46,34.35,34.65,34.47,2.78,19.54,36.34,3.03,2475109000.0,1172648736.0,-0.1,-0.18,39.2,49.05
24,688395,正弦电气,23.49,11.06,2.34,68097.0,155607715.0,14.52,24.13,21.06,21.06,21.15,4.08,7.86,55.53,2.64,2034180443.0,2034180443.0,0.13,0.26,26.84,38.26
25,688068,热景生物,109.85,10.98,10.87,57105.0,605182966.0,14.3,112.0,97.85,98.79,98.98,1.84,6.18,-105.78,3.4,10158344916.0,10158344916.0,-0.21,-0.41,70.89,77.64
26,301310,鑫宏业,42.68,10.91,4.2,110041.0,463300451.21,14.99,44.0,38.23,38.24,38.48,1.71,22.17,42.13,2.51,5801835547.0,2118112797.0,-0.14,-0.19,40.21,66.72
27,300004,南风股份,8.96,10.48,0.85,715044.0,629031998.68,14.18,9.25,8.1,8.14,8.11,1.74,14.9,66.21,2.44,4300742638.0,4300742638.0,0.45,0.34,38.06,45.69
