序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,833171,国航远洋,12.25,28.95,2.75,1106154.0,1202373425.56,34.11,12.3,9.06,9.5,9.5,3.51,38.55,-110.24,5.06,6803741299.0,3514996000.0,2.08,3.29,96.63,102.48
2,832171,志晟信息,34.89,25.73,7.14,205068.0,662439250.05,33.05,36.07,26.9,27.75,27.75,3.32,31.11,-181.0,16.7,3497137569.0,2300193309.0,-1.13,-1.36,30.19,67.66
3,300240,飞力达,9.82,20.05,1.64,1136012.0,1002169749.92,23.23,9.82,7.92,8.03,8.18,3.05,31.26,1521.44,2.53,3648748169.0,3568380592.0,0.0,1.76,52.01,49.47
4,300845,捷安高科,17.7,20.0,2.95,358740.0,608191660.4,18.92,17.7,14.91,14.92,14.75,6.43,35.07,-95.0,3.11,2582303764.0,1810686530.0,0.0,0.0,29.2,38.17
5,300399,天利科技,25.44,20.0,4.24,394023.0,953681728.44,21.7,25.44,20.84,21.15,21.2,4.86,19.94,105.32,9.5,5026944000.0,5026453644.0,0.0,0.0,1.84,3.58
6,300946,恒而达,70.56,20.0,11.76,113852.0,790724678.27,9.39,70.56,65.04,65.04,58.8,2.37,20.15,105.74,7.06,8467623360.0,3987416160.0,0.0,0.0,162.21,159.79
7,301559,中集环科,18.62,19.97,3.1,310939.0,549134343.29,20.88,18.62,15.38,15.47,15.52,15.33,34.55,124.81,2.5,11172000000.0,1675800000.0,0.0,0.0,23.39,21.3
8,301317,鑫磊股份,45.11,18.21,6.95,236966.0,944847241.63,24.66,45.6,36.19,36.36,38.16,1.63,52.89,4.5,4.92,7090840900.0,2020928000.0,-0.75,-0.86,124.54,126.8
9,872351,华光源海,35.12,17.58,5.25,176934.0,568228732.43,25.71,35.58,27.9,28.77,29.87,2.17,50.18,72.55,6.73,3091804618.0,1238346618.0,1.5,2.3,148.9,240.97
10,300879,大叶股份,45.0,16.58,6.4,403172.0,1703280634.98,21.94,46.2,37.73,37.96,38.6,1.3,20.06,11.72,6.51,9107947485.0,9046280160.0,0.45,1.01,165.17,186.99
11,300603,立昂技术,12.73,16.47,1.8,881453.0,1113319516.71,11.71,13.12,11.84,12.06,10.93,7.44,23.79,-64.93,4.11,5916881481.0,4716083367.0,0.16,0.08,-7.69,14.27
12,430564,天润科技,26.83,15.05,3.51,84356.0,220366071.95,20.54,27.98,23.19,23.47,23.32,3.81,24.97,-80.06,6.32,1995911013.0,906383321.0,-1.65,-0.59,23.64,86.32
13,301501,恒鑫生活,72.87,14.16,9.04,81052.0,561031246.75,18.28,75.67,64.0,64.0,63.83,1.64,33.51,22.7,3.67,7432740000.0,1762315916.0,0.15,0.16,82.54,82.54
14,300085,银之杰,36.87,14.01,4.53,752861.0,2613869882.7,21.4,38.75,31.83,32.4,32.34,2.62,11.86,-254.23,50.18,26053836525.0,23407522693.0,0.57,0.19,-12.8,-3.61
15,836077,吉林碳谷,13.98,13.75,1.69,316033.0,434918053.41,16.68,14.49,12.44,12.47,12.29,6.14,9.97,87.41,3.32,8215791802.0,4431056302.0,0.0,-0.21,24.38,25.27
16,301057,汇隆新材,17.85,12.26,1.95,163092.0,291504896.93,19.94,19.08,15.91,16.06,15.9,5.36,19.72,42.49,2.73,2095419318.0,1476185415.0,-0.28,0.96,37.41,42.8
17,838163,方大新材,18.2,11.11,1.82,95260.0,164842048.17,19.66,19.19,15.97,16.47,16.38,2.89,15.52,49.57,4.91,2342615912.0,1117069317.0,0.28,0.39,29.08,30.09
18,688383,新益昌,47.22,10.3,4.41,19714.0,90002249.0,15.04,49.25,42.81,42.89,42.81,5.92,1.93,103.08,3.47,4822748592.0,4822748592.0,-1.11,-1.56,1.79,5.24
19,002421,达实智能,3.69,10.15,0.34,1652693.0,601627501.89,6.87,3.69,3.46,3.46,3.35,4.37,8.24,-47.16,2.33,7824946248.0,7404692576.0,0.0,0.0,-6.11,7.58
20,601866,中远海发,2.61,10.13,0.24,3306367.0,832582580.0,10.55,2.61,2.36,2.37,2.37,7.26,3.36,18.14,1.14,34860770662.0,25650344272.0,0.0,0.0,7.41,0.0
21,600798,宁波海运,3.7,10.12,0.34,239796.0,88724664.0,0.0,3.7,3.7,3.7,3.36,0.97,1.99,-24.03,1.14,4464176544.0,4464176544.0,0.0,0.0,23.75,22.11
22,000637,茂化实华,4.03,10.11,0.37,413683.0,163257718.46,11.75,4.03,3.6,3.65,3.66,7.07,11.24,-14.94,3.42,2095097685.0,1483097448.0,0.0,0.0,9.21,8.33
23,002383,合众思壮,9.63,10.06,0.88,686214.0,655277847.98,9.71,9.63,8.78,8.78,8.75,1.1,9.27,663.42,4.26,7129669737.0,7129669737.0,0.0,0.0,19.04,22.21
24,002094,青岛金王,8.97,10.06,0.82,3274625.0,2787218260.25,10.55,8.97,8.11,8.29,8.15,2.49,47.43,177.35,4.16,6197351015.0,6193368335.0,0.0,0.0,50.5,63.09
25,600370,三房巷,2.08,10.05,0.19,405487.0,82716914.0,8.99,2.08,1.91,1.91,1.89,1.75,1.04,-16.63,1.55,8104980884.0,8104980884.0,0.0,0.0,14.29,13.04
26,000576,甘化科工,10.07,10.05,0.92,269281.0,270923959.07,0.55,10.07,10.02,10.02,9.15,0.62,6.21,150.71,2.71,4394731415.0,4368893557.0,0.0,0.0,31.46,38.71
27,603332,苏州龙杰,14.36,10.04,1.31,454387.0,648694706.0,4.06,14.36,13.83,14.36,13.05,11.78,21.0,59.21,2.43,3106745562.0,3106745562.0,0.0,0.0,51.32,66.78
28,600610,中毅达,14.37,10.03,1.31,1104516.0,1553924702.0,7.58,14.37,13.38,13.52,13.06,1.33,15.58,279.67,190.03,15394216074.0,10184402751.0,0.0,0.0,239.72,239.72
29,002551,尚荣医疗,4.39,10.03,0.4,1147586.0,503715813.07,1.5,4.39,4.33,4.39,3.99,4.21,18.78,66.45,1.4,3711721197.0,2682365113.0,0.0,0.0,33.03,42.53
30,002961,瑞达期货,16.57,10.03,1.51,155946.0,246054335.0,10.76,16.57,14.95,15.0,15.06,2.22,3.5,22.74,2.58,7374240257.0,7374240257.0,0.0,0.0,14.67,15.31
31,002040,南 京 港,8.45,10.03,0.77,674731.0,564803624.7,6.38,8.45,7.96,8.03,7.68,4.26,13.89,25.8,1.25,4139724839.0,4106194225.0,0.0,0.0,27.07,28.22
32,002365,永安药业,12.41,10.02,1.13,447527.0,539473727.52,8.42,12.41,11.46,11.58,11.28,1.0,18.22,-209.35,1.85,3657009825.0,3047400853.0,0.0,0.0,49.88,55.32
33,839790,联迪信息,42.92,10.02,3.91,52794.0,218611898.4,15.82,44.51,38.34,39.3,39.01,2.3,9.71,103.33,10.04,3389264498.0,2332657277.0,0.16,0.16,-23.63,25.87
34,601008,连云港,6.15,10.02,0.56,2009444.0,1212309679.0,7.69,6.15,5.72,5.77,5.59,2.16,16.2,83.68,1.89,7629923737.0,7629923737.0,0.0,0.0,66.22,63.13
35,002909,集泰股份,6.92,10.02,0.63,58535.0,40506220.0,0.0,6.92,6.92,6.92,6.29,0.72,1.54,-127.22,2.99,2698800000.0,2636546005.0,0.0,0.0,29.83,42.09
36,601319,中国人保,8.24,10.01,0.75,1689905.0,1338329915.0,10.15,8.24,7.48,7.5,7.49,3.77,0.48,7.09,1.3,364405682404.0,292501514244.0,0.0,0.0,18.56,8.99
37,605055,迎丰股份,8.46,10.01,0.77,520892.0,401037067.0,18.21,8.46,7.06,7.69,7.69,5.02,11.84,-94.36,3.23,3722400000.0,3722400000.0,0.0,0.0,62.69,71.95
38,601022,宁波远洋,10.11,10.01,0.92,611606.0,607850305.0,6.96,10.11,9.47,9.58,9.19,2.93,24.6,18.89,2.22,13230283007.0,2513683007.0,0.0,0.0,28.46,25.9
39,002136,安 纳 达,10.33,10.01,0.94,197320.0,201546821.7,10.33,10.33,9.36,9.36,9.39,7.31,9.2,-54.13,1.91,2221156600.0,2215328001.0,0.0,0.0,5.95,5.95
40,601236,红塔证券,8.35,10.01,0.76,1042668.0,844221467.0,10.28,8.35,7.57,7.62,7.59,8.72,2.21,33.31,1.62,39385177646.0,39385177646.0,0.0,0.0,3.86,-0.48
41,002190,成飞集成,29.66,10.01,2.7,195980.0,581278074.02,0.0,29.66,29.66,29.66,26.96,1.24,5.46,5492.96,3.13,10639912313.0,10639912313.0,0.0,0.0,73.25,53.36
42,001236,弘业期货,10.22,10.01,0.93,555914.0,539454116.8,12.06,10.22,9.1,9.24,9.29,1.93,17.03,2140.11,5.48,10299488891.0,3336172404.0,0.0,0.0,3.13,6.02
43,603803,瑞斯康达,10.44,10.01,0.95,146643.0,151561498.0,11.38,10.44,9.36,9.36,9.49,1.78,3.45,-57.85,2.8,4481193115.0,4435784335.0,0.0,0.0,-21.8,9.43
44,002730,电光科技,18.59,10.0,1.69,324555.0,577871349.0,10.59,18.59,16.8,16.8,16.9,0.91,9.38,81.55,4.13,6731064969.0,6432695469.0,0.0,0.0,-17.56,36.09
45,600530,交大昂立,6.82,10.0,0.62,438044.0,293020613.0,9.68,6.82,6.22,6.79,6.2,2.45,5.65,-191.91,16.58,5284954400.0,5284954400.0,0.0,0.0,40.04,41.2
46,001316,润贝航科,49.83,10.0,4.53,90956.0,432298365.33,9.18,49.83,45.67,47.39,45.3,1.13,33.43,30.17,3.35,4108981800.0,1355737268.0,0.0,0.0,68.52,71.83
47,600735,新华锦,7.26,10.0,0.66,639115.0,446940847.0,11.52,7.26,6.5,6.61,6.6,1.41,15.02,123.53,2.57,3112929870.0,3088780264.0,0.0,0.0,53.16,59.21
