序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002177,御银股份,10.06944465637207,6.34,122968377,4242792122.7599998,4825952816.64,2.8982889652252197,1034511272,092500,092500,0,3/3,3,计算机设
2,002537,海联金汇,10.039629936218262,8.33,205254882,9779559485.85,9779559544.16,2.0988152027130127,438564504,092500,092500,0,2/2,2,汽车零部
3,002633,申科股份,9.97150993347168,15.44,78229848,2307025500.0,2316000000.0,3.390939950942993,100713576,092500,092500,0,1/1,1,通用设备
4,002878,元隆雅图,9.994256973266602,19.15,654449184,4485092028.15,5016912806.15,14.614422798156738,169854755,092500,093715,1,2/2,2,文化传媒
5,003035,南网能源,9.977827072143555,4.96,132542112,18787878783.52,18787878768.64,0.705466091632843,289163536,092500,092500,0,1/1,1,专业服务
6,301024,霍普股份,19.989465713500977,45.56,137092455,2743167600.0,2896932600.0,4.997596740722656,108548978,092500,092500,0,2/2,2,工程建设
7,603123,翠微股份,9.970674514770508,11.25,1124705760,7338104426.25,8985787560.0,15.374466896057129,168012945,092500,103530,5,2/2,2,多元金融
8,603056,德邦股份,9.994711875915527,20.8,64939680,21212160070.4,21212160153.600002,0.3061436414718628,696444320,092501,092501,0,4/4,4,物流行业
9,002900,哈三联,10.029282569885254,15.03,220926144,2601393076.35,4754854006.559999,8.586865425109863,333371412,093130,093130,0,1/1,1,化学制药
10,002104,恒宝股份,10.0,8.91,1404739120,5341919255.64,6309903045.6,26.551937103271484,328864001,093227,094609,4,2/2,2,通信设备
11,000566,海南海药,10.071942329406738,6.12,318856656,7135367565.96,7939874534.400001,4.524514675140381,236748570,093230,093230,0,1/1,1,化学制药
12,002431,棕榈股份,10.0,2.97,327146240,5384064307.05,5384064327.84,6.195775508880615,231531696,093248,093248,0,10/6,1,工程建设
13,002907,华森制药,10.026666641235352,20.63,259356617,6372361606.15,8615012081.6,4.177013874053955,167639606,093248,093248,0,4/4,4,中药
14,002550,千红制药,10.027854919433594,7.9,1162136112,7566142682.0,10110420000.0,15.65871524810791,132086420,093345,105100,4,3/2,1,化学制药
15,603477,巨星农牧,10.0201416015625,21.85,893512704,11145035923.900002,11145035792.800001,8.084815979003906,146198350,093405,103556,2,1/1,1,农牧饲渔
16,002250,联化科技,10.047846794128418,9.2,1809649728,8340114235.2,8384264703.999999,22.114917755126953,86742917,093651,110633,8,3/3,3,农药兽药
17,002162,悦心健康,9.975668907165527,4.52,364759120,4151593426.9199996,4157048339.2,8.876917839050293,227979208,093903,093903,0,1/1,1,装修建材
18,002875,安奈儿,10.026041030883789,16.9,232919145,3082900940.6,3599782336.7999997,7.6642537117004395,236332219,094551,094551,0,1/1,1,纺织服装
19,003041,真爱美家,10.013175010681152,33.4,144226467,4569901560.0,4809600000.0,3.219365358352661,66153509,094836,094836,0,1/1,1,纺织服装
20,603194,中力股份,10.002667427062988,41.24,806962512,2054924700.64,16537240000.0,40.36923599243164,90927601,094842,100530,3,2/2,2,工程机械
21,600676,交运股份,9.95850658416748,5.3,613194672,5451012603.2,5451012603.2,11.376917839050293,33191250,094913,104558,6,2/2,2,汽车零部
22,002310,东方园林,10.232558250427246,2.37,370550688,9951851481.24,14218393405.44,3.8381495475769043,139335440,095115,095115,0,1/1,1,环保行业
23,603359,东珠生态,9.943977355957031,7.85,458220224,3501853600.0,3501853600.0,13.56789493560791,164889250,095552,095552,0,1/1,1,环保行业
24,600743,华远地产,10.204081535339355,2.16,181728839,5067577887.84,5067577900.8,3.6263856887817383,1828440,095604,095604,0,1/1,1,房地产开
25,603017,中衡设计,9.977578163146973,9.81,322508768,2706635682.1800003,2706635662.56,12.126631736755371,80301717,100127,101742,1,1/1,1,工程咨询
26,300149,睿智医药,19.976634979248047,10.27,1362697440,5105056900.969999,5114090280.0,27.91425132751465,103377203,100312,104324,4,2/2,2,医疗服务
27,002082,万邦德,10.017574310302734,6.26,91484947,3463382071.72,3829173490.56,2.7656097412109375,204609978,110439,110439,0,1/1,1,化学制药
28,603226,菲林格尔,10.0401611328125,8.22,68059267,2922142349.4,2922142398.7200003,2.4172396659851074,174759065,111321,111321,0,1/1,1,装修建材
29,600543,莫高股份,10.091742515563965,6.0,70555930,1926720000.0,1926720000.0,3.818526029586792,192965694,111509,111509,0,1/1,1,酿酒行业
30,002743,富煌钢构,10.0,8.25,453714448,3585210568.5,3590964960.0,13.633781433105469,317005425,112954,112954,0,2/2,2,水泥建材
