序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,002097,山河智能,4.381443023681641,8.1,8.54,738868512,8688680775.9,8704399838.4,8.297064781188965,-0.12330456078052521,092500,1,0/0,6.829896450042725,工程机械
2,003035,南网能源,3.6290321350097656,5.14,5.46,714010832,19469696965.18,19469696949.76,3.591803789138794,-0.19417476654052734,092500,1,2/1,7.258064270019531,专业服务
3,600543,莫高股份,1.6666667461395264,6.1,6.6,322436912,1958832000.0,1958832000.0,15.841737747192383,0.0,092504,1,2/1,9.333333015441895,酿酒行业
4,002952,亚世光电,5.572916507720947,20.27,21.12,211787188,2676552798.64,3331171800.0,7.771086692810059,-0.19694732129573822,093115,1,0/0,10.9375,光学光电
5,600521,华海药业,7.4609599113464355,18.58,19.02,1715408496,27252318509.179996,28016927667.199997,6.214672088623047,-0.21482276916503906,093233,4,0/0,6.188548564910889,化学制药
6,002907,华森制药,6.398448944091797,21.95,22.69,1017357344,6780093904.75,9166239224.0,14.913769721984863,-0.22727271914482117,093254,2,5/4,7.222491264343262,中药
7,001914,招商积余,-2.8145694732666016,11.74,13.29,526741280,12448424002.4,12448462791.36,3.940875768661499,0.08525149524211884,093403,1,0/0,13.07947063446045,房地产服
8,002663,普邦股份,2.7932960987091064,1.84,1.97,155008083,2569464568.4,3170961968.6400003,5.8131842613220215,0.0,093624,2,0/0,11.173184394836426,工程建设
9,002558,巨人网络,6.855955600738525,15.43,15.88,1027840976,29853201927.73,29853201881.44,3.3900132179260254,0.19480518996715546,093651,1,0/0,8.864265441894531,游戏
10,600880,博瑞传播,5.720338821411133,4.99,5.19,609347008,5454220573.25,5455727159.04,11.008495330810547,0.0,093657,1,0/0,7.203389644622803,教育
11,603258,电魂网络,5.913718223571777,21.85,22.69,374393056,5258035347.5,5343031847.5,6.985722541809082,-0.36479708552360535,094410,3,0/0,11.003393173217773,游戏
12,002181,粤 传 媒,7.5812273025512695,5.96,6.09,523975008,6761740278.76,6919906728.96,7.758665084838867,0.0,094518,1,0/0,10.83032512664795,文化传媒
13,600037,歌华有线,7.162534236907959,7.78,7.99,528205600,10828031937.52,10828031968.640001,4.8616814613342285,0.25773194432258606,094531,2,0/0,9.779614448547363,文化传媒
14,300315,掌趣科技,13.545817375183105,5.7,6.02,3032064448,14723238549.9,15504959059.2,20.536165237426758,0.0,094909,1,0/0,17.1314754486084,游戏
15,002878,元隆雅图,-1.5143603086471558,18.86,21.07,1504796192,4417171574.46,4940938669.66,32.1376953125,-0.05299416929483414,095054,1,3/2,12.532636642456055,文化传媒
16,600676,交运股份,5.283019065856934,5.58,5.83,881786704,5738990627.52,5738990627.52,15.38040828704834,0.5405405759811401,095330,7,3/2,15.66037654876709,汽车零部
17,600990,四创电子,6.7061872482299805,28.8,29.69,1134165872,7747565644.8,7870746470.400001,14.61424446105957,0.3484320640563965,095409,5,0/0,8.114116668701172,通信设备
18,300238,冠昊生物,15.404699325561523,17.68,18.38,1105900912,4687570569.76,4687952793.68,23.834754943847656,0.0,095445,2,0/0,22.454307556152344,医疗器械
19,002389,航天彩虹,6.912442207336426,23.2,23.87,2293554928,22987073926.399998,23051744576.0,10.001845359802246,0.04312203824520111,095945,1,0/0,7.465437889099121,航天航空
20,871263,莱赛激光,29.945356369018555,23.78,23.79,458911920,1233929218.6000001,2269801000.0,39.6250114440918,-0.042034465819597244,100026,2,0/0,18.087430953979492,仪器仪表
21,002669,康达新材,5.7835822105407715,11.34,11.79,334375152,3423527289.0,3440556000.0,9.710321426391602,0.2652519941329956,100342,1,0/0,10.541045188903809,化学制品
22,000695,滨海能源,7.681661128997803,15.56,15.9,797310432,3449968863.84,3456615706.84,23.33938980102539,-0.7653061151504517,101727,8,11/6,12.041522979736328,造纸印刷
23,603535,嘉诚国际,6.406406402587891,10.63,10.99,315476480,5077837237.740001,5431004424.64,6.196742057800293,-0.37488284707069397,102117,1,0/0,10.910911560058594,物流行业
24,603130,云中马,2.8949248790740967,28.79,30.78,302938208,1470116725.5,3959033818.0,19.9951229095459,-0.13874436914920807,102453,1,0/0,11.686919212341309,纺织服装
25,600468,百利电气,8.987161636352539,7.64,7.71,1578883856,8310297852.44,8310297905.92,19.901212692260742,-0.13071896135807037,102741,1,12/6,13.98002815246582,电网设备
26,600259,广晟有色,8.04651165008545,46.46,47.3,908508256,15630812378.6,15630812099.84,5.898453712463379,-0.2147766351699829,103606,1,0/0,8.930232048034668,小金属
27,002982,湘佳股份,8.974359512329102,17.85,18.02,515648160,2318283458.4,3627011311.3500004,23.18008041381836,-0.7782101035118103,105430,2,2/1,11.29426097869873,农牧饲渔
28,603518,锦泓集团,8.942307472229004,11.33,11.44,802774688,3898119742.22,3927952198.72,21.237804412841797,-0.9615384936332703,110624,5,5/3,10.0,纺织服装
29,300702,天宇股份,17.203351974487305,26.57,27.2,484466032,5610640313.31,9245752928.64,8.816136360168457,0.0,111009,1,0/0,17.64446258544922,化学制药
