序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,002097,山河智能,5.927834987640381,8.22,8.54,561243728,8817401972.58,8833353910.08,6.25669527053833,0.1218026876449585,092500,1,0/0,5.798969268798828,工程机械
2,003035,南网能源,4.233870983123779,5.17,5.46,568532944,19583333328.79,19583333313.28,2.8451244831085205,-0.19305019080638885,092500,1,2/1,6.854838848114014,专业服务
3,600543,莫高股份,2.6666667461395264,6.16,6.6,271821040,1978099200.0,1978099200.0,13.266193389892578,0.0,092504,1,2/1,9.333333015441895,酿酒行业
4,000510,新金路,6.569343090057373,5.84,6.03,407060144,3542922531.2799997,3787494530.56,11.292299270629883,-1.3513513803482056,093109,1,0/0,12.773722648620605,化学原料
5,002952,亚世光电,5.46875,20.25,21.12,187648409,2673911898.0,3327885000.0,6.868736267089844,0.09886307269334793,093115,1,0/0,10.9375,光学光电
6,001914,招商积余,1.7384105920791626,12.29,13.29,358443792,13031612520.4,13031653126.56,2.6168510913848877,-0.08130080997943878,093403,1,0/0,8.443708419799805,房地产服
7,002663,普邦股份,4.469273567199707,1.87,1.97,126101152,2611358012.4500003,3222662435.52,4.695785045623779,0.0,093624,2,0/0,11.173184394836426,工程建设
8,600880,博瑞传播,7.6271185874938965,5.08,5.19,375830272,5552593289.0,5554127047.68,6.765174865722656,-2.1194605827331543,093657,1,0/0,7.203389644622803,教育
9,002181,粤 传 媒,7.9422383308410645,5.98,6.09,400293552,6784430682.38,6943127892.4800005,5.921648979187012,-0.16694490611553192,094518,1,0/0,10.83032512664795,文化传媒
10,600037,歌华有线,7.57575798034668,7.81,7.99,421711808,10869785274.039999,10869785305.279999,3.872905969619751,0.25673940777778625,094531,2,0/0,9.779614448547363,文化传媒
11,002878,元隆雅图,1.9843342304229736,19.53,21.07,1256197056,4574091243.33,5116465122.93,26.621379852294922,0.7220216393470764,095054,1,3/2,11.383811950683594,文化传媒
12,600990,四创电子,9.633197784423828,29.59,29.69,895915632,7960085674.64,8086645418.72,11.571859359741211,-0.336813747882843,095409,3,0/0,8.114116668701172,通信设备
13,300238,冠昊生物,16.449087142944336,17.84,18.38,761849808,4729992022.88,4730377705.84,16.658355712890625,0.0,095445,1,0/0,22.454307556152344,医疗器械
14,002669,康达新材,5.13059663772583,11.27,11.79,168299169,3402394404.5,3419318000.0,4.871540546417236,-0.8795075416564941,100342,1,0/0,10.541045188903809,化学制品
