序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000903,云内动力,10.0217866897583,5.05,124466734,9697321322.4,9846334298.4,1.2835166454315186,568861401,092500,092500,0,6/4,3,汽车零部
2,001230,劲旅环境,9.990530014038086,23.23,37454077,1256225296.22,3101114333.31,2.981477737426758,163652678,092500,092500,0,2/2,2,环保行业
3,002250,联化科技,9.985527992248535,7.6,1029039488,6889659585.599999,6926131712.0,15.020477294921875,35231320,092500,131739,6,1/1,1,农药兽药
4,603693,江苏新能,10.014410018920898,15.27,134959131,13612836687.6,13612836809.76,0.9914107918739319,152697129,092500,092500,0,2/2,2,电力行业
5,603390,通达电气,9.993108749389648,15.96,147468788,5582094029.400001,5612684864.64,2.6418185234069824,184216719,092502,092502,0,6/5,3,汽车零部
6,603577,汇金通,10.00971794128418,11.32,769951984,3839054612.0,3839054657.28,20.305023193359375,16813596,092502,103219,10,3/3,3,电网设备
7,603639,海利尔,10.0,16.28,606935744,5533219310.08,5533544910.08,10.99902629852295,54181484,092502,110919,4,2/2,2,农药兽药
8,605388,均瑶健康,10.0130033493042,8.46,35335119,5080094640.000001,5080094640.000001,0.6955602765083313,307583367,092502,092502,0,3/3,3,食品饮料
9,603056,德邦股份,9.980806350708008,17.19,572138256,17530626519.72,17530626588.48,3.2683191299438477,211033103,092503,110836,2,2/2,2,物流行业
10,002973,侨银股份,9.975469589233398,13.45,83575239,2997991415.5,5496551889.599999,2.822085380554199,141545110,093033,093033,0,1/1,1,环保行业
11,002829,星网宇达,10.010213851928711,21.54,224582212,3146183320.56,4476214346.76,7.200001239776611,153646715,093036,093036,0,1/1,1,通信设备
12,002277,友阿股份,10.016695022583008,6.59,457548720,9187598752.0,9187598752.0,5.0069260597229,348680195,093121,093121,0,1/1,1,商业百货
13,002366,融发核电,9.985315322875977,7.49,2938445120,9410918281.1,15586222983.52,31.588178634643555,324376575,093127,094109,2,4/4,4,电源设备
14,603518,锦泓集团,10.022026062011719,9.99,647958480,3437088810.66,3463392980.16,18.976516723632812,57792429,093129,110532,3,2/2,2,纺织服装
15,000826,启迪环境,10.106383323669434,2.07,122618087,2950108025.1299996,2950481223.3599997,4.2112531661987305,144177774,093239,093239,0,1/1,1,环保行业
16,300804,广康生化,20.0,34.38,372095136,945450000.0000001,2544120000.0,41.16607666015625,96198196,093445,130142,2,1/1,1,农药兽药
17,600678,四川金顶,9.961190223693848,8.5,446334832,2966415000.0,2966415000.0,15.20317268371582,84140633,093503,093921,1,1/1,1,水泥建材
18,605033,美邦股份,9.995306968688965,23.44,548475792,3169088000.0,3169088000.0,17.613418579101562,28624928,093537,134801,6,5/3,2,农药兽药
19,600192,长城电工,10.012360572814941,8.9,422128896,3931557200.0,3931557200.0,11.184809684753418,83680327,093637,093725,1,3/3,3,电网设备
20,601579,会稽山,10.017049789428711,25.81,1438888432,12374950586.289999,12374950560.48,11.791296005249023,65015390,093654,101057,3,6/4,3,酿酒行业
21,603006,联明股份,9.967584609985352,13.57,168798854,3450230172.5,3450230172.5,4.950260639190674,98793019,093801,094104,1,1/1,1,汽车零部
22,603839,安正时尚,9.959623336791992,8.17,137274013,3212055925.0,3261563347.2,4.415922164916992,94580127,094110,094110,0,1/1,1,纺织服装
23,603333,尚纬股份,9.96354866027832,9.05,1438491008,5624824653.3,5624824635.200001,26.02779769897461,35495005,094306,132112,4,5/5,5,电网设备
24,300815,玉禾田,20.0,22.32,1114691088,8634233802.24,8896573440.0,13.251425743103027,114015470,094312,130006,2,1/1,1,环保行业
25,600805,悦达投资,10.103093147277832,5.34,313428592,4540470465.12,4543776608.64,7.052387237548828,43350071,094358,095534,4,4/2,1,综合行业
26,605303,园林股份,9.980039596557617,11.02,107429660,1776836236.1599998,1776836236.1599998,6.194964408874512,112022708,095319,095319,0,1/1,1,工程建设
27,605167,利柏特,10.03752326965332,11.73,333638752,5267591100.0,5267591100.0,6.558310031890869,130598899,095351,095351,0,1/1,1,专用设备
28,605005,合兴股份,9.987592697143555,17.73,119460767,7109730000.0,7109730000.0,1.692543625831604,107098065,100303,100303,0,1/1,1,汽车零部
29,600495,晋西车轴,10.06289291381836,5.25,784717856,6343002151.5,6343002120.0,12.792859077453613,120489006,101000,101433,1,1/1,1,交运设备
30,601086,国芳集团,9.969325065612793,14.34,1026390976,9550440000.0,9550440000.0,11.173606872558594,245003202,101958,101958,0,1/1,1,商业百货
31,300997,欢乐家,20.01150131225586,20.87,599954544,8055971432.72,9130071360.640001,8.194820404052734,103648037,102027,102027,0,1/1,1,食品饮料
32,002347,泰尔股份,10.025707244873047,8.56,627808144,4223357632.5600004,4320251448.320001,15.423240661621094,326861888,102806,102806,0,1/1,1,通用设备
33,603076,乐惠国际,10.018149375915527,30.31,341253456,3658457736.64,3658457736.64,9.685920715332031,24476992,103100,105848,3,3/2,1,专用设备
34,002342,巨力索具,10.039369583129883,5.59,745308816,5336717100.0,5366400000.0,14.540733337402344,477488856,103248,103248,0,1/1,1,通用设备
35,002177,御银股份,10.084033966064453,5.24,721022672,3506660997.36,3988642391.04,21.015256881713867,278295860,104330,112809,1,1/1,1,计算机设
36,002550,千红制药,9.953344345092773,7.07,553154720,6771218830.6,9048186000.0,8.470678329467773,218562375,110715,110715,0,1/1,1,化学制药
37,002278,神开股份,10.0,8.91,682923296,2977780102.11,3242434963.68,23.73173713684082,257509629,111612,111612,0,1/1,1,专用设备
38,002867,周大生,10.033670425415039,16.34,435853120,17803233535.84,17907435284.48,2.518322706222534,215035217,111909,111909,0,1/1,1,珠宝首饰
39,002998,优彩资源,9.986129760742188,7.93,202619923,1930482641.62,2588410745.44,10.853875160217285,174960383,112654,112654,0,1/1,1,化纤行业
40,000539,粤电力Ａ,10.11494255065918,4.79,657738288,12233164948.710001,25148860513.28,5.483501434326172,360507082,130109,130109,0,1/1,1,电力行业
41,603680,今创集团,10.020242691040039,10.87,128341142,8519022997.289999,8519023008.16,1.571202039718628,56452453,130128,130128,0,1/1,1,交运设备
42,002946,新乳业,10.027547836303711,19.97,384525568,16988592888.91,17187658182.399998,2.312532424926758,140496798,130206,130206,0,1/1,1,食品饮料
43,300740,水羊股份,20.01419448852539,16.91,973387424,6042792828.96,6566804508.4800005,17.454133987426758,471279281,131157,131157,0,1/1,1,美容护理
44,002907,华森制药,9.974260330200195,17.09,584772624,5278897714.45,7136721108.8,11.635951042175293,195719807,131736,131736,0,2/2,2,中药
45,603506,南都物业,10.036166191101074,12.17,148678542,2285255570.43,2285255570.43,6.7165350914001465,97851911,132502,132502,0,1/1,1,房地产服
46,605188,国光连锁,10.015649795532227,14.06,508572256,6967854800.0,6967854800.0,7.597230434417725,131267407,132604,132604,0,1/1,1,商业百货
47,605599,菜百股份,9.986859321594238,16.74,243486755,13020000371.999998,13020000505.919998,1.9624954462051392,139739543,134143,134143,0,1/1,1,珠宝首饰
48,600612,老凤祥,10.00607681274414,54.31,470757728,17222224005.3,28410525545.600002,2.8154916763305664,156350343,134440,134440,0,1/1,1,珠宝首饰
49,002574,明牌珠宝,10.044313430786133,7.45,801042272,3933600000.0,3933600000.0,21.746665954589844,218178271,135330,135330,0,2/2,2,珠宝首饰
50,002731,萃华珠宝,9.965636253356934,12.8,466886448,2939601920.0,3278796800.0,16.844858169555664,170656000,135442,135442,0,1/1,1,珠宝首饰
