序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000903,云内动力,10.071942329406738,4.59,224800299,8814000964.32,8949440481.119999,2.5504908561706543,318149883,092500,092500,0,5/3,2,汽车零部
2,001332,锡装股份,10.005422592163086,40.57,144772338,1095390000.0,4462700000.0,13.243267059326172,149142744,092500,093112,1,2/2,2,专用设备
3,002366,融发核电,10.016155242919922,6.81,200278695,8556522495.9,14171185382.88,2.3406553268432617,604341192,092500,092500,0,3/3,3,电源设备
4,603333,尚纬股份,10.026738166809082,8.23,25485652,5115172032.780001,5115172016.320001,0.49823644757270813,561235163,092501,092501,0,4/4,4,电网设备
5,605388,均瑶健康,10.01430606842041,7.69,34196200,4617721960.0,4617721960.0,0.7405426502227783,324266229,092501,092501,0,2/2,2,食品饮料
6,603577,汇金通,10.053476333618164,10.29,27848342,3489741338.9999995,3489741380.16,0.7980058789253235,638910730,092503,092503,0,2/2,2,电网设备
7,603607,京华激光,9.989701271057129,32.04,595517968,5719678272.0,5719678272.0,10.416516304016113,203752100,093000,094948,1,6/5,4,造纸印刷
8,603056,德邦股份,9.992961883544922,15.63,319866112,15939714514.44,15939714576.960001,2.0179262161254883,190746957,093001,100128,1,1/1,1,物流行业
9,001230,劲旅环境,10.0,21.12,78494515,1142121319.68,2819437568.6400003,6.926923751831055,82628198,093015,093015,0,1/1,1,环保行业
10,603518,锦泓集团,10.060606002807617,9.08,103029354,3124000640.72,3147908734.72,3.334134578704834,109059988,093024,093024,0,1/1,1,纺织服装
11,603192,汇得科技,9.996140480041504,28.5,219965442,3952000009.5,4022879509.5,5.579819202423096,191623483,093025,093025,0,5/5,5,化学制品
12,601579,会稽山,9.98593521118164,23.46,321130560,11248211575.140001,11248211551.68,2.877926826477051,187250564,093027,093436,1,5/3,2,酿酒行业
13,600192,长城电工,10.068026542663574,8.09,314355104,3573741320.0,3573741320.0,8.864911079406738,69490673,093033,093933,4,2/2,2,电网设备
14,688455,科捷智能,20.0,17.28,219854432,2243793605.76,3125073605.76,9.97791576385498,42852170,093051,094939,2,2/2,2,通用设备
15,600172,黄河旋风,10.1010103225708,4.36,312763984,5564475070.0,6287924332.8,5.66597318649292,403949387,093119,093119,0,1/1,1,非金属材
16,603693,江苏新能,9.984151840209961,13.88,248727206,12373685214.400002,12373685325.44,2.0413215160369873,395127373,093204,093204,0,1/1,1,电力行业
17,002846,英联股份,10.034305572509766,12.83,280676832,3297542171.68,5388518298.56,8.770235061645508,294890480,093221,093221,0,3/2,1,包装材料
18,002549,凯美特气,10.038986206054688,11.29,1050734160,7816739048.539999,7850477836.16,13.638498306274414,302464745,093309,095330,2,2/2,2,化学制品
19,002259,升达林业,10.073710441589355,4.48,118830243,3370430636.1600003,3370430658.5600004,3.6629550457000732,199962358,093536,093536,0,4/2,1,燃气
20,600189,泉阳泉,9.986320495605469,8.04,309320352,5750190408.48,5750190376.32,5.462987899780273,125148461,093602,093602,0,1/1,1,食品饮料
21,600530,交大昂立,10.012836456298828,8.57,480996720,6641064400.0,6641064400.0,7.359764575958252,220649219,093611,095559,1,1/1,1,食品饮料
22,600708,光明地产,10.060976028442383,3.61,166253497,8033252753.309999,8045378616.96,2.105942964553833,99418858,094138,094138,0,1/1,1,房地产开
23,002286,保龄宝,9.991079330444336,12.33,619013968,4557263927.4,4559231746.08,13.900371551513672,237168783,094200,100542,4,1/1,1,食品饮料
24,002437,誉衡药业,9.885931968688965,2.89,480079744,6072965348.77,6490332313.92,8.052311897277832,490719338,094200,094200,0,1/1,1,化学制药
25,002907,华森制药,9.978768348693848,15.54,107814455,4800121151.7,6489446812.799999,2.320307970046997,373802268,094751,094751,0,1/1,1,中药
26,300858,科拓生物,19.986356735229492,17.59,383270720,3334245255.86,4634879125.62,11.94146728515625,368861473,094830,094830,0,1/1,1,食品饮料
27,603767,中马传动,10.006583213806152,16.71,256612461,5157232365.0,5157232431.84,5.137389183044434,310531939,095700,095700,0,1/1,1,汽车零部
28,600616,金枫酒业,10.047846794128418,6.9,327483264,4616134155.0,4616134113.6,7.360629081726074,291318400,095732,095732,0,1/1,1,酿酒行业
29,000078,海王生物,9.829059600830078,2.57,90487105,6749953724.66,6761986788.48,1.384403109550476,287123052,100245,100245,0,1/1,1,医药商业
30,000639,西王食品,9.933774948120117,3.32,231265464,3583695140.04,3583701278.72,6.734756946563721,682654748,100406,100406,0,1/1,1,食品饮料
