序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000903,云内动力,10.071942329406738,4.59,249720226,8814000964.32,8949440481.119999,2.8332221508026123,250827076,092500,092500,0,5/3,2,汽车零部
2,001332,锡装股份,10.005422592163086,40.57,149493469,1095390000.0,4462700000.0,13.674266815185547,138157605,092500,093112,1,2/2,2,专用设备
3,002366,融发核电,10.016155242919922,6.81,224220626,8556522495.9,14171185382.88,2.620464324951172,562535269,092500,092500,0,3/3,3,电源设备
4,603333,尚纬股份,10.026738166809082,8.23,28517172,5115172032.780001,5115172016.320001,0.5575017333030701,448507618,092501,092501,0,4/4,4,电网设备
5,605388,均瑶健康,10.01430606842041,7.69,39320508,4617721960.0,4617721960.0,0.8515130877494812,294374738,092501,092501,0,2/2,2,食品饮料
6,603577,汇金通,10.053476333618164,10.29,31484004,3489741338.9999995,3489741380.16,0.9021873474121094,607224527,092503,092503,0,2/2,2,电网设备
7,603607,京华激光,9.989701271057129,32.04,606725568,5719678272.0,5719678272.0,10.612464904785156,191384660,093000,094948,1,6/5,4,造纸印刷
8,001230,劲旅环境,10.0,21.12,86233728,1142121319.68,2819437568.6400003,7.604541301727295,58470297,093015,093015,0,1/1,1,环保行业
9,603518,锦泓集团,10.060606002807617,9.08,115617866,3124000640.72,3147908734.72,3.737095832824707,111309104,093024,093024,0,1/1,1,纺织服装
10,603192,汇得科技,9.996140480041504,28.5,225189492,3952000009.5,4022879509.5,5.712006568908691,151808983,093025,093025,0,5/5,5,化学制品
11,601579,会稽山,9.98593521118164,23.46,338270432,11248211575.140001,11248211551.68,3.0303053855895996,190854138,093027,093436,1,5/3,2,酿酒行业
12,600192,长城电工,10.068026542663574,8.09,418904704,3573741320.0,3573741320.0,11.793392181396484,30146211,093033,103030,6,2/2,2,电网设备
13,688455,科捷智能,20.0,17.28,222929374,2243793605.76,3125073605.76,10.114957809448242,35749503,093051,094939,2,2/2,2,通用设备
14,600172,黄河旋风,10.1010103225708,4.36,344100432,5564475070.0,6287924332.8,6.229125022888184,309593136,093119,093119,0,1/1,1,非金属材
15,603693,江苏新能,9.984151840209961,13.88,262900213,12373685214.400002,12373685325.44,2.155863046646118,279480462,093204,093204,0,1/1,1,电力行业
16,002846,英联股份,10.034305572509766,12.83,291383504,3297542171.68,5388518298.56,9.094921112060547,236259908,093221,093221,0,3/2,1,包装材料
17,002549,凯美特气,10.038986206054688,11.29,1071170192,7816739048.539999,7850477836.16,13.899937629699707,184379248,093309,095330,2,2/2,2,化学制品
18,002259,升达林业,10.073710441589355,4.48,131007331,3370430636.1600003,3370430658.5600004,4.024246692657471,151617782,093536,093536,0,4/2,1,燃气
19,600189,泉阳泉,9.986320495605469,8.04,329823328,5750190408.48,5750190376.32,5.819549560546875,101478540,093602,093602,0,1/1,1,食品饮料
20,600530,交大昂立,10.012836456298828,8.57,560900832,6641064400.0,6641064400.0,8.562947273254395,105034777,093611,095559,1,1/1,1,食品饮料
21,000561,烽火电子,9.989806175231934,10.79,1253695104,6493314833.719999,8090009667.999999,19.882511138916016,113541422,093739,101233,7,4/3,1,通信设备
22,002286,保龄宝,9.991079330444336,12.33,639145040,4557263927.4,4559231746.08,14.342107772827148,148445802,094200,100542,4,1/1,1,食品饮料
23,002437,誉衡药业,9.885931968688965,2.89,543245264,6072965348.77,6490332313.92,9.092422485351562,264744860,094200,094200,0,1/1,1,化学制药
24,603332,苏州龙杰,10.016695022583008,19.77,821077536,4277183827.68,4277183827.68,19.497352600097656,61096417,094422,102410,6,13/9,3,化纤行业
25,002907,华森制药,9.978768348693848,15.54,126513022,4800121151.7,6489446812.799999,2.7098515033721924,266777448,094751,094751,0,1/1,1,中药
26,300858,科拓生物,19.986356735229492,17.59,417583328,3334245255.86,4634879125.62,12.970563888549805,234974256,094830,094830,0,1/1,1,食品饮料
27,603767,中马传动,10.006583213806152,16.71,514019152,5157232365.0,5157232431.84,10.160759925842285,155392974,095700,104100,1,1/1,1,汽车零部
28,600616,金枫酒业,10.047846794128418,6.9,347237504,4616134155.0,4616134113.6,7.788568019866943,132700965,095732,095732,0,1/1,1,酿酒行业
29,000078,海王生物,9.829059600830078,2.57,154323127,6749953724.66,6761986788.48,2.3301284313201904,99480708,100245,100245,0,1/1,1,医药商业
30,000639,西王食品,9.933774948120117,3.32,280920512,3583695140.04,3583701278.72,8.120339393615723,242632645,100406,100406,0,1/1,1,食品饮料
31,603697,有友食品,10.023492813110352,14.05,215513416,6009073976.900001,6009073948.8,3.6827468872070312,145331415,101550,101550,0,1/1,1,食品饮料
32,002574,明牌珠宝,10.081300735473633,6.77,383909264,3574560000.0,3574560000.0,11.331912994384766,322115246,102127,102127,0,1/1,1,珠宝首饰
33,603900,莱绅通灵,10.0,13.86,666192096,4733312522.4,4754310422.4,14.847437858581543,92871147,102137,102137,0,6/5,2,珠宝首饰
34,301260,格力博,20.019296646118164,24.88,887783760,5281299245.599999,12198469338.88,17.6754150390625,301468198,102151,102151,0,1/1,1,专用设备
35,300703,创源股份,20.022884368896484,20.98,852800208,3559500011.34,3784620803.2000003,25.951082229614258,313300634,102518,102518,0,1/1,1,家用轻工
36,002103,广博股份,10.038241386413574,11.51,791876288,4340135413.88,6149481769.599999,18.925813674926758,422425517,102600,102600,0,1/1,1,家用轻工
37,002471,中超控股,10.038609504699707,5.7,2131708624,7438481549.1,7803300000.0,29.691253662109375,278164275,102857,102857,0,17/11,4,电网设备
38,002345,潮宏基,9.966499328613281,13.13,705459664,11383767312.45,11666171803.52,6.402021408081055,11430978,103400,130842,14,1/1,1,珠宝首饰
39,000953,河化股份,9.986504554748535,8.15,505915952,2983895889.25,2983895864.8,17.98348617553711,418844286,104603,104603,0,1/1,1,化学制药
40,300464,星徽股份,19.960861206054688,6.13,483221552,2178250597.75,2833388101.2799997,23.740896224975586,353595337,105448,105448,0,1/1,1,互联网服
41,600059,古越龙山,10.028116226196289,11.74,957945760,10701507928.62,10701507963.84,9.279744148254395,117828369,111017,111341,1,1/1,1,酿酒行业
42,002427,尤夫股份,9.954751014709473,9.72,1240953856,9571836688.92,9578406660.480001,13.63885498046875,334457190,111903,111903,0,11/6,1,化纤行业
43,605151,西上海,10.00575065612793,19.13,108713160,2574022266.8599997,2587843271.0,4.408632278442383,112983119,130009,130009,0,1/1,1,汽车零部
44,603686,福龙马,10.0217866897583,15.15,753250688,6293770620.6,6293770560.0,12.511798858642578,307099665,130233,130233,0,1/1,1,环保行业
45,002882,金龙羽,10.01262092590332,26.15,1439809360,6454006972.5,11320335000.0,23.84746742248535,538156540,130642,130642,0,6/4,1,电网设备
46,600468,百利电气,10.084033966064453,6.55,1329930336,7124666352.55,7124666398.4,19.722248077392578,102909787,130814,131038,2,8/5,2,电网设备
47,600644,乐山电力,10.032787322998047,16.78,1727579168,9034363058.02,9704223292.480001,19.833986282348633,602061517,131552,131552,0,6/3,1,电力行业
48,603639,海利尔,10.037175178527832,14.8,106241553,5030199372.8,5030495372.8,2.19781494140625,99334640,131839,131839,0,1/1,1,农药兽药
49,600990,四创电子,10.0,25.63,776904512,6894795398.48,7004417779.04,11.815949440002441,425923671,132101,132101,0,4/2,1,通信设备
