序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000701,厦门信达,10.082645416259766,6.66,120681411,4446922332.96,4500875312.64,2.7138187885284424,193478780,092500,092500,0,2/2,2,商业百货
2,000889,中嘉博创,10.091742515563965,3.6,14982120,3131458833.6,3370648032.0,0.47843900322914124,179917920,092500,092500,0,3/3,3,通信服务
3,002826,易明医药,9.97286319732666,16.21,22706968,2799689644.3500004,3090886327.5,0.8110530376434326,816457175,092500,092500,0,3/3,3,中药
4,002951,金时科技,9.98217487335205,12.34,96779819,4997681490.0,4997700000.0,1.9364943504333496,69450754,092500,092500,0,4/4,4,包装材料
5,600082,海泰发展,9.951457023620605,4.53,37678973,2873539416.36,2926904682.7200003,1.3112391233444214,259913488,092501,092501,0,1/1,1,房地产开
6,603226,菲林格尔,9.959758758544922,10.93,77257095,3885525046.1,3885525111.68,1.992227554321289,38794843,092502,093041,1,4/4,3,装修建材
7,603679,华体科技,10.014103889465332,15.6,87680798,2567473927.2,2567473927.2,3.4150609970092773,173110641,092502,092502,0,2/2,2,光学光电
8,603017,中衡设计,10.017730712890625,12.41,886440944,3423990704.98,3423990680.16,26.2034912109375,77001220,093026,105532,4,5/4,1,工程咨询
9,002153,石基信息,10.01220989227295,9.01,226325167,14413871874.039999,24590036498.399998,1.5827946662902832,402664405,093039,093039,0,1/1,1,软件开发
10,603829,洛凯股份,9.993753433227539,17.61,63350304,2817600000.0,2817600000.0,2.2688562870025635,69325093,093046,093243,1,1/1,1,电网设备
11,002298,中电鑫龙,9.95850658416748,7.95,929366368,5196640057.2,5883881623.2,17.972156524658203,251382975,093054,093054,0,3/3,3,电网设备
12,002546,新联电子,10.054844856262207,6.02,681740144,4823417217.92,5020975606.08,14.306527137756348,73886831,093130,094300,4,2/2,2,电网设备
13,002629,仁智股份,9.980806350708008,5.73,155360255,2039595981.0900002,2441541540.0,7.657536029815674,169949508,093203,093203,0,1/1,1,采掘行业
14,003040,楚天龙,10.028247833251953,15.58,399203312,7117727019.64,7184498381.44,5.709120750427246,326769996,093203,093203,0,1/1,1,通信设备
15,002716,湖南白银,9.887005805969238,3.89,553858688,8598763652.32,10981814809.6,6.502670764923096,336673742,093224,093521,1,1/1,1,贵金属
