序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301024,霍普股份,45.56,19.99,7.59,34002.0,154913248.68,0.0,45.56,45.56,45.56,37.97,2.13,5.65,-82.06,6.86,2896932600.0,2743167600.0,0.0,0.0,87.49,91.43
2,688070,纵横股份,47.11,19.99,7.85,78942.0,350221207.0,18.14,47.11,39.99,39.99,39.26,8.04,9.01,-36.93,7.61,4125893800.0,4125893800.0,0.0,0.0,5.49,33.46
3,300149,睿智医药,10.27,19.98,1.71,1617244.0,1595530528.65,14.84,10.27,9.0,9.0,8.56,2.7,32.53,192.49,4.19,5114090198.0,5105056901.0,0.0,0.69,53.74,59.97
4,430047,诺思兰德,21.5,17.94,3.27,256910.0,550690712.33,26.6,23.0,18.15,18.19,18.23,5.72,14.26,-191.04,18.23,5896847441.0,3872288181.0,0.09,-0.14,49.83,86.47
5,301633,港迪技术,80.57,15.43,10.77,42773.0,338355604.62,21.15,83.76,69.0,69.58,69.8,8.52,30.73,-216.02,4.87,4486137600.0,1121534400.0,-1.01,0.34,-3.03,-3.49
6,300546,雄帝科技,25.41,15.08,3.33,772386.0,1988757541.5,9.06,26.5,24.5,24.73,22.08,3.49,57.57,-113.17,4.37,4742336678.0,3408833701.0,-1.36,0.71,29.84,51.07
7,688131,皓元医药,43.97,14.92,5.71,125414.0,522782142.0,17.09,44.8,38.26,38.26,38.26,3.61,6.08,37.17,3.31,9275901571.0,9065771799.0,0.18,1.03,-3.38,23.68
8,688799,华纳药厂,46.88,14.2,5.83,169495.0,788450848.0,22.31,49.26,40.1,40.78,41.05,2.96,12.91,37.34,3.43,6156281600.0,6156281600.0,-0.09,1.01,60.82,58.97
9,837748,路桥信息,43.58,13.55,5.2,92756.0,406044657.01,14.3,46.52,41.03,44.54,38.38,2.39,14.88,-127.39,10.63,3344329200.0,2717107319.0,2.06,2.06,74.74,123.26
10,300975,商络电子,12.38,13.47,1.47,957145.0,1168754369.4,20.07,12.85,10.66,10.87,10.91,6.01,20.4,58.03,3.89,8505129378.0,5808179927.0,-0.24,-0.48,3.69,10.14
11,300204,舒泰神,26.1,13.28,3.06,579032.0,1452604066.69,24.05,27.5,21.96,23.0,23.04,1.07,12.27,-1335.08,13.08,12469863686.0,12318659756.0,1.52,1.16,248.46,252.23
12,688488,艾迪药业,13.82,11.72,1.45,200653.0,265849931.0,20.94,14.82,12.23,12.25,12.37,2.41,4.77,93.3,5.84,5815218407.0,5815218407.0,-0.22,0.36,64.52,75.83
13,002310,东方园林,2.37,10.23,0.22,2017899.0,466698206.18,12.56,2.37,2.1,2.1,2.15,3.41,4.81,-728.71,9.27,14218393417.0,9951851481.0,0.0,0.0,45.4,26.06
14,600743,华远地产,2.16,10.2,0.2,944952.0,202043176.0,6.63,2.16,2.03,2.05,1.96,3.65,4.03,-90.39,7.73,5067577888.0,5067577888.0,0.0,0.0,10.77,1.89
