序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688070,纵横股份,47.11,19.99,7.85,78833.0,349707849.0,18.14,47.11,39.99,39.99,39.26,8.26,9.0,-36.93,7.61,4125893800.0,4125893800.0,0.0,0.0,5.49,33.46
2,301024,霍普股份,45.56,19.99,7.59,33990.0,154858576.68,0.0,45.56,45.56,45.56,37.97,2.17,5.65,-82.06,6.86,2896932600.0,2743167600.0,0.0,0.0,87.49,91.43
3,300149,睿智医药,10.2,19.16,1.64,1594374.0,1572060634.65,14.84,10.27,9.0,9.0,8.56,2.73,32.07,191.18,4.16,5079232718.0,5070260992.0,0.39,0.2,52.69,58.88
4,430047,诺思兰德,21.52,18.05,3.29,255946.0,548617927.81,26.6,23.0,18.15,18.19,18.23,5.81,14.21,-191.22,18.25,5902332880.0,3875890309.0,0.28,1.27,49.97,86.64
5,301633,港迪技术,80.3,15.04,10.5,42484.0,336014553.42,21.15,83.76,69.0,69.58,69.8,8.62,30.52,-215.29,4.86,4471104000.0,1117776000.0,-0.25,-0.22,-3.36,-3.81
6,300546,雄帝科技,25.18,14.04,3.1,765343.0,1970793356.7,9.06,26.5,24.5,24.73,22.08,3.55,57.05,-112.14,4.33,4699411159.0,3377978457.0,-0.28,-0.59,28.67,49.7
7,688131,皓元医药,43.61,13.98,5.35,121526.0,505704504.0,17.09,44.8,38.26,38.26,38.26,3.57,5.89,36.87,3.28,9199956049.0,8991546694.0,-0.64,-0.66,-4.17,22.67
8,300975,商络电子,12.35,13.2,1.44,940195.0,1147716379.4,20.07,12.85,10.66,10.87,10.91,6.05,20.04,57.89,3.88,8484519209.0,5794105178.0,-0.16,0.32,3.43,9.88
9,688799,华纳药厂,46.41,13.06,5.36,168213.0,782446967.0,22.31,49.26,40.1,40.78,41.05,3.0,12.81,36.97,3.39,6094561200.0,6094561200.0,0.24,0.15,59.21,57.38
10,300204,舒泰神,25.8,11.98,2.76,572961.0,1436889108.69,24.05,27.5,21.96,23.0,23.04,1.09,12.14,-1319.73,12.93,12326531919.0,12177065966.0,0.23,0.39,244.46,248.18
11,688488,艾迪药业,13.77,11.32,1.4,199497.0,264252905.0,20.94,14.82,12.23,12.25,12.37,2.46,4.74,92.96,5.82,5794179266.0,5794179266.0,0.51,0.66,63.93,75.19
12,837748,路桥信息,42.7,11.26,4.32,91870.0,402241449.29,14.3,46.52,41.03,44.54,38.38,2.42,14.74,-124.82,10.42,3276798000.0,2662241453.0,1.67,1.52,71.21,118.75
13,002310,东方园林,2.37,10.23,0.22,2015229.0,466065373.52,12.56,2.37,2.1,2.1,2.15,3.47,4.8,-728.71,9.27,14218393417.0,9951851481.0,0.0,0.0,45.4,26.06
14,600743,华远地产,2.16,10.2,0.2,944441.0,201932800.0,6.63,2.16,2.03,2.05,1.96,3.71,4.03,-90.39,7.73,5067577888.0,5067577888.0,0.0,0.0,10.77,1.89
15,600543,莫高股份,6.0,10.09,0.55,179963.0,104961130.0,12.11,6.0,5.34,5.45,5.45,2.48,5.6,-48.1,2.41,1926720000.0,1926720000.0,0.0,0.0,24.74,29.31
16,002177,御银股份,6.34,10.07,0.58,211378.0,134013690.04,0.0,6.34,6.34,6.34,5.76,0.22,3.16,183.59,2.83,4825952804.0,4242792123.0,0.0,0.0,30.72,40.89
17,000566,海南海药,6.12,10.07,0.56,645906.0,391310110.84,10.43,6.12,5.54,5.54,5.56,0.79,5.54,-29.03,17.38,7939874571.0,7135367566.0,0.0,0.0,22.16,27.77
18,600468,百利电气,7.01,10.05,0.64,2093089.0,1316378958.0,19.78,7.01,5.75,6.1,6.37,1.18,19.24,59.62,3.89,7625024600.0,7625024600.0,0.0,0.0,63.02,49.15
19,002250,联化科技,9.2,10.05,0.84,2029307.0,1832202870.62,9.45,9.2,8.41,8.55,8.36,2.75,22.39,42.16,1.3,8384264676.0,8340114235.0,0.0,0.0,35.1,66.97
20,603226,菲林格尔,8.22,10.04,0.75,93981.0,74676055.0,9.91,8.22,7.48,7.48,7.47,2.1,2.64,-53.44,3.14,2922142349.0,2922142349.0,0.0,0.0,31.52,73.78
21,002537,海联金汇,8.33,10.04,0.76,271463.0,226129028.86,0.0,8.33,8.33,8.33,7.57,0.34,2.31,48.28,2.41,9779559486.0,9779559486.0,0.0,0.0,46.65,44.87
22,002907,华森制药,20.63,10.03,1.88,132978.0,267515782.21,7.63,20.63,19.2,19.2,18.75,0.76,4.31,53.37,5.13,8615011958.0,6372361606.0,0.0,0.0,64.38,59.31
23,002875,安奈儿,16.9,10.03,1.54,143974.0,239954614.5,8.33,16.9,15.62,15.62,15.36,1.87,7.89,-107.99,5.17,3599782337.0,3082900941.0,0.0,0.0,29.01,30.4
24,002900,哈三联,15.03,10.03,1.37,157634.0,234471179.5,10.03,15.03,13.66,13.66,13.66,0.48,9.11,-41.21,2.3,4754853977.0,2601393076.0,0.0,0.0,54.15,55.75
25,600551,时代出版,9.77,10.02,0.89,826477.0,793136253.0,8.56,9.77,9.01,9.77,8.88,10.92,12.19,27.86,1.17,6624599685.0,6624599685.0,0.0,4.94,22.74,13.47
26,002082,万邦德,6.26,10.02,0.57,167872.0,100789310.2,10.02,6.26,5.69,5.69,5.69,2.7,3.03,62.97,1.43,3829173484.0,3463382072.0,0.0,0.0,6.1,-2.64
27,603477,巨星农牧,21.85,10.02,1.99,494167.0,1072103551.0,8.46,21.85,20.17,20.31,19.86,4.79,9.69,21.49,3.51,11145035924.0,11145035924.0,0.23,0.09,25.57,23.1
28,000029,深深房Ａ,20.01,10.01,1.82,175029.0,345880075.51,11.0,20.01,18.01,18.01,18.19,4.12,1.96,69.88,5.64,20243316600.0,17842116600.0,0.0,0.0,34.57,32.87
29,003041,真爱美家,33.4,10.01,3.04,49889.0,163734738.5,7.87,33.4,31.01,32.3,30.36,4.9,3.65,5.78,3.09,4809600000.0,4569901560.0,0.0,0.0,32.96,24.53
30,002982,湘佳股份,16.38,10.01,1.49,293783.0,469769271.19,9.67,16.38,14.94,14.95,14.89,8.04,22.62,24.09,2.08,3328316262.0,2127365997.0,0.0,0.0,31.99,30.62
31,003009,中天火箭,41.04,10.0,3.73,107119.0,435113924.0,10.02,41.04,37.3,37.33,37.31,8.4,6.89,-91.09,4.1,6377358556.0,6377326134.0,0.0,0.0,8.43,5.23
32,002104,恒宝股份,8.91,10.0,0.81,1710939.0,1510802828.02,6.91,8.91,8.35,8.43,8.1,6.35,28.54,65.9,2.9,6309902992.0,5341919256.0,0.0,0.0,34.8,31.8
33,002743,富煌钢构,8.25,10.0,0.75,635020.0,488805827.04,14.0,8.25,7.2,7.5,7.5,1.48,14.61,51.55,1.11,3590964944.0,3585210569.0,0.0,0.0,35.47,25.57
34,002431,棕榈股份,2.97,10.0,0.27,1184940.0,345488826.32,11.85,2.97,2.65,2.66,2.7,0.49,6.54,-8.32,3.6,5384064307.0,5384064307.0,0.0,0.0,46.31,42.11
35,603194,中力股份,41.24,10.0,3.75,202778.0,813659881.0,7.87,41.24,38.29,38.29,37.49,5.67,40.7,21.58,3.29,16537240000.0,2054924701.0,0.0,0.0,8.96,15.23
36,605099,共创草坪,25.43,9.99,2.31,49847.0,123797846.0,9.65,25.43,23.2,23.2,23.12,3.47,1.25,16.37,3.84,10213756060.0,10174288700.0,0.0,0.0,22.26,21.21
37,002878,元隆雅图,19.15,9.99,1.74,355313.0,679403554.1,3.39,19.15,18.56,19.15,17.41,1.84,15.17,50.64,3.64,5016912806.0,4485092028.0,0.0,0.0,19.46,16.2
38,603056,德邦股份,20.8,9.99,1.89,40120.0,83449600.0,0.0,20.8,20.8,20.8,18.91,0.14,0.39,-77.56,2.53,21212160070.0,21212160070.0,0.0,0.0,49.64,45.15
39,003035,南网能源,4.96,9.98,0.45,285038.0,141378649.6,0.0,4.96,4.96,4.96,4.51,2.54,0.75,51.42,2.8,18787878784.0,18787878784.0,0.0,0.0,16.43,18.94
40,603879,永悦科技,5.4,9.98,0.49,175497.0,90271196.0,10.39,5.4,4.89,4.94,4.91,2.77,4.88,-83.12,7.5,1940459976.0,1940459976.0,0.0,0.0,28.88,40.63
41,002162,悦心健康,4.52,9.98,0.41,851353.0,381037042.2,6.81,4.52,4.24,4.24,4.11,4.36,9.27,-124.79,5.07,4157048362.0,4151593427.0,0.0,0.0,9.18,30.64
42,603017,中衡设计,9.81,9.98,0.89,350180.0,337811386.0,9.3,9.81,8.98,8.98,8.92,3.5,12.69,31.66,1.82,2706635682.0,2706635682.0,0.0,0.0,12.76,22.17
43,002633,申科股份,15.44,9.97,1.4,53478.0,82570032.0,0.0,15.44,15.44,15.44,14.04,0.85,3.58,673.04,5.51,2316000000.0,2307025500.0,0.0,0.0,39.98,43.63
44,603123,翠微股份,11.25,9.97,1.02,1013553.0,1136759002.0,3.42,11.25,10.9,11.25,10.23,2.35,15.54,-27.42,4.37,8985787481.0,7338104426.0,0.0,0.0,42.95,39.75
45,600676,交运股份,5.3,9.96,0.48,1184969.0,621070984.0,6.02,5.3,5.01,5.14,4.82,7.93,11.52,-25.04,1.07,5451012603.0,5451012603.0,0.0,0.0,22.69,17.52
46,603359,东珠生态,7.85,9.94,0.71,623907.0,472859673.0,12.04,7.85,6.99,6.99,7.14,0.95,13.99,-2217.14,1.31,3501853600.0,3501853600.0,0.0,0.0,54.83,41.95
47,871970,大禹生物,9.36,9.6,0.82,112277.0,104874364.01,16.98,9.9,8.45,8.51,8.54,5.18,16.26,-80.44,3.59,1042333344.0,646222824.0,0.11,1.52,25.13,66.55
48,300905,宝丽迪,28.68,9.55,2.5,206867.0,600596250.86,15.28,31.0,27.0,27.51,26.18,5.81,15.25,47.43,2.77,5102107642.0,3891109584.0,-0.21,-0.17,3.24,11.34
49,300651,金陵体育,16.57,9.23,1.4,184890.0,297790660.59,18.46,17.8,15.0,15.69,15.17,4.89,24.66,-314.86,2.79,2133432869.0,1242353579.0,0.36,0.12,23.2,32.45
50,001212,中旗新材,57.05,9.08,4.75,156361.0,866415621.71,11.51,57.53,51.51,53.5,52.3,1.92,10.25,-618.57,5.97,10227336157.0,8699171010.0,-0.42,-0.52,250.21,242.03
51,688136,科兴制药,54.5,9.02,4.51,62856.0,336185655.0,21.38,58.89,48.2,48.92,49.99,1.63,3.15,106.35,6.54,10880502625.0,10880502625.0,-0.91,0.33,153.14,149.31
52,600192,长城电工,9.42,8.78,0.76,1063197.0,985464616.0,13.63,9.53,8.35,8.5,8.66,2.58,24.07,-26.05,3.66,4161266160.0,4161266160.0,0.0,0.11,29.4,63.26
53,002773,康弘药业,32.1,8.52,2.52,217094.0,685745454.18,10.07,32.54,29.56,29.56,29.58,2.28,3.16,18.48,3.47,29568051638.0,22042417696.0,0.16,0.31,67.89,63.78
54,300434,金石亚药,10.13,8.46,0.79,606444.0,618538533.3,17.56,10.88,9.24,9.24,9.34,1.79,17.73,16.19,1.62,4069665423.0,3465686601.0,-0.2,-0.3,16.17,22.79
55,300238,冠昊生物,15.25,8.39,1.18,429911.0,657938594.7,17.13,16.5,14.09,14.26,14.07,3.98,16.21,68.0,7.26,4043624440.0,4043294751.0,0.07,0.07,21.32,26.66
56,603686,福龙马,17.53,8.34,1.35,1655310.0,2830206957.0,10.51,17.8,16.1,16.98,16.18,2.58,39.85,28.68,2.14,7282494982.0,7282494982.0,-0.06,-0.51,35.05,68.56
