序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,872931,无锡鼎邦,22.2,21.25,3.89,85071.0,181182685.41,22.94,23.0,18.8,18.9,18.31,7.31,29.56,62.8,5.22,2085246000.0,638822760.0,0.0,0.63,56.34,109.04
2,300418,昆仑万维,37.43,20.01,6.24,935776.0,3215795374.38,17.41,37.43,32.0,32.51,31.19,11.46,7.6,-14.99,3.42,46094859871.0,46094859871.0,0.0,0.0,-11.68,-2.73
3,688336,三生国健,56.69,20.0,9.45,196133.0,1072729199.0,13.04,56.69,50.53,51.41,47.24,6.86,3.18,84.9,6.17,34965586605.0,34965586605.0,0.0,0.0,115.96,164.66
4,301316,慧博云通,50.11,20.0,8.35,23745.0,118986195.0,0.0,50.11,50.11,50.11,41.76,0.28,0.98,1215.82,20.0,20244440000.0,12168036065.0,0.0,0.0,91.55,95.97
5,301571,国科天成,53.69,20.0,8.95,110723.0,563243256.6,20.88,53.69,44.35,44.58,44.74,12.02,30.85,182.28,5.22,9633377001.0,1926675422.0,0.0,0.0,21.44,26.3
6,301105,鸿铭股份,39.72,20.0,6.62,38128.0,147497499.99,8.55,39.72,36.89,39.2,33.1,8.65,23.2,123.1,2.35,1986000000.0,652897381.0,0.0,0.0,32.18,42.88
7,301138,华研精机,37.6,15.83,5.14,108595.0,386736740.76,22.52,38.87,31.56,32.3,32.46,7.24,15.84,80.11,4.04,4512000000.0,2577861264.0,-1.78,0.53,28.99,41.41
8,300643,万通智控,23.27,13.51,2.77,238255.0,531654454.59,17.8,24.43,20.78,21.0,20.5,3.07,10.35,36.34,4.5,5369302603.0,5355544588.0,-0.04,-0.56,72.24,94.57
9,688173,希荻微,15.43,12.14,1.67,356292.0,562136541.0,11.05,16.51,14.99,14.99,13.76,6.75,14.84,-58.05,4.32,6331069475.0,3705161508.0,-0.58,-0.77,22.75,39.26
10,837006,晟楠科技,37.54,11.89,3.99,136116.0,503001640.52,18.66,40.29,34.03,34.55,33.55,4.45,39.69,1376.15,10.53,3389381488.0,1287317025.0,-0.82,-0.74,53.98,52.6
11,300150,世纪瑞尔,5.2,10.4,0.49,361885.0,180502562.44,16.56,5.39,4.61,4.69,4.71,6.29,7.03,631.37,1.98,3042551476.0,2676616472.0,1.17,3.17,-4.24,18.72
12,600149,廊坊发展,6.22,10.09,0.57,177558.0,108450447.0,6.19,6.22,5.87,6.0,5.65,1.47,4.67,84.03,9.89,2364595200.0,2364595200.0,0.0,0.0,42.33,52.45
13,600770,综艺股份,7.55,10.06,0.69,2238156.0,1688843200.0,1.75,7.55,7.43,7.55,6.86,10.32,17.22,-377.99,2.99,9815000000.0,9815000000.0,0.0,0.0,65.93,80.19
14,600379,宝光股份,11.94,10.05,1.09,163020.0,194452576.0,1.29,11.94,11.8,11.94,10.85,7.21,4.94,52.58,5.12,3942606674.0,3942606674.0,0.0,0.0,26.48,26.35
15,002229,鸿博股份,16.68,10.03,1.52,1129284.0,1792196340.4,11.41,16.68,14.95,15.01,15.16,1.67,22.9,24.46,6.19,8276474020.0,8225980541.0,0.0,0.0,15.59,39.12
16,601956,东贝集团,6.91,10.03,0.63,576339.0,388705409.0,10.67,6.91,6.24,6.26,6.28,1.77,9.32,23.74,1.69,4296513896.0,4274719826.0,0.0,0.0,34.96,43.06
17,002471,中超控股,4.28,10.03,0.39,1671167.0,708915376.0,8.48,4.28,3.95,3.95,3.89,0.91,12.81,-72.38,3.39,5859320000.0,5585386146.0,0.0,0.0,62.74,56.78
18,002990,盛视科技,30.64,10.02,2.79,166566.0,490027708.98,11.27,30.64,27.5,27.73,27.85,3.06,12.42,66.16,3.36,8006458368.0,4108682688.0,0.0,0.0,-8.51,33.45
19,603390,通达电气,12.85,10.02,1.17,553538.0,686523091.0,10.27,12.85,11.65,12.0,11.68,7.84,15.83,60.29,2.81,4518984994.0,4494355155.0,0.0,0.0,14.83,17.03
20,603900,莱绅通灵,10.76,10.02,0.98,592571.0,620953875.0,7.26,10.76,10.05,10.17,9.78,3.8,17.35,32.56,1.9,3690936518.0,3674635118.0,0.0,0.0,79.63,94.58
21,600990,四创电子,22.73,10.02,2.07,124097.0,271396937.0,11.04,22.73,20.45,20.52,20.66,1.91,4.61,-73.5,3.32,6211877427.0,6114658580.0,0.0,0.0,-2.82,6.81
22,603192,汇得科技,21.41,10.02,1.95,10534.0,22553080.0,0.0,21.41,21.41,21.41,19.46,0.68,0.76,39.07,1.92,3022100010.0,2968853340.0,0.0,0.0,31.11,44.27
23,002989,中天精装,34.52,10.01,3.14,95105.0,317852495.34,10.9,34.52,31.1,31.59,31.38,3.02,5.2,448.78,4.62,6819603019.0,6313738309.0,0.0,0.0,39.53,56.34
24,002023,海特高新,10.77,10.01,0.98,505822.0,529025541.73,9.6,10.77,9.83,9.83,9.79,9.84,6.83,105.99,1.86,7979064731.0,7979064731.0,0.0,0.0,1.7,6.11
25,603839,安正时尚,7.58,10.01,0.69,100130.0,74255822.0,9.87,7.58,6.9,6.9,6.89,0.65,2.51,32.82,1.61,3026028173.0,3026028173.0,0.0,0.0,33.45,37.32
26,001279,强邦新材,43.97,10.01,4.0,90629.0,387681270.49,9.26,43.97,40.27,40.42,39.97,8.08,24.09,85.18,7.04,7035200000.0,1654325829.0,0.0,0.0,10.12,6.93
27,600137,浪莎股份,24.73,10.01,2.25,20258.0,50097737.0,0.0,24.73,24.73,24.73,22.48,0.93,2.08,64.53,4.37,2404190951.0,2404190951.0,0.0,0.0,61.11,76.01
