序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,872392,佳合科技,35.58,30.0,8.21,67220.0,224182631.76,25.72,35.58,28.54,28.66,27.37,4.72,23.94,100.51,6.2,2088546000.0,998837340.0,0.0,0.0,72.89,98.77
2,835174,五新隧装,55.69,30.0,12.85,189838.0,971338449.93,17.97,55.69,47.99,49.6,42.84,6.04,21.88,38.51,6.29,5012585505.0,4831205737.0,0.0,0.0,89.16,92.77
3,832419,路斯股份,34.98,29.99,8.07,181407.0,562975668.23,32.96,34.98,26.11,26.3,26.91,3.05,19.38,54.71,6.35,3613657872.0,3274147204.0,0.0,0.0,132.73,139.59
4,836149,旭杰科技,19.85,23.91,3.83,155209.0,274855205.45,23.6,19.93,16.15,16.25,16.02,3.61,34.73,41.87,8.83,1489059660.0,887215540.0,5.36,5.59,45.42,72.46
5,300511,雪榕生物,6.88,20.07,1.15,1007628.0,660862244.85,18.32,6.88,5.83,5.98,5.73,2.58,20.72,134.69,3.01,3901780268.0,3345965199.0,0.0,0.0,94.35,98.27
6,301009,可靠股份,16.12,20.03,2.69,320262.0,472288209.96,22.26,16.12,13.13,13.22,13.43,2.91,24.53,58.94,3.24,4382383200.0,2104590237.0,0.0,0.0,48.03,50.8
7,301335,天元宠物,44.5,20.01,7.42,170576.0,694375587.74,22.65,44.5,36.1,38.29,37.08,2.01,34.2,84.35,2.98,5607000000.0,2219437678.0,0.0,0.0,73.83,97.78
8,300945,曼卡龙,20.16,20.0,3.36,288929.0,539524647.17,21.07,20.16,16.62,16.67,16.8,2.68,12.12,30.71,3.19,5283364041.0,4804793220.0,0.0,0.0,74.39,75.46
9,300069,金利华电,23.4,20.0,3.9,59906.0,137078939.0,7.13,23.4,22.01,22.01,19.5,1.99,5.12,-873.14,9.98,2737800000.0,2737800000.0,0.0,0.0,35.26,77.68
10,301316,慧博云通,34.8,20.0,5.8,14300.0,49763512.8,0.0,34.8,34.8,34.8,29.0,0.1,0.59,844.35,13.89,14059200000.0,8450362304.0,0.0,0.0,39.65,36.1
11,300703,创源股份,19.02,20.0,3.17,439123.0,774327021.03,18.68,19.02,16.06,16.16,15.85,4.12,25.88,41.83,3.9,3431052797.0,3226963309.0,0.0,0.0,24.64,33.29
12,688336,三生国健,39.37,19.99,6.56,37583.0,147944637.0,1.13,39.37,39.0,39.36,32.81,1.65,0.61,58.96,4.28,24282856670.0,24282856670.0,0.0,0.0,71.32,83.8
13,300723,一品红,47.53,19.99,7.92,156883.0,728251411.17,11.44,47.53,43.0,43.0,39.61,2.83,3.76,94.85,11.09,21468957168.0,19850899272.0,0.0,0.0,128.62,178.6
14,301112,信邦智能,37.82,19.99,6.3,10765.0,40713230.0,0.0,37.82,37.82,37.82,31.52,0.27,2.97,87.97,3.39,4170282812.0,1371236298.0,0.0,0.0,47.33,61.83
15,688135,利扬芯片,25.78,19.57,4.22,394521.0,983412330.0,14.24,25.87,22.8,23.0,21.56,7.48,19.61,-170.98,4.92,5187150438.0,5187150438.0,-0.27,0.19,16.7,28.45
16,300871,回盛生物,27.49,16.93,3.98,456434.0,1159087560.05,17.44,27.6,23.5,23.59,23.51,2.09,24.76,28.47,2.58,5066896377.0,5066896377.0,0.7,0.66,142.42,173.26
17,833075,柏星龙,37.0,15.52,4.97,97187.0,345481683.6,25.23,39.88,31.8,32.0,32.03,4.68,27.86,206.6,5.86,2398155000.0,1290517968.0,-0.54,-1.33,7.84,38.42
18,301011,华立科技,30.37,15.34,4.04,249595.0,746331563.99,16.64,31.6,27.22,27.86,26.33,11.34,18.05,97.44,5.85,4455036040.0,4200398411.0,0.23,-0.78,5.2,18.22
19,688331,荣昌生物,55.87,15.1,7.33,86234.0,455035337.0,16.21,57.57,49.7,49.7,48.54,2.52,5.32,-29.93,17.08,30427262536.0,9063447729.0,0.23,0.0,93.93,85.55
20,838275,驱动力,13.62,15.03,1.78,115741.0,148469572.88,23.65,14.33,11.53,11.69,11.84,2.38,15.44,533.48,9.06,2170722912.0,1021172357.0,0.0,-0.22,81.6,109.86
21,837344,三元基因,25.09,13.53,2.99,66051.0,164686145.84,21.0,26.93,22.29,22.3,22.1,4.4,5.82,-62.37,5.02,3056212900.0,2849240372.0,-0.52,-0.55,19.48,41.03
22,688136,科兴制药,40.97,13.24,4.79,58414.0,233924465.0,13.96,42.05,37.0,37.0,36.18,3.17,2.93,79.95,4.91,8179342983.0,8179342983.0,0.17,0.07,112.94,87.42
23,688382,益方生物-U,22.97,13.21,2.68,168199.0,369268271.0,9.96,22.98,20.96,21.89,20.29,3.74,4.19,-57.76,7.5,13284190577.0,9217814233.0,0.44,1.77,72.97,72.71
24,300673,佩蒂股份,20.1,11.73,2.11,342003.0,657285405.93,19.96,21.09,17.5,17.8,17.99,2.99,21.11,56.25,2.71,5001444649.0,3256004246.0,-0.74,-0.4,17.27,13.37
25,430476,海能技术,19.5,11.68,2.04,62827.0,116661048.12,13.92,19.8,17.37,17.63,17.46,2.23,7.79,-799.44,3.51,1661006100.0,1572284669.0,0.0,-0.61,80.89,101.03
26,301156,美农生物,24.32,11.56,2.52,192863.0,448473203.73,12.57,24.75,22.01,22.01,21.8,2.52,29.96,96.36,4.65,3423883296.0,1565606542.0,0.95,-0.08,83.27,92.25
27,300485,赛升药业,9.75,11.43,1.0,349293.0,338114303.39,19.89,10.4,8.66,8.69,8.75,4.86,12.76,29.37,1.38,4696247400.0,2669717525.0,-0.71,-0.51,36.75,39.09
28,300756,金马游乐,26.41,11.25,2.67,140783.0,359023410.27,16.85,27.5,23.5,23.81,23.74,2.62,10.73,-1566.23,3.03,4162167828.0,3465793623.0,-0.68,-0.64,59.87,77.37
29,300119,瑞普生物,27.49,11.21,2.77,288032.0,766764829.88,18.33,28.9,24.37,24.88,24.72,2.53,8.6,27.6,2.89,12806158936.0,9208105957.0,-0.25,0.7,66.51,49.65
30,301371,敷尔佳,35.68,11.01,3.54,83665.0,292160694.97,13.32,36.78,32.5,32.5,32.14,5.19,14.08,39.05,2.67,14274854400.0,2120819200.0,-0.45,-0.75,5.06,-4.32
