序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,839719,宁新新材,17.29,30.0,3.99,307578.0,508363129.67,24.74,17.29,14.0,14.0,13.3,6.43,42.02,-22.76,2.46,1609584886.0,1265518416.0,0.0,0.0,51.0,65.93
2,833284,灵鸽科技,33.0,20.88,5.7,243215.0,755647963.53,29.85,34.56,26.41,26.66,27.3,2.64,35.89,226.22,11.12,3457926285.0,2236156395.0,3.29,3.35,105.74,116.39
3,300204,舒泰神,14.15,20.02,2.36,366624.0,490796759.21,22.48,14.15,11.5,11.55,11.79,2.06,7.77,-723.81,7.09,6760481653.0,6678507109.0,0.0,0.0,80.72,90.96
4,300530,领湃科技,35.04,20.0,5.84,200705.0,659361203.27,22.05,35.04,28.6,28.8,29.2,3.05,12.68,-56.56,43.83,6025175444.0,5545935467.0,0.0,0.0,48.73,106.97
5,301316,慧博云通,41.76,20.0,6.96,15009.0,62677584.0,0.0,41.76,41.76,41.76,34.8,0.09,0.62,1013.22,16.66,16871040000.0,10140434765.0,0.0,0.0,67.71,63.32
6,300584,海辰药业,27.48,20.0,4.58,193435.0,487749165.26,21.0,27.48,22.67,22.67,22.9,2.33,23.56,54.82,3.18,3297600000.0,2256523525.0,0.0,0.0,35.64,36.31
7,688336,三生国健,47.24,19.99,7.87,83186.0,389578980.0,7.62,47.24,44.24,47.24,39.37,2.55,1.35,70.75,5.14,29136960861.0,29136960861.0,0.0,0.0,101.88,120.54
8,301112,信邦智能,45.38,19.99,7.56,76490.0,346950073.44,2.78,45.38,44.33,45.38,37.82,1.55,21.1,105.56,4.06,5003898308.0,1645338530.0,0.0,0.0,75.08,94.18
9,688648,中邮科技,48.88,15.53,6.57,136742.0,642488280.0,19.55,50.77,42.5,42.73,42.31,1.62,20.68,-74.82,4.33,6647680000.0,3232381805.0,-3.72,-3.72,98.54,109.88
10,301662,宏工科技,79.82,14.98,10.4,75511.0,574719221.65,24.63,83.3,66.2,67.8,69.42,1.67,47.86,92.08,4.23,6385600000.0,1259266262.0,-0.6,0.06,200.08,200.08
11,688326,经纬恒润-W,93.44,14.43,11.78,35486.0,310994238.0,15.74,94.15,81.3,82.0,81.66,2.69,3.94,-23.36,2.88,11209750118.0,8413354513.0,-0.28,-0.27,-11.54,11.11
12,300485,赛升药业,10.87,14.06,1.34,610151.0,640186928.63,20.46,11.2,9.25,9.4,9.53,3.94,22.28,32.75,1.54,5235713768.0,2976392768.0,0.09,-0.28,50.14,55.06
13,301055,张小泉,21.15,13.71,2.55,116506.0,232355113.2,17.47,21.49,18.24,18.56,18.6,2.81,7.47,63.51,5.09,3299400000.0,3299400000.0,-0.52,-1.03,42.52,33.61
14,870436,大地电气,27.61,13.62,3.31,112867.0,284532085.01,25.47,29.45,23.26,23.5,24.3,1.56,12.7,-74.26,6.81,2608482360.0,2453649649.0,0.33,-0.32,43.5,64.15
15,830779,武汉蓝电,52.55,12.26,5.74,80925.0,413487787.34,19.01,55.08,46.18,46.8,46.81,3.89,40.4,91.27,9.02,4207926536.0,1052744713.0,1.0,1.57,85.75,129.18
16,300473,德尔股份,33.44,11.88,3.55,228860.0,741389131.12,20.24,35.48,29.43,29.7,29.89,3.4,15.25,55.51,3.16,5048540497.0,5017671599.0,0.06,0.06,43.52,34.24
17,300139,晓程科技,19.45,11.4,1.99,729989.0,1354754575.31,11.28,19.8,17.83,18.0,17.46,4.04,31.24,121.04,5.24,5329300000.0,4544526051.0,-1.07,0.05,8.36,33.31
18,300771,智莱科技,12.24,10.77,1.19,385119.0,455350826.03,20.72,13.0,10.71,10.99,11.05,3.95,21.25,108.28,1.54,2937600000.0,2217877449.0,-0.08,-0.57,8.99,18.03
19,300920,润阳科技,35.0,10.62,3.36,44040.0,151648527.82,13.5,35.9,31.63,32.0,31.64,2.05,6.71,176.75,2.97,3500000000.0,2298528750.0,-0.09,-0.09,73.18,106.86
20,300955,嘉亨家化,21.28,10.26,1.98,125050.0,265118859.22,20.1,23.1,19.22,19.49,19.3,2.72,21.25,-26.92,2.34,2145024000.0,1252250136.0,-0.09,0.14,32.75,34.68
21,600403,大有能源,4.35,10.13,0.4,463358.0,193176657.0,11.65,4.35,3.89,3.89,3.95,1.23,1.94,-8.41,1.93,10400033949.0,10400033949.0,0.0,0.0,56.47,47.96
22,002761,浙江建投,9.74,10.06,0.89,969645.0,930227217.2,10.17,9.74,8.84,8.86,8.85,9.59,8.96,11.63,1.55,10536572030.0,10536572030.0,0.0,0.0,7.74,10.93
23,600379,宝光股份,10.85,10.04,0.99,100813.0,107008496.0,6.49,10.85,10.21,10.33,9.86,4.42,3.05,47.78,4.65,3582686969.0,3582686969.0,0.0,0.0,15.67,14.81
24,600463,空港股份,13.04,10.04,1.19,53591.0,69882494.0,0.0,13.04,13.04,13.04,11.85,0.73,1.79,260.5,3.96,3912000000.0,3912000000.0,0.0,0.0,24.31,31.32
25,000695,滨海能源,12.51,10.03,1.14,12923.0,16166673.0,0.0,12.51,12.51,12.51,11.37,0.93,0.58,-70.54,18.91,2779065713.0,2773721754.0,0.0,0.0,17.69,20.87
