序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300997,欢乐家,20.87,20.01,3.48,304895.0,576098127.4,23.12,20.87,16.85,17.32,17.39,3.55,7.9,66.64,8.77,9130071423.0,8055971433.0,0.0,0.0,37.3,37.66
2,300815,玉禾田,22.25,19.62,3.65,452598.0,980812619.56,17.8,22.32,19.01,19.01,18.6,6.15,11.7,13.75,2.14,8868672000.0,8607155112.0,1.23,1.18,36.0,42.72
3,873576,天力复合,42.9,18.41,6.67,86598.0,353010357.78,26.33,45.0,35.46,35.8,36.23,3.42,8.08,123.84,10.23,4673955000.0,4595874297.0,-0.09,0.68,73.75,106.65
4,831370,新安洁,5.36,14.78,0.69,510419.0,286829420.45,16.7,5.98,5.2,5.2,4.67,7.77,19.08,-47.04,2.56,1641660800.0,1434116610.0,-0.74,0.0,36.04,57.18
5,688211,中科微至,34.33,13.34,4.04,45405.0,155307849.0,14.86,35.5,31.0,31.0,30.29,6.99,3.45,-42.89,1.28,4518126602.0,4518126602.0,0.09,-0.06,6.65,17.37
6,300857,协创数据,80.67,13.17,9.39,177643.0,1373380058.16,12.09,81.62,73.0,74.7,71.28,7.16,5.19,40.92,8.32,27698625647.0,27620105502.0,-0.38,0.15,-0.8,5.95
7,301082,久盛电气,22.53,12.48,2.5,545981.0,1221119899.77,21.17,24.04,19.8,20.1,20.03,2.9,26.09,-192.57,5.01,5098745690.0,4713985943.0,-0.31,-0.79,50.3,69.02
8,300130,新国都,23.77,12.28,2.6,559392.0,1284860966.79,12.38,24.25,21.63,21.63,21.17,9.64,12.88,21.55,3.1,13484700154.0,10322013942.0,0.68,0.21,6.64,9.74
9,830879,基康仪器,18.5,10.84,1.81,64490.0,115389700.39,13.3,18.74,16.52,16.59,16.69,4.21,4.78,39.48,5.31,3088877124.0,2494576963.0,1.37,0.76,58.39,92.71
10,870436,大地电气,26.85,10.58,2.57,97492.0,269784495.24,13.76,29.26,25.92,27.5,24.28,2.19,10.97,-72.22,6.62,2536680600.0,2386109854.0,-0.04,-0.19,39.99,59.63
