序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300997,欢乐家,20.87,20.01,3.48,296667.0,558925477.47,23.12,20.87,16.85,17.32,17.39,3.78,7.69,66.64,8.77,9130071423.0,8055971433.0,0.0,0.0,37.3,37.66
2,300815,玉禾田,21.85,17.47,3.25,446850.0,968150569.74,17.8,22.32,19.01,19.01,18.6,6.64,11.55,13.5,2.1,8709235200.0,8452419739.0,-0.14,-0.05,33.56,40.15
3,873576,天力复合,42.0,15.93,5.77,85581.0,348653845.77,26.33,45.0,35.46,35.8,36.23,3.7,7.99,121.24,10.01,4575900000.0,4499457354.0,0.0,-1.64,70.11,102.31
4,831370,新安洁,5.38,15.2,0.71,507984.0,285520259.98,16.7,5.98,5.2,5.2,4.67,8.47,18.99,-47.21,2.57,1647786400.0,1439467791.0,1.13,0.75,36.55,57.77
5,688211,中科微至,34.35,13.4,4.06,45227.0,154694191.0,14.86,35.5,31.0,31.0,30.29,7.62,3.44,-42.91,1.28,4520758776.0,4520758776.0,-0.29,0.15,6.71,17.44
6,301082,久盛电气,22.69,13.28,2.66,541222.0,1210332389.17,21.17,24.04,19.8,20.1,20.03,3.15,25.87,-193.94,5.04,5134955158.0,4747462985.0,0.04,-0.26,51.37,70.22
7,300857,协创数据,80.61,13.09,9.33,166941.0,1286727804.76,10.89,80.76,73.0,74.7,71.28,7.36,4.88,40.89,8.32,27678024214.0,27599562471.0,0.34,0.19,-0.87,5.87
8,300130,新国都,23.8,12.42,2.63,542503.0,1244581126.79,12.38,24.25,21.63,21.63,21.17,10.23,12.49,21.58,3.1,13501719127.0,10335041305.0,-0.38,0.0,6.77,9.88
9,300422,博世科,5.33,11.04,0.53,602125.0,336543778.06,16.04,5.76,4.99,4.99,4.8,11.87,11.66,-68.16,2.18,2845582473.0,2753160076.0,-0.37,-0.74,24.24,22.53
10,830879,基康仪器,18.45,10.55,1.76,62946.0,112551857.8,13.3,18.74,16.52,16.59,16.69,4.5,4.67,39.37,5.3,3080528807.0,2487834863.0,0.22,-1.02,57.96,92.19
11,300740,水羊股份,15.56,10.43,1.47,448919.0,684726546.05,13.98,16.44,14.47,14.47,14.09,3.95,12.56,36.07,2.96,6042547465.0,5560369983.0,0.06,-0.38,26.4,17.7
12,301225,恒勃股份,64.49,10.31,6.03,59777.0,366720139.09,16.87,66.66,56.8,59.04,58.46,2.72,19.81,50.42,4.45,6666976200.0,1946308200.0,0.02,0.25,113.47,142.99
13,870436,大地电气,26.77,10.26,2.49,96294.0,266570941.13,13.76,29.26,25.92,27.5,24.28,2.35,10.84,-72.0,6.6,2529122520.0,2379000402.0,0.3,0.26,39.57,59.16
14,301079,邵阳液压,31.31,10.13,2.88,248074.0,748727495.1,18.89,33.26,27.89,28.05,28.43,3.73,35.65,1054.89,7.11,3423377758.0,2178793204.0,-1.23,-1.54,78.91,105.45
15,000826,启迪环境,2.07,10.11,0.19,574514.0,117306009.19,9.57,2.07,1.89,1.89,1.88,3.61,4.03,-5.56,4.28,2950481223.0,2950108025.0,0.0,0.0,4.02,3.5
16,600805,悦达投资,5.34,10.1,0.49,586769.0,306551647.0,10.31,5.34,4.84,4.84,4.85,3.4,6.9,71.77,1.04,4543776598.0,4540470465.0,0.0,0.0,16.85,20.54
