序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002161,远 望 谷,10.071942329406738,6.12,104245106,4366370940.4800005,4527315336.96,2.3874542713165283,200491200,092500,092500,0,1/1,1,电子元件
2,603192,汇得科技,10.021231651306152,25.91,36390336,3592853341.97,3657291511.97,1.0128533840179443,278496485,092501,092501,0,4/4,4,化学制品
3,603333,尚纬股份,10.0,7.48,24020524,4649026343.280001,4649026328.320001,0.5166785717010498,363594063,092501,092501,0,3/3,3,电网设备
4,603332,苏州龙杰,9.975520133972168,17.97,198395844,3887758896.4799995,3887758896.4799995,5.103090286254883,187630987,092502,092502,0,12/8,2,化纤行业
5,601858,中国科传,10.027100563049316,20.3,162162003,16047150000.0,16047150000.0,1.010534644126892,182751237,093000,093000,0,1/1,1,文化传媒
6,000903,云内动力,10.026385307312012,4.17,314659392,8007491072.16,8130537430.559999,3.985610008239746,347278684,093036,093036,0,4/2,1,汽车零部
7,605069,正和生态,10.019646644592285,11.2,254422998,942606313.5999999,2371015113.6,27.184326171875,28925120,093052,095313,5,1/1,1,环保行业
8,002366,融发核电,9.946714401245117,6.19,1057346464,7777514574.1,12881004041.12,13.697403907775879,694737113,093109,093109,0,2/2,2,电源设备
9,600756,浪潮软件,10.01430606842041,15.38,532725104,4984638821.14,4984638805.76,10.857024192810059,164912034,093124,105142,2,1/1,1,互联网服
10,600793,宜宾纸业,10.00592041015625,37.16,699020864,6573752714.32,6573752714.32,10.744061470031738,125611948,093127,093706,3,6/5,1,造纸印刷
11,001332,锡装股份,9.991052627563477,36.88,88037107,995760000.0000001,4056800000.0000005,8.943540573120117,172385233,093230,093230,0,1/1,1,专用设备
12,601579,会稽山,10.005157470703125,21.33,295434240,10226954513.97,10226954492.64,2.9418132305145264,125838084,093231,093231,0,4/2,1,酿酒行业
13,002471,中超控股,9.978768348693848,5.18,2763418048,6759883232.339999,7091420000.0,41.63980484008789,199299484,093236,105706,4,16/10,3,电网设备
14,600192,长城电工,10.029940605163574,7.35,80705332,3246847800.0,3246847800.0,2.508950710296631,108942141,093400,093400,0,1/1,1,电网设备
15,600550,保变电气,10.035005569458008,9.43,1251871536,17365613566.399998,17365613566.399998,7.32719087600708,200637395,093435,104611,2,6/3,1,电网设备
16,301137,哈焊华通,20.007274627685547,32.99,450697200,3355142382.0,5998024066.0,14.46500301361084,185948135,093545,093545,0,2/2,2,通用设备
17,002639,雪人股份,9.989142417907715,10.13,2112321904,6590393694.780001,7826460042.880001,32.7479362487793,150513566,093757,100521,3,2/2,2,通用设备
18,600468,百利电气,9.981515884399414,5.95,1054078816,6472025159.95,6472025201.6,16.607515335083008,76219321,093835,103359,3,7/4,1,电网设备
19,002194,武汉凡谷,10.007468223571777,14.73,1216172848,7525482981.75,10064799951.84,16.391225814819336,207396927,093836,105021,3,1/1,1,通信设备
20,600558,大西洋,10.079051971435547,5.57,609563328,4999658908.67,4999658914.240001,12.380192756652832,98915006,094050,101850,2,1/1,1,通用设备
21,000510,新金路,10.055866241455078,5.91,600528592,3585389068.4700003,3832892581.44,17.16408348083496,148021523,094248,094248,0,2/2,2,化学原料
22,600439,瑞贝卡,9.970674514770508,3.75,608188864,4244945400.0,4244945400.0,14.542773246765137,47289450,094407,132758,4,1/1,1,家用轻工
23,000045,深纺织Ａ,9.98023796081543,11.13,163556007,5086419449.37,5637588257.280001,3.294501543045044,205104753,094439,094439,0,1/1,1,光学光电
24,000838,财信发展,10.21276569366455,2.59,53024026,2729253564.45,2850197035.8399997,1.9717947244644165,113822989,094457,094457,0,1/1,1,房地产开
25,688455,科捷智能,20.0,14.4,167476181,1869828004.8,2604228004.8,9.347696304321289,56886321,094648,101127,1,1/1,1,通用设备
26,603577,汇金通,10.0,9.35,192721346,3170950585.0,3170950622.4,6.277317047119141,166914143,094844,094844,0,1/1,1,电网设备
27,002682,龙洲股份,10.022271156311035,4.94,212284560,2778045526.36,2778100844.48,7.842757701873779,161992356,094936,094936,0,1/1,1,物流行业
28,603922,金鸿顺,10.023041725158691,19.1,301857936,3422720000.0000005,3422720000.0000005,8.986834526062012,114514298,095142,100254,2,1/1,1,汽车零部
29,002616,长青集团,9.982486724853516,6.28,227091134,2953406341.52,4659909011.84,7.838262557983398,99878376,095154,102457,1,1/1,1,电力行业
30,603076,乐惠国际,9.983429908752441,26.55,91873782,3204620683.2000003,3204620683.2000003,2.935401439666748,103036063,095455,095455,0,1/1,1,专用设备
31,605388,均瑶健康,10.078740119934082,6.99,84382235,4197383160.0,4197383160.0,2.069850206375122,142931520,095545,095545,0,1/1,1,食品饮料
32,300678,中科信息,19.9863338470459,35.12,1034018768,10028478491.84,10409086434.56,10.625452041625977,591456271,095548,095548,0,1/1,1,互联网服
33,600476,湘邮科技,10.0,18.26,182554688,2941138200.0000005,2941138200.0000005,6.407835960388184,186763280,095548,095548,0,1/1,1,软件开发
34,002136,安 纳 达,9.984025001525879,13.77,465692672,2953055815.2,2960825400.0,16.409730911254883,358712011,095909,095909,0,9/5,1,化学原料
35,603390,通达电气,10.008339881896973,13.19,556230624,4613271945.349999,4638553468.96,12.834932327270508,156158362,100010,100010,0,4/3,1,汽车零部
36,002174,游族网络,9.96592903137207,12.91,780912448,11817433284.1,11824558597.12,6.806146144866943,373967843,100527,100527,0,1/1,1,游戏
37,301003,江苏博云,20.0,35.1,244394305,2686206966.3,3476771988.3,9.810126304626465,243653319,101724,101724,0,1/1,1,塑料制品
38,600650,锦江在线,10.035087585449219,15.68,510040640,6123981976.0,8649246556.16,8.561376571655273,169124480,101740,101740,0,1/1,1,铁路公路
39,300771,智莱科技,20.0,12.9,551744320,2337468880.2000003,3096000000.0,25.122024536132812,236911725,102557,102557,0,1/1,1,计算机设
40,002549,凯美特气,9.967845916748047,10.26,1291378880,7103608736.76,7134269495.04,18.651063919067383,425308806,102821,130109,1,1/1,1,化学制品
41,002835,同为股份,10.011709213256836,18.79,166817504,2391731166.71,4124290963.49,7.184170246124268,230049671,103339,103339,0,1/1,1,计算机设
42,002215,诺 普 信,10.00981330871582,11.21,694463728,8736889203.150002,11268194607.52,8.214783668518066,172218759,104751,104751,0,1/1,1,农药兽药
43,300578,会畅通讯,19.9886417388916,21.13,480456416,4101207361.02,4189439606.2,12.251737594604492,310023586,111806,111806,0,1/1,1,通信服务
44,603065,宿迁联盛,9.975369453430176,8.93,80108917,1756293953.1499999,3741380382.24,4.719650745391846,102323512,130205,130205,0,1/1,1,化学原料
45,603011,合锻智能,10.029282569885254,15.03,1705415872,7431048988.11,7431048912.96,24.341142654418945,267915762,131419,131419,0,1/1,1,专用设备
46,002292,奥飞娱乐,9.978768348693848,10.36,1376005328,10545120477.92,15319328850.56,13.670844078063965,859590044,133324,133324,0,1/1,1,文化传媒
47,603607,京华激光,10.007553100585938,29.13,923051552,5200194384.0,5200194384.0,19.574216842651367,132865891,133446,133446,0,5/4,3,造纸印刷
48,301536,星宸科技,19.996248245239258,63.97,1228331232,11936058028.9,26935208200.0,11.036664962768555,773958061,133630,133630,0,1/1,1,半导体
49,600353,旭光电子,10.020242691040039,10.87,1337384096,9009177298.33,9021841728.8,15.741125106811523,108470208,134023,134705,4,1/1,1,电子元件
50,603777,来伊份,10.0,14.19,178641635,4745478915.54,4745478830.4,3.9459874629974365,215191406,134624,134624,0,1/1,1,食品饮料
51,300069,金利华电,20.01047706604004,22.91,510560480,2680470000.0,2680470000.0,21.16632652282715,662310688,134636,134636,0,6/3,1,电网设备
52,600105,永鼎股份,10.0,8.36,2432588848,12222276544.72,12222276528.0,20.353975296020508,43321520,134637,134931,1,1/1,1,通信设备
53,002846,英联股份,9.991158485412598,12.44,596098976,3197305114.24,5224720782.08,20.3855037689209,193416659,134700,134700,0,2/2,2,包装材料
