序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002161,远 望 谷,10.071942329406738,6.12,91336618,4366370940.4800005,4527315336.96,2.091820001602173,311525845,092500,092500,0,1/1,1,电子元件
2,603192,汇得科技,10.021231651306152,25.91,33442814,3592853341.97,3657291511.97,0.9308149218559265,319785624,092501,092501,0,4/4,4,化学制品
3,603333,尚纬股份,10.0,7.48,20599920,4649026343.280001,4649026328.320001,0.44310182332992554,419973067,092501,092501,0,3/3,3,电网设备
4,603332,苏州龙杰,9.975520133972168,17.97,193069860,3887758896.4799995,3887758896.4799995,4.9660964012146,228690317,092502,092502,0,12/8,2,化纤行业
5,601858,中国科传,10.027100563049316,20.3,145231904,16047150000.0,16047150000.0,0.9050323963165283,258715765,093000,093000,0,1/1,1,文化传媒
6,000903,云内动力,10.026385307312012,4.17,281234336,8007491072.16,8130537430.559999,3.568187713623047,499817701,093036,093036,0,4/2,1,汽车零部
7,605069,正和生态,10.019646644592285,11.2,244199638,942606313.5999999,2371015113.6,26.099742889404297,46155088,093052,095313,5,1/1,1,环保行业
8,002366,融发核电,9.946714401245117,6.19,1020923408,7777514574.1,12881004041.12,13.22909164428711,825198649,093109,093109,0,2/2,2,电源设备
9,600793,宜宾纸业,10.00592041015625,37.16,688214736,6573752714.32,6573752714.32,10.579678535461426,148740332,093127,093706,3,6/5,1,造纸印刷
10,001332,锡装股份,9.991052627563477,36.88,79566877,995760000.0000001,4056800000.0000005,8.092910766601562,215998415,093230,093230,0,1/1,1,专用设备
11,601579,会稽山,10.005157470703125,21.33,274778496,10226954513.97,10226954492.64,2.739839553833008,134346407,093231,093231,0,4/2,1,酿酒行业
12,600192,长城电工,10.029940605163574,7.35,68884327,3246847800.0,3246847800.0,2.144874334335327,132706161,093400,093400,0,1/1,1,电网设备
13,600550,保变电气,10.035005569458008,9.43,693843296,17365613566.399998,17365613566.399998,4.108353614807129,407541911,093435,093435,0,6/3,1,电网设备
14,301137,哈焊华通,20.007274627685547,32.99,442518976,3355142382.0,5998024066.0,14.221250534057617,223299413,093545,093545,0,2/2,2,通用设备
15,000026,飞亚达,9.968101501464844,13.79,170835832,5030168964.17,5595485560.0,3.4687674045562744,291952227,093554,093554,0,1/1,1,珠宝首饰
16,002639,雪人股份,9.989142417907715,10.13,2037127904,6590393694.780001,7826460042.880001,31.606971740722656,188531456,093757,100521,3,2/2,2,通用设备
17,002194,武汉凡谷,10.007468223571777,14.73,1072964560,7525482981.75,10064799951.84,14.487860679626465,605999565,093836,094754,2,1/1,1,通信设备
18,000510,新金路,10.055866241455078,5.91,584114144,3585389068.4700003,3832892581.44,16.706268310546875,205574887,094248,094248,0,2/2,2,化学原料
19,603900,莱绅通灵,10.043667793273926,12.6,593946320,4303011384.0,4322100384.0,14.390458106994629,58814028,094432,100335,2,5/4,1,珠宝首饰
20,000045,深纺织Ａ,9.98023796081543,11.13,146718543,5086419449.37,5637588257.280001,2.9634737968444824,378680442,094439,094439,0,1/1,1,光学光电
21,000838,财信发展,10.21276569366455,2.59,45168038,2729253564.45,2850197035.8399997,1.6839509010314941,144760021,094457,094457,0,1/1,1,房地产开
22,688455,科捷智能,20.0,14.4,152807578,1869828004.8,2604228004.8,8.563206672668457,100792612,094648,101127,1,1/1,1,通用设备
23,603577,汇金通,10.0,9.35,167086264,3170950585.0,3170950622.4,5.468881607055664,262798580,094844,094844,0,1/1,1,电网设备
24,603275,众辰科技,10.0,44.55,178024383,1868536726.6499999,6627785962.049999,9.779461860656738,126134415,094854,100400,1,1/1,1,仪器仪表
25,002682,龙洲股份,10.022271156311035,4.94,184677246,2778045526.36,2778100844.48,6.848989963531494,270739664,094936,094936,0,1/1,1,物流行业
26,603922,金鸿顺,10.023041725158691,19.1,285723776,3422720000.0000005,3422720000.0000005,8.515450477600098,203935150,095142,100254,2,1/1,1,汽车零部
27,603076,乐惠国际,9.983429908752441,26.55,84028788,3204620683.2000003,3204620683.2000003,2.690598964691162,149975932,095455,095455,0,1/1,1,专用设备
28,605388,均瑶健康,10.078740119934082,6.99,73325313,4197383160.0,4197383160.0,1.8064261674880981,196864402,095545,095545,0,1/1,1,食品饮料
29,300678,中科信息,19.9863338470459,35.12,968263936,10028478491.84,10409086434.56,9.969771385192871,1325678152,095548,095548,0,1/1,1,互联网服
30,600476,湘邮科技,10.0,18.26,161862456,2941138200.0000005,2941138200.0000005,5.704290866851807,266953896,095548,095548,0,1/1,1,软件开发
31,002136,安 纳 达,9.984025001525879,13.77,439486976,2953055815.2,2960825400.0,15.522321701049805,580994236,095909,095909,0,9/5,1,化学原料
32,603390,通达电气,10.008339881896973,13.19,517655152,4613271945.349999,4638553468.96,11.998747825622559,270669985,100010,100010,0,4/3,1,汽车零部
33,301070,开勒股份,20.0,77.28,386769504,3284523648.0,4988825856.0,12.809277534484863,550859568,100315,100315,0,1/1,1,专用设备
34,002174,游族网络,9.96592903137207,12.91,736899680,11817433284.1,11824558597.12,6.433706760406494,822480608,100527,100527,0,1/1,1,游戏
35,603258,电魂网络,9.994821548461914,21.24,133789354,5111243514.0,5193867114.0,2.6968653202056885,115993764,101032,101032,0,1/1,1,游戏
