代码,名称
301066,万事利
838262,DR太湖雪
600448,华纺股份
605055,迎丰股份
002144,宏达高科
600156,华升股份
000850,华茂股份
301088,戎美股份
603001,奥康国际
000955,欣龙控股
300577,开润股份
002485,ST雪发
600107,ST尔雅
002569,*ST步森
600630,龙头股份
600735,新华锦
603365,水星家纺
605138,盛泰集团
002875,安奈儿
603557,ST起步
600987,航民股份
003041,真爱美家
002098,浔兴股份
002762,*ST金比
002269,美邦服饰
000726,鲁  泰Ａ
002397,梦洁股份
603889,新澳股份
605189,富春染织
002612,朗姿股份
601339,百隆东方
002003,伟星股份
002394,联发股份
605180,华生科技
002327,富安娜
002029,七 匹 狼
601566,九牧王
600232,金鹰股份
300901,中胤时尚
002404,嘉欣丝绸
300877,金春股份
601718,际华集团
600137,浪莎股份
002563,森马服饰
603196,日播时尚
603877,太平鸟
002293,罗莱生活
600177,雅戈尔
200726,鲁  泰Ｂ
002656,*ST摩登
002687,乔治白
002494,华斯股份
002486,嘉麟杰
003016,欣贺股份
300979,华利集团
600398,海澜之家
603055,台华新材
002083,孚日股份
001234,泰慕士
603307,扬州金泉
600493,凤竹纺织
603839,安正时尚
002763,汇洁股份
603587,地素时尚
603558,XD健盛集
300591,万里马
603808,歌力思
603958,哈森股份
603073,彩蝶实业
002674,兴业科技
002154,报 喜 鸟
002832,比音勒芬
601599,浙文影业
900922,三毛B股
301276,嘉曼服饰
603116,红蜻蜓
600400,红豆股份
002193,如意集团
600689,上海三毛
603908,牧高笛
603518,锦泓集团
002780,三夫户外
603511,爱慕股份
001209,洪兴股份
002634,棒杰股份
603665,康隆达
300840,酷特智能
603130,云中马
002042,华孚时尚
603608,天创时尚
300819,聚杰微纤
002722,物产金轮
605003,众望布艺
300952,恒辉安防
300918,南山智尚
605080,浙江自然
300005,探路者
