代码,名称
000026,飞亚达
300945,曼卡龙
200026,飞亚达Ｂ
002345,潮宏基
603900,莱绅通灵
605599,菜百股份
002867,周大生
002731,萃华珠宝
900905,老凤祥Ｂ
600612,老凤祥
301177,迪阿股份
600916,中国黄金
002574,明牌珠宝
002721,ST金一
600655,豫园股份
000025,特  力Ａ
000017,深中华A
