代码,名称
300175,ST朗源
002311,海大集团
002891,中宠股份
600108,亚盛集团
000048,京基智农
300972,万辰集团
000638,*ST万方
603668,天马科技
831087,秋乐种业
000505,京粮控股
002772,众兴菌业
300313,*ST天山
000798,中水渔业
301498,乖宝宠物
871970,大禹生物
000702,正虹科技
002679,福建金森
200505,京粮B
002157,正邦科技
300138,晨光生物
832419,路斯股份
600354,敦煌种业
600097,开创国际
001366,播恩集团
601952,苏垦农发
839371,欧福蛋业
603363,*ST傲农
600251,冠农股份
000713,丰乐种业
837403,康农种业
838275,驱动力
300087,荃银高科
600313,农发种业
300673,佩蒂股份
600883,博闻科技
000930,中粮科技
600257,大湖股份
002567,唐人神
603151,邦基科技
600265,ST景谷
200992,中  鲁Ｂ
300761,立华股份
603609,禾丰股份
002458,益生股份
002069,獐子岛
001313,粤海饲料
002100,天康生物
001201,东瑞股份
002714,牧原股份
002696,百洋股份
603739,蔚蓝生物
000998,隆平高科
002299,圣农发展
603717,天域生物
002746,仙坛股份
002041,登海种业
300498,温氏股份
603231,索宝蛋白
300189,神农种业
000876,新 希 望
002385,大北农
000735,罗 牛 山
603182,嘉华股份
600359,新农开发
300021,大禹节水
001338,永顺泰
002548,金新农
300970,华绿生物
600965,福成股份
002234,民和股份
002321,华英农业
600127,金健米业
603336,宏辉果蔬
600598,北大荒
600975,新五丰
300511,雪榕生物
600191,华资实业
002982,湘佳股份
300967,晓鸣股份
600371,万向德农
603477,巨星农牧
600467,好当家
002086,东方海洋
000592,平潭发展
600540,新赛股份
301156,美农生物
605296,神农集团
300268,*ST佳沃
688156,路德环境
002200,*ST交投
002124,天邦食品
