代码,名称
600696,*ST岩石
600238,*ST椰岛
600616,金枫酒业
600573,惠泉啤酒
601579,会稽山
200869,张  裕Ｂ
600543,莫高股份
600365,ST通葡
000869,张  裕Ａ
002461,珠江啤酒
002568,百润股份
000729,燕京啤酒
600519,贵州茅台
603369,今世缘
000752,ST西发
002646,天佑德酒
200596,古井贡Ｂ
600132,重庆啤酒
603919,金徽酒
603779,威龙股份
000858,五 粮 液
600600,青岛啤酒
600779,水井坊
603198,迎驾贡酒
603589,口子窖
600559,老白干酒
600809,山西汾酒
002304,洋河股份
600059,古越龙山
000860,顺鑫农业
000568,泸州老窖
000596,古井贡酒
600197,伊力特
600084,中信尼雅
000799,酒鬼酒
600702,舍得酒业
600199,金种子酒
000929,*ST兰黄
000995,皇台酒业
