代码,名称
002378,章源钨业
002842,翔鹭钨业
000657,中钨高新
600549,厦门钨业
301141,中科磁业
600111,北方稀土
601958,金钼股份
600366,宁波韵升
600459,贵研铂业
000962,东方钽业
600615,丰华股份
000831,中国稀土
000960,锡业股份
600980,北矿科技
002149,西部材料
600206,有研新材
603993,洛阳钼业
002428,云南锗业
301026,浩通科技
605376,博迁新材
300748,金力永磁
300224,正海磁材
600259,广晟有色
688077,大地熊
002167,东方锆业
000795,英洛华
000970,中科三环
688190,云路股份
300811,铂科新材
600456,宝钛股份
600392,盛和资源
603399,永杉锂业
300127,银河磁体
300835,龙磁科技
600301,华锡有色
603072,天和磁材
300328,宜安科技
600281,华阳新材
920068,天工股份
