代码,名称
002594,比亚迪
600066,宇通客车
600104,上汽集团
600418,江淮汽车
601127,赛力斯
200550,江  铃Ｂ
601633,长城汽车
200625,长  安Ｂ
000951,中国重汽
000800,一汽解放
301039,中集车辆
600166,福田汽车
000625,长安汽车
601238,广汽集团
000550,江铃汽车
600006,东风股份
000572,海马汽车
600733,北汽蓝谷
600841,动力新科
600303,曙光股份
601777,千里科技
000868,安凯客车
600686,金龙汽车
000980,众泰汽车
000957,中通客车
600375,汉马科技
