序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,002596,海南瑞泽,3.7463977336883545,3.6,3.82,273303056,4127273614.8,4131289843.2000003,6.383710861206055,0.0,093000,1,0/0,6.628242015838623,水泥建材
2,603017,中衡设计,7.712765693664551,12.15,12.41,825721744,3352255202.7000003,3352255178.4,24.42613410949707,0.24752475321292877,093026,4,5/3,5.673758506774902,工程咨询
3,603042,华脉科技,6.835592746734619,18.13,18.67,1214225888,2911493799.2,2911493799.2,41.39679718017578,-0.32985156774520874,093101,3,3/2,6.599882125854492,通信设备
4,603093,南华期货,-1.1554014682769775,17.11,19.04,874057568,10438227429.23,10438227343.68,7.948916912078857,0.6470587849617004,093135,1,4/3,13.807047843933105,多元金融
5,000815,美利云,5.91093111038208,13.08,13.59,845398384,9094040497.8,9094040563.2,9.14191722869873,-0.07639419287443161,093430,1,0/0,5.5870442390441895,造纸印刷
6,002775,文科股份,3.166227102279663,3.91,4.17,112737515,1715901889.0800002,2359120333.44,6.409950256347656,-0.2551020383834839,094036,1,0/0,10.554089546203613,工程建设
7,600151,航天机电,7.77439022064209,7.07,7.22,439463216,10140163669.09,10140163676.16,4.319544315338135,0.0,094049,2,0/0,9.756096839904785,光伏设备
8,603353,XD和顺石,3.816793918609619,16.32,17.29,130463043,2781221760.0,2829790080.0,4.62006950378418,-0.06123698502779007,095037,1,0/0,10.496183395385742,石油行业
9,603928,兴业股份,2.5328330993652344,10.93,11.73,185589052,2864534400.0,2864534400.0,6.387587547302246,-0.4553733766078949,095334,1,0/0,10.97560977935791,塑料制品
10,603310,巍华新材,5.555555820465088,20.33,21.19,141031875,1404233760.0,7020762199.999999,10.033543586730957,0.24654832482337952,095446,1,0/0,10.6957426071167,化学原料
11,605099,XD共创草,4.757603168487549,34.79,36.53,488232176,13919131100.0,13973125180.0,3.5027971267700195,-0.17216643691062927,100433,2,5/4,11.171334266662598,家用轻工
12,002227,奥 特 迅,6.980519771575928,13.18,13.55,261688119,3241446575.88,3266085320.6,8.176857948303223,-0.07581501454114914,100445,1,0/0,10.957792282104492,电源设备
13,002882,金龙羽,6.913379669189453,26.29,27.05,1459368080,6488559973.5,11380941000.0,22.603296279907227,-0.07601672410964966,102133,2,0/0,12.32208251953125,电网设备
