序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,605005,合兴股份,-6.6143035888671875,22.59,26.61,690063168,9058590000.0,9058590000.0,7.355526924133301,-0.22084805369377136,092502,1,6/4,18.933443069458008,汽车零部
2,001338,永顺泰,1.5290520191192627,13.28,14.39,1136731120,3133475507.68,6662985448.96,34.79376983642578,-0.15037594735622406,093024,1,2/1,8.562690734863281,农牧饲渔
3,603238,诺邦股份,3.624008893966675,18.3,19.43,390283984,3248414700.0,3248414700.0,11.554239273071289,0.05467468127608299,093024,3,2/1,6.738391399383545,美容护理
4,002731,萃华珠宝,5.915493011474609,15.04,15.62,904365984,3454032256.0,3852586240.0,25.726526260375977,0.0,093036,2,3/2,5.211267471313477,珠宝首饰
5,002969,嘉美包装,4.054053783416748,3.85,4.07,675830496,3656636922.4,3678487489.6,17.74791145324707,0.2604166865348816,093051,5,2/1,6.486486434936523,包装材料
6,603823,百合花,6.468531608581543,12.18,12.58,683711664,5006363718.72,5071358732.16,13.507034301757812,-0.08203445374965668,093107,6,2/1,6.818181991577148,化学制品
7,600561,江西长运,5.349182605743408,7.09,7.4,295759744,2016940512.0,2016940512.0,14.544672012329102,0.0,093352,1,0/0,10.104011535644531,铁路公路
8,603518,锦泓集团,7.125307083129883,13.08,13.43,954347216,4500212376.72,4531127558.4,21.3382511138916,-0.30487802624702454,094450,2,7/4,12.121212005615234,纺织服装
9,000506,中润资源,8.412483215332031,7.99,8.11,642415264,7420080978.39,7422851902.400001,8.703462600708008,0.12531328201293945,094909,1,0/0,7.869741916656494,贵金属
10,603595,东尼电子,5.99128532409668,19.46,20.2,245651023,4523327663.96,4523327663.96,5.404695510864258,-0.20512819290161133,095123,2,0/0,11.165576934814453,消费电子
11,002115,三维通信,8.21566104888916,8.43,8.57,1352636992,6341008334.76,6836656895.04,21.437191009521484,0.11876484751701355,095239,1,0/0,11.039793968200684,互联网服
12,603211,晋拓股份,7.848673343658447,19.1,19.48,336284368,1297883200.0,5191532800.0,26.247806549072266,-0.31315240263938904,095248,1,0/0,11.180124282836914,汽车零部
13,301005,超捷股份,12.418471336364746,43.09,46.0,1131258032,5703900258.740001,5811201382.410001,20.228012084960938,0.0,100842,1,0/0,19.9582576751709,汽车零部
14,605388,均瑶健康,6.21814489364624,10.42,10.79,1072832912,6257043280.0,6257043280.0,17.653066635131836,-0.0958772748708725,100901,3,8/5,17.125381469726562,食品饮料
15,002940,昂利康,5.047506332397461,17.69,18.52,417830576,3277523011.23,3568571610.34,12.994314193725586,0.34032899141311646,101430,1,0/0,14.073634147644043,化学制药
16,600818,中路股份,5.925251007080078,11.62,12.07,263595229,2765070914.2,3735224644.4799995,9.437216758728027,0.0,101554,1,0/0,11.485871315002441,交运设备
17,603086,先达股份,4.746835231781006,9.93,10.43,740004576,4317694509.99,4317694440.48,16.926942825317383,-0.40120360255241394,101841,2,0/0,9.493670463562012,农药兽药
18,002658,雪迪龙,5.35455846786499,7.28,7.6,308613600,2611028412.7200003,4628339555.84,11.6432523727417,-0.13717420399188995,104545,1,0/0,10.70911693572998,仪器仪表
