序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,605005,合兴股份,-5.12608528137207,22.95,26.61,448057232,9202950000.0,9202950000.0,4.784552574157715,2.5011165142059326,092502,1,6/4,18.933443069458008,汽车零部
2,001338,永顺泰,4.051987648010254,13.61,14.39,890893488,3211340486.41,6828556623.5199995,27.109113693237305,-0.21994134783744812,093024,1,2/1,6.651376247406006,农牧饲渔
3,603238,诺邦股份,7.417893409729004,18.97,19.43,269935376,3367345730.0,3367345730.0,7.913858890533447,-0.47219306230545044,093024,3,2/1,4.133635520935059,美容护理
4,002731,萃华珠宝,7.535211086273193,15.27,15.62,700339184,3506853228.0,3911502120.0,19.864147186279297,0.06553079932928085,093036,2,3/2,5.211267471313477,珠宝首饰
5,603823,百合花,9.178321838378906,12.49,12.58,570642320,5133783484.96,5200432722.88,11.265252113342285,0.24077047407627106,093107,6,2/1,6.818181991577148,化学制品
6,600561,江西长运,6.835066318511963,7.19,7.4,258383273,2045388192.0,2045388192.0,12.688457489013672,0.9831461310386658,093352,1,0/0,10.104011535644531,铁路公路
7,603518,锦泓集团,8.108107566833496,13.2,13.43,722453440,4541498728.8,4572697536.0,16.27764129638672,0.0,094450,1,7/4,12.121212005615234,纺织服装
8,300082,奥克股份,18.13602066040039,9.38,9.53,920247824,6361588582.440001,6379321191.040001,15.006688117980957,0.0,094451,1,0/0,18.513853073120117,化学原料
9,000506,中润资源,9.905019760131836,8.1,8.11,449747488,7522234784.099999,7525043856.0,6.094268321990967,0.0,094909,1,0/0,7.869741916656494,贵金属
10,603595,东尼电子,5.174292087554932,19.31,20.2,163644135,4488461315.059999,4488461315.059999,3.58286714553833,0.0,095123,2,0/0,11.165576934814453,消费电子
11,603211,晋拓股份,6.211180210113525,18.81,19.48,217464420,1278177120.0,5112708480.0,17.02570915222168,0.10643959790468216,095248,1,0/0,11.180124282836914,汽车零部
12,002104,恒宝股份,6.875,10.26,10.56,2060931392,6151300961.04,7265948961.599999,34.26534652709961,-1.0607521533966064,100015,2,5/3,14.479166030883789,通信设备
13,301005,超捷股份,18.653797149658203,45.48,46.0,888012720,6020268827.28,6133521440.5199995,15.989882469177246,0.0,100842,1,0/0,19.9582576751709,汽车零部
