序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,000826,启迪环境,8.771929740905762,2.48,2.51,1060186736,3534428938.32,3534876055.04,30.04330062866211,0.4048583209514618,092500,7,3/2,6.5789475440979,环保行业
2,000903,云内动力,1.0791367292404175,5.62,6.12,4480265216,10791870461.76,10957702724.16,39.02219772338867,-0.5309734344482422,092500,2,8/5,9.352518081665039,汽车零部
3,600551,时代出版,3.828828811645508,9.22,9.77,683322480,6251669303.580001,6251669239.04,10.465875625610352,-0.21645021438598633,092501,4,2/1,8.558558464050293,文化传媒
4,605005,合兴股份,-3.9487178325653076,18.73,21.45,555843248,7510730000.0,7510730000.0,6.755280494689941,-0.42530569434165955,092501,1,3/2,14.615385055541992,汽车零部
5,001230,劲旅环境,-2.7397260665893555,24.85,28.11,754087616,1343831192.9,3317378010.4500003,50.70912551879883,-0.32089850306510925,093018,3,4/3,13.463796615600586,环保行业
6,300546,雄帝科技,15.67029094696045,25.54,26.5,1874091792,3426273621.9,4766598928.139999,54.21047592163086,0.0,093036,5,2/1,9.057971000671387,计算机设
7,603390,通达电气,5.239180088043213,18.48,19.32,1614604048,6463477297.2,6498898264.32,24.218002319335938,0.48939642310142517,093038,10,8/6,7.460136890411377,汽车零部
8,600476,湘邮科技,-0.04899558797478676,20.4,22.45,955384544,3285828000.0,3285828000.0,27.474077224731445,-0.584795355796814,093050,1,2/1,10.044095993041992,软件开发
9,600650,锦江在线,4.231884002685547,17.98,18.98,1153368768,7022270148.5,9917949813.76,15.957802772521973,0.0,093209,3,2/1,8.0,铁路公路
10,600834,申通地铁,3.135498285293579,9.21,9.82,514411568,4396687345.05,4396687335.84,11.25598430633545,-0.10845987498760223,093325,3,2/1,7.278834819793701,铁路公路
11,002550,千红制药,9.192200660705566,7.84,7.9,1256532928,7508678307.2,10033632000.0,16.91290855407715,0.2557544708251953,093345,5,0/0,10.027854919433594,化学制药
12,600192,长城电工,9.122401237487793,9.45,9.53,909375584,4174518599.9999995,4174518599.9999995,22.249013900756836,0.42507970333099365,094733,4,5/3,13.625865936279297,电网设备
13,600658,电子城,6.108597278594971,4.69,4.86,394375360,5246163861.05,5246163837.6,7.40436315536499,-0.21276594698429108,094803,4,0/0,11.312217712402344,房地产服
14,002173,创新医疗,7.481060981750488,11.35,11.62,1209217920,4725055428.05,5008577395.2,25.521297454833984,0.17652250826358795,095203,2,0/0,10.416666030883789,医疗服务
15,000953,河化股份,2.9887919425964355,8.27,8.83,829122000,3027830552.6499996,3027830527.8399997,26.733888626098633,-0.241254523396492,095618,1,0/0,13.5740966796875,化学制药
16,300149,睿智医药,17.289718627929688,10.04,10.27,1468088240,4990727486.44,4999558560.0,30.00620460510254,0.0,100312,5,2/1,14.836448669433594,医疗服务
17,603686,福龙马,7.292954444885254,17.36,17.8,2434653824,7211871813.44,7211871744.0,34.47166442871094,-0.172512948513031,102237,1,2/1,10.50679874420166,环保行业
18,000029,深深房Ａ,10.005496978759766,20.01,20.01,302885264,17842116600.0,20243316600.0,1.721940040588379,0.0,102918,1,0/0,10.995052337646484,房地产开
19,002982,湘佳股份,8.932169914245605,16.22,16.38,394057392,2106585865.28,2354146599.7599998,19.046815872192383,0.0,104354,7,0/0,9.670920372009277,农牧饲渔
20,688799,华纳药厂,12.813642501831055,46.31,49.26,739615264,6081429200.0,6081429200.0,12.108701705932617,-1.0258601903915405,105149,5,0/0,22.314250946044922,化学制药
21,301633,港迪技术,15.587392807006836,80.68,83.76,315651856,1123065600.0,4492262400.0,28.70435333251953,0.0,105815,1,0/0,21.14613151550293,通用设备
22,002345,潮宏基,6.051660537719727,14.37,14.91,863179264,12458852725.05,12767927556.48,6.88810920715332,-0.4847645163536072,110130,4,0/0,11.881918907165527,珠宝首饰
23,002773,康弘药业,8.07978343963623,31.97,32.54,626987840,21953149337.63,29448305634.879997,2.894190549850464,0.0,110257,1,0/0,10.07437515258789,化学制药
24,603229,奥翔药业,6.698002815246582,9.08,9.36,362984432,7539098076.6,7539098140.16,4.818324089050293,0.0,111445,2,0/0,10.340775489807129,化学制药
25,600212,绿能慧充,8.894536018371582,8.57,8.66,685973168,4411983515.41,6035570041.12,15.954365730285645,-0.9248554706573486,131134,6,2/1,8.894536018371582,电力行业
