序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,000826,启迪环境,7.456140041351318,2.45,2.51,1063858640,3491673749.55,3492115457.6000004,30.147720336914062,-0.4065040349960327,092500,7,3/2,6.5789475440979,环保行业
2,000903,云内动力,0.8992806077003479,5.61,6.12,4511131648,10772667845.28,10938205032.480001,39.30840301513672,-0.17793594300746918,092500,2,8/5,9.532374382019043,汽车零部
3,600551,时代出版,3.941441297531128,9.23,9.77,687732912,6258449855.97,6258449791.360001,10.536351203918457,-0.21621622145175934,092501,4,2/1,8.558558464050293,文化传媒
4,605005,合兴股份,-2.9743590354919434,18.92,21.45,556883712,7586920000.000001,7586920000.000001,6.7690958976745605,0.6918573975563049,092501,1,3/2,14.615385055541992,汽车零部
5,001230,劲旅环境,-2.974559783935547,24.79,28.11,756712256,1340586530.06,3309368244.63,50.904808044433594,0.16161616146564484,093018,3,4/3,13.463796615600586,环保行业
6,300546,雄帝科技,15.94202995300293,25.6,26.5,1877033968,3434322816.0,4777796889.6,54.29607009887695,0.0,093036,5,2/1,9.057971000671387,计算机设
7,603390,通达电气,4.214122772216797,18.3,19.32,1621305088,6400521349.5,6435597307.2,24.322132110595703,-0.7053716778755188,093038,10,8/6,7.460136890411377,汽车零部
8,600476,湘邮科技,-0.29397356510162354,20.35,22.45,969343136,3277774500.0,3277774500.0,27.901594161987305,0.4442250728607178,093050,1,2/1,12.00391960144043,软件开发
9,600650,锦江在线,4.231884002685547,17.98,18.98,1163217840,7022270148.5,9917949813.76,16.097627639770508,-0.22197559475898743,093209,3,2/1,8.0,铁路公路
10,600834,申通地铁,2.911534070968628,9.19,9.82,516853728,4387139706.95,4387139697.76,11.311705589294434,0.10893245786428452,093325,3,2/1,7.278834819793701,铁路公路
11,002550,千红制药,8.356545448303223,7.78,7.9,1280328592,7451213932.400001,9956844000.0,17.23293113708496,0.1287001371383667,093345,5,0/0,10.027854919433594,化学制药
12,600192,长城电工,8.314087867736816,9.38,9.53,914272272,4143596240.0000005,4143596240.0000005,22.366863250732422,0.4282655119895935,094733,4,5/3,13.625865936279297,电网设备
13,600658,电子城,6.334842205047607,4.7,4.86,395305888,5257349711.5,5257349688.0,7.422055244445801,-0.21231423318386078,094803,4,0/0,11.312217712402344,房地产服
14,002173,创新医疗,7.765151500701904,11.38,11.62,1219262096,4737544561.34,5021815925.76,25.733402252197266,0.08795074373483658,095203,2,0/0,10.416666030883789,医疗服务
15,000953,河化股份,3.2378580570220947,8.29,8.83,834366432,3035152996.5499997,3035152971.68,26.906972885131836,-0.1204819306731224,095618,1,0/0,13.5740966796875,化学制药
16,300149,睿智医药,17.99065399169922,10.1,10.27,1479957504,5020552551.099999,5029436400.0,30.242965698242188,0.0,100312,5,2/1,14.836448669433594,医疗服务
17,603686,福龙马,8.220024108886719,17.51,17.8,2453555280,7274186374.040001,7274186304.000001,34.73271179199219,0.0,102237,1,2/1,10.50679874420166,环保行业
18,000029,深深房Ａ,9.950522422790527,20.0,20.01,307281968,17833200000.0,20233200000.0,1.7465907335281372,-0.049975015223026276,102918,1,0/0,10.995052337646484,房地产开
19,002982,湘佳股份,9.402283668518066,16.29,16.38,397640512,2115677172.9599998,2364306295.3199997,19.216537475585938,0.18450184166431427,104354,7,0/0,9.670920372009277,农牧饲渔
20,688799,华纳药厂,13.27649211883545,46.5,49.26,745242768,6106380000.0,6106380000.0,12.200786590576172,0.06455777585506439,105149,5,0/0,22.314250946044922,化学制药
21,301633,港迪技术,14.871061325073242,80.18,83.76,316775616,1116105600.0,4464422400.0,28.804927825927734,0.0,105815,1,0/0,21.14613151550293,通用设备
22,002345,潮宏基,5.535055160522461,14.3,14.91,877420880,12398162419.5,12705731667.2,7.00269889831543,-0.27894002199172974,110130,4,0/0,11.881918907165527,珠宝首饰
23,002773,康弘药业,7.978363990783691,31.94,32.54,631856384,21932548947.260002,29420671941.760002,2.916442632675171,0.031318508088588715,110257,1,0/0,10.07437515258789,化学制药
24,603229,奥翔药业,6.1104583740234375,9.03,9.36,372383136,7497583219.349999,7497583282.559999,4.943719863891602,0.3333333432674408,111445,2,0/0,10.340775489807129,化学制药
25,688070,纵横股份,19.5618953704834,46.94,47.11,286382304,4111005200.0,4111005200.0,7.46611213684082,-0.06387055665254593,131044,1,0/0,18.135507583618164,航天航空
26,600212,绿能慧充,8.640406608581543,8.55,8.66,702833600,4401687171.150001,6021484696.8,16.340288162231445,0.7067137956619263,131134,6,2/1,8.894536018371582,电力行业
