序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,873169,七丰精工,35.6,29.97,8.21,192071.0,596804888.61,38.59,35.6,25.03,25.11,27.39,1.53,37.8,331.26,9.18,2910135884.0,1808906844.0,0.0,0.0,143.0,168.07
2,430425,乐创技术,38.31,22.28,6.98,112212.0,397642680.76,29.52,40.66,31.41,31.98,31.33,1.94,26.53,54.17,7.65,1941127973.0,1620329610.0,0.16,-0.08,72.96,109.12
3,301311,昆船智能,21.46,20.02,3.58,189117.0,380279657.14,21.59,21.46,17.6,18.02,17.88,2.96,21.68,-81.74,2.82,5150400000.0,1872221196.0,0.0,0.0,16.82,18.63
4,300946,恒而达,49.0,20.01,8.17,21310.0,104420127.0,0.0,49.0,49.0,49.0,40.83,0.24,3.77,73.43,4.9,5880294000.0,2769039000.0,0.0,0.0,78.12,80.41
5,302132,中航成飞,95.86,20.01,15.98,1080629.0,9739158417.0,22.76,95.86,77.68,78.0,79.88,1.91,18.29,409.91,13.09,256596358563.0,56630301434.0,0.0,0.0,36.94,33.55
6,300607,拓斯达,37.18,20.01,6.2,1036379.0,3662983620.04,17.01,37.18,31.91,31.93,30.98,3.44,30.69,1150.12,6.33,17733834278.0,12555313717.0,0.0,0.0,4.73,45.86
7,300581,晨曦航空,18.06,20.0,3.01,1516848.0,2520306075.36,25.65,18.06,14.2,15.03,15.05,1.86,27.57,-163.31,10.1,9934978401.0,9934978401.0,0.0,0.0,72.0,61.11
8,688552,航天南湖,40.93,19.99,6.82,262007.0,980508906.0,24.98,40.93,32.41,32.41,34.11,1.34,31.19,60.97,5.28,13803560640.0,3437847897.0,0.0,0.0,117.71,145.09
9,688648,中邮科技,32.47,19.99,5.41,95781.0,296958929.0,18.51,32.47,27.46,27.46,27.06,2.76,14.48,-49.7,2.87,4415920000.0,2147206162.0,0.0,0.0,31.62,39.42
10,301302,华如科技,27.92,19.98,4.65,150567.0,404108985.02,21.66,27.92,22.88,23.4,23.27,1.85,17.87,-27.35,2.59,4351750800.0,2351980800.0,0.0,0.0,17.71,16.09
11,301662,宏工科技,63.2,18.55,9.89,93664.0,556880434.38,16.64,63.97,55.1,55.81,53.31,3.58,59.37,72.91,3.35,5056000000.0,997063740.0,0.11,1.14,137.59,137.59
12,871263,莱赛激光,27.45,18.12,4.21,167166.0,429559331.54,34.08,29.92,22.0,22.01,23.24,2.72,38.66,1884.04,6.28,2183418759.0,1186969348.0,-0.11,0.99,52.25,89.05
13,833943,优机股份,27.2,17.7,4.09,98590.0,246642504.17,28.69,28.99,22.36,22.53,23.11,1.76,23.93,44.51,4.41,2761381482.0,1120697338.0,0.07,-0.37,61.71,65.85
14,300643,万通智控,20.89,16.57,2.97,353600.0,732465234.84,14.51,21.5,18.9,18.9,17.92,3.3,15.36,32.63,4.04,4820143162.0,4807792284.0,0.0,0.43,65.01,74.67
15,688511,*ST天微,18.2,16.29,2.55,72467.0,128536427.0,17.76,18.78,16.0,16.0,15.65,1.39,7.05,26.99,2.26,1871490384.0,1871490384.0,0.0,0.11,27.81,16.89
16,300949,奥雅股份,36.93,15.77,5.03,50966.0,179092265.61,19.69,38.28,32.0,32.28,31.9,4.75,14.86,-59.9,3.25,2234505045.0,1266738257.0,0.3,0.0,-11.2,-22.58
17,300726,宏达电子,39.88,15.73,5.42,318416.0,1227297526.85,17.12,40.88,34.98,35.99,34.46,3.47,14.93,74.64,3.29,16424173019.0,8505742909.0,0.0,0.0,32.76,28.23
18,688115,思林杰,43.72,14.54,5.55,21116.0,87411489.0,14.33,43.77,38.3,38.3,38.17,3.24,5.01,-58.1,2.31,2914812400.0,1842338940.0,-0.07,0.83,12.45,0.97
19,833454,同心传动,19.55,14.53,2.48,150562.0,287804855.48,18.98,20.48,17.24,17.59,17.07,2.26,23.83,79.37,6.34,2054705000.0,1235151894.0,0.0,0.0,29.47,68.24
20,300652,雷迪克,85.03,13.98,10.43,89015.0,722921666.36,15.7,86.78,75.07,76.5,74.6,1.06,9.67,62.43,6.12,8724769549.0,7830473411.0,-0.19,-0.69,135.15,186.1
