序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4072,300826,测绘股份,16.2,-2.23,-0.37,37459.0,60991389.52,3.08,16.62,16.11,16.59,16.57,1.34,2.33,139.6,2.02,2697366647.0,2607052117.0,0.43,0.31,-7.8,-11.38
4073,002312,川发龙蟒,11.35,-2.24,-0.26,325236.0,370253430.74,3.01,11.63,11.28,11.63,11.61,0.9,1.85,51.92,2.24,21443993326.0,19961504654.0,0.09,0.18,-18.75,-21.56
4074,301299,卓创资讯,58.8,-2.24,-1.35,13152.0,77843935.0,2.21,60.13,58.8,60.13,60.15,0.77,3.73,47.45,5.59,3528000000.0,2070976454.0,-0.08,-0.19,-34.51,0.48
4075,301567,贝隆精密,38.35,-2.24,-0.88,6965.0,26919006.0,2.5,39.29,38.31,39.29,39.23,0.94,3.28,85.88,3.68,2761200000.0,814548248.0,-0.16,0.08,-11.0,-14.55
4076,002184,海得控制,12.22,-2.24,-0.28,88409.0,108206337.63,3.12,12.5,12.11,12.44,12.5,0.67,3.68,-169.42,3.78,4300320281.0,2937339779.0,0.0,0.0,-12.09,4.62
4077,301323,新莱福,40.51,-2.24,-0.93,16774.0,68388630.96,4.25,41.87,40.11,41.53,41.44,0.7,2.5,34.88,2.0,4250426274.0,2714460173.0,-0.34,-0.17,0.42,1.61
4078,688218,江苏北人,21.42,-2.24,-0.49,37385.0,80288856.0,2.6,21.89,21.32,21.8,21.91,0.84,3.15,-33.44,2.74,2540448950.0,2540448950.0,0.0,0.09,-10.68,3.43
4079,601512,中新集团,7.42,-2.24,-0.17,70574.0,52375779.0,2.11,7.54,7.38,7.46,7.59,1.56,0.47,10.75,0.76,11121763800.0,11121763800.0,0.41,0.41,-2.37,-3.39
4080,603686,福龙马,13.09,-2.24,-0.3,229904.0,302851975.0,3.29,13.44,13.0,13.38,13.39,0.63,5.53,21.41,1.6,5437983988.0,5437983988.0,0.0,0.0,17.19,25.87
4081,002725,跃岭股份,11.77,-2.24,-0.27,81587.0,96650265.04,2.91,12.08,11.73,12.01,12.04,0.65,3.85,108.59,2.96,3013120000.0,2494374258.0,-0.08,-0.08,-6.22,9.69
4082,300274,阳光电源,62.52,-2.24,-1.43,265779.0,1661546514.77,2.5,63.6,62.0,63.58,63.95,0.79,1.67,8.47,3.18,129617178228.0,99404225676.0,0.05,0.02,-13.32,-15.32
4083,002506,协鑫集成,2.18,-2.24,-0.05,606667.0,132933663.0,3.14,2.24,2.17,2.24,2.23,0.73,1.04,-16.11,5.97,12753689811.0,12740873536.0,-0.46,-0.46,-17.11,-18.35
4084,301052,果麦文化,35.42,-2.24,-0.81,54835.0,194871284.18,3.42,36.39,35.15,36.29,36.23,0.55,6.84,-445.08,4.92,3505139787.0,2840539486.0,-0.08,0.23,14.96,39.23
