日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
2025-05-30,000688,科创50,STAR 50,688008,澜起科技,"Montage Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688009,中国通号,China Railway Signal & Communication Corporation Limited,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688012,中微公司,Advanced Micro-Fabrication Equipment Inc. China,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688036,传音控股,"SHENZHEN TRANSSION HOLDINGS CO., LTD.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688041,海光信息,"Hygon Information Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688047,龙芯中科,Loongson Technology Corporation Limited,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688065,凯赛生物,Cathay Biotech Inc.,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688072,拓荆科技,Piotech Inc.,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688082,盛美上海,"ACM Research (Shanghai) ,Inc.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688099,晶晨股份,"Amlogic (Shanghai) Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688111,金山办公,"Beijing Kingsoft Office Software, Inc.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688114,华大智造,"MGI Tech Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688120,华海清科,"Hwatsing Technology Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688122,西部超导,"Western Superconducting Technologies Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688126,沪硅产业,"National Silicon Industry Group Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688169,石头科技,"Beijing Roborock Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688180,君实生物,"Shanghai Junshi Biosciences Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688187,时代电气,"Zhuzhou CRRC Times Electric Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688188,柏楚电子,SHANGHAI FRIENDESS ELECTRONICS TECHNOLOGY CORPORATION LIMITED,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688213,思特威,"Smartsens Technology (Shanghai) Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688223,晶科能源,"Jinko Solar Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688234,天岳先进,"SICC CO., LTD.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688249,晶合集成,Nexchip Semiconductor Corporation,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688256,寒武纪,Cambricon Technologies Corporation Limited,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688271,联影医疗,"Shanghai United Imaging Healthcare Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688278,特宝生物,"Xiamen Amoytop Biotech Co., LTD.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688295,中复神鹰,"Zhongfu Shenying Carbon Fiber Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688297,中无人机,"AVIC (CHENGDU) UAS CO., LTD.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688303,大全能源,"XinJiang Daqo New Energy Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688349,三一重能,"Sany Heavy Energy Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688363,华熙生物,Bloomage Biotechnology Corporation Limited,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688375,国博电子,"Guobo Electronics Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688396,华润微,China Resources Microelectronics Limited,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688469,芯联集成,"United Nova Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688472,阿特斯,"CSI Solar Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688475,萤石网络,"Hangzhou EZVIZ Network Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688506,百利天恒,"Sichuan Biokin Pharmaceutical Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688521,芯原股份,"VeriSilicon Microelectronics (Shanghai) Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688525,佰维存储,"Biwin Storage Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688538,和辉光电,"Everdisplay Optronics (Shanghai) Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688561,奇安信,Qi An Xin Technology Group Inc.,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688563,航材股份,"Baimtec Material Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688578,艾力斯,"Shanghai Allist Pharmaceuticals Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688599,天合光能,"Trina Solar Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688617,惠泰医疗,APT Medical Inc.,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688728,格科微,GalaxyCore Inc.,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688777,中控技术,"SUPCON Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688819,天能股份,"Tianneng Battery Group Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,688981,中芯国际,Semiconductor Manufacturing International Corporation,上海证券交易所,Shanghai Stock Exchange
2025-05-30,000688,科创50,STAR 50,689009,九号公司,Ninebot Limited,上海证券交易所,Shanghai Stock Exchange
