日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
2025-05-30,000852,中证1000,CSI 1000,000012,南  玻A,CSG Holding Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000019,深粮控股,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000025,特力A,Shenzhen Tellus Holding Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000028,国药一致,China National Accord Medicines Corporation Ltd.,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000029,深深房A,"Shenzhen Special Economic Zone Real Estate and Properties (Group) Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000030,富奥股份,FAWER Automotive Parts Company,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000035,中国天楹,China Tianying Inc.,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000048,京基智农,"SHENZHEN KINGKEY SMART AGRICULTURE TIMES CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000049,德赛电池,Shenzhen Desay Battery Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000058,深赛格,Shenzhen SEG Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000059,华锦股份,"North Huajin Chemical Industries Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000061,农 产 品,Shenzhen Agricultural Products Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000062,深圳华强,Shenzhen Huaqiang Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000065,北方国际,Norinco International Cooperation Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000088,盐田港,Shenzhen Yan Tian Port Holdings Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000089,深圳机场,Shenzhen Airport Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000090,天健集团,"SHENZHEN TAGEN GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000099,中信海直,Citic Offshore Helicopter Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000156,华数传媒,"WASU MEDIA HOLDING CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000415,渤海租赁,"Bohai Leasing Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000420,吉林化纤,Jilin Chemical Fibre Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000422,湖北宜化,Hubei Yihua Chemical Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000429,粤高速A,Guangdong Provincial Expressway Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000498,山东路桥,"SHANDONG HI-SPEED ROAD&BRIDGE CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000503,国新健康,"China Reform Health Management and Services Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2025-05-30,000852,中证1000,CSI 1000,000517,荣安地产,"Rongan Property Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
