序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920068,天工股份,26.52,30.0,6.12,405593.0,914230040.2,34.41,26.52,19.5,19.8,20.4,1.29,64.68,99.45,13.91,17147832398.0,1662917002.0,0.0,0.0,573.1,573.1
2,837023,芭薇股份,35.39,29.97,8.16,184062.0,600909693.45,32.1,35.39,26.65,27.0,27.23,2.3,53.71,88.03,7.42,3036462000.0,1212688250.0,0.0,0.0,128.62,150.64
3,836419,万德股份,18.59,25.35,3.76,264682.0,484947597.26,29.8,19.27,14.85,14.85,14.83,5.08,42.02,77.27,3.23,1659308153.0,1171065041.0,-0.21,-0.75,74.88,92.64
4,301301,川宁生物,14.02,20.03,2.34,1349041.0,1809267492.87,17.64,14.02,11.96,12.01,11.68,13.1,21.9,27.08,3.81,31224783200.0,8634810845.0,0.0,0.0,0.94,18.21
5,300886,华业香料,27.16,20.02,4.53,102721.0,262031973.61,21.25,27.16,22.35,22.52,22.63,7.78,23.63,44.2,3.51,2024913800.0,1180483598.0,0.0,0.0,32.42,44.54
6,301089,拓新药业,31.48,20.02,5.25,158666.0,463989248.08,20.02,31.48,26.23,26.38,26.23,7.54,17.44,-279.38,2.57,3983620860.0,2863934333.0,0.0,0.0,9.31,11.67
7,301156,美农生物,23.8,20.02,3.97,187910.0,407469511.86,21.13,23.8,19.61,19.88,19.83,3.8,29.19,94.3,4.55,3350675265.0,1532131402.0,0.0,0.0,75.78,88.14
8,301108,洁雅股份,33.91,19.99,5.65,52437.0,166631443.68,20.03,33.91,28.25,28.48,28.26,4.84,15.23,67.73,1.48,2726273223.0,1167379997.0,0.0,0.0,21.32,31.69
9,836547,无锡晶海,29.1,15.84,3.98,89799.0,255073128.55,24.24,30.99,24.9,24.9,25.12,3.13,25.22,29.54,3.31,2260720800.0,1036076400.0,-1.12,-1.09,50.7,86.06
10,833171,国航远洋,14.28,15.63,1.93,1030724.0,1476144691.45,15.47,15.44,13.53,14.0,12.35,2.24,35.92,-128.51,5.9,7931218429.0,4097481052.0,-0.97,1.28,131.44,136.03
11,300132,青松股份,6.05,13.51,0.72,608011.0,353525991.24,17.45,6.2,5.27,5.32,5.33,6.99,11.97,409.16,2.4,3125314360.0,3073891768.0,0.17,0.17,15.9,22.72
12,300871,回盛生物,25.75,13.09,2.98,525726.0,1271334170.9,16.6,26.39,22.61,22.76,22.77,3.26,28.52,26.67,2.52,4746183402.0,4746183402.0,0.63,-0.16,126.27,155.96
13,873305,九菱科技,50.84,13.08,5.88,77659.0,379245952.83,27.36,55.8,43.5,44.0,44.96,1.57,21.41,131.44,9.84,3297875393.0,1844332390.0,1.6,1.68,109.13,171.0
14,839273,一致魔芋,53.78,12.51,5.98,98097.0,507268759.86,19.08,56.0,46.88,47.98,47.8,1.69,14.48,61.11,9.15,5549472528.0,3644088001.0,1.3,0.28,226.53,268.36
15,920016,中草香料,27.99,12.41,3.09,79841.0,217487506.37,18.59,29.25,24.62,24.8,24.9,7.06,30.29,140.87,5.89,2154724193.0,737791797.0,-0.36,-0.82,17.85,41.29
16,872351,华光源海,43.21,11.28,4.38,168270.0,725245275.39,21.81,48.87,40.4,41.5,38.83,1.67,47.72,89.27,8.29,3804011319.0,1523603569.0,2.64,2.86,216.09,319.51
17,870656,海昇药业,25.8,10.16,2.38,60708.0,152632784.25,16.05,26.88,23.12,23.12,23.42,2.56,30.35,38.91,3.1,2064000000.0,516002580.0,0.51,0.51,43.81,65.38
18,600403,大有能源,3.81,10.12,0.35,167144.0,61923252.0,10.69,3.81,3.44,3.46,3.46,1.38,0.7,-7.37,1.69,9108995252.0,9108995252.0,0.0,0.0,35.11,29.59
19,601008,连云港,6.77,10.08,0.62,1042866.0,700659024.0,4.72,6.77,6.48,6.53,6.15,1.04,8.41,92.12,2.08,8399119301.0,8399119301.0,0.0,0.0,83.97,79.58
20,000639,西王食品,3.17,10.07,0.29,1143878.0,349547079.62,11.11,3.17,2.85,2.87,2.88,4.26,10.6,113.81,1.17,3421787061.0,3421781203.0,0.0,0.0,-0.63,-11.94
21,002040,南 京 港,9.3,10.06,0.85,62776.0,58381819.5,0.0,9.3,9.3,9.3,8.45,0.27,1.29,28.4,1.37,4556146865.0,4519243349.0,0.0,0.0,40.48,41.12
22,603839,安正时尚,6.79,10.05,0.62,115181.0,74697421.0,10.05,6.79,6.17,6.17,6.17,1.71,2.89,29.4,1.44,2710650566.0,2710650566.0,0.0,0.0,22.12,23.01
