序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,837023,芭薇股份,35.39,29.97,8.16,183882.0,600275115.36,32.1,35.39,26.65,27.0,27.23,2.84,53.66,88.03,7.42,3036462000.0,1212688250.0,0.0,0.0,128.62,150.64
2,920068,天工股份,25.15,23.28,4.75,345864.0,758612429.96,30.2,25.66,19.5,19.8,20.4,1.36,55.16,94.32,13.19,16261990377.0,1577012164.0,1.29,-0.95,538.32,538.32
3,301301,川宁生物,14.02,20.03,2.34,1337289.0,1792791188.87,17.64,14.02,11.96,12.01,11.68,16.1,21.71,27.08,3.81,31224783200.0,8634810845.0,0.0,0.0,0.94,18.21
4,301089,拓新药业,31.48,20.02,5.25,153414.0,447454692.88,20.02,31.48,26.23,26.38,26.23,9.04,16.86,-279.38,2.57,3983620860.0,2863934333.0,0.0,3.62,9.31,11.67
5,301156,美农生物,23.8,20.02,3.97,186430.0,403947635.46,21.13,23.8,19.61,19.88,19.83,4.68,28.96,94.3,4.55,3350675265.0,1532131402.0,0.0,0.0,75.78,88.14
6,300886,华业香料,27.16,20.02,4.53,97855.0,248817411.41,21.25,27.16,22.35,22.52,22.63,9.18,22.51,44.2,3.51,2024913800.0,1180483598.0,3.47,4.06,32.42,44.54
7,301108,洁雅股份,33.91,19.99,5.65,52157.0,165681963.68,20.03,33.91,28.25,28.48,28.26,5.94,15.15,67.73,1.48,2726273223.0,1167379997.0,0.0,0.0,21.32,31.69
8,836419,万德股份,17.59,18.61,2.76,255576.0,468365904.58,29.8,19.27,14.85,14.85,14.83,6.08,40.57,73.12,3.05,1570050049.0,1108070687.0,0.06,0.69,65.48,82.28
9,836547,无锡晶海,29.49,17.4,4.37,82418.0,232842128.95,24.24,30.99,24.9,24.9,25.12,3.56,23.15,29.94,3.36,2291019120.0,1049961960.0,1.69,0.92,52.72,88.55
10,300132,青松股份,6.14,15.2,0.81,504942.0,290781421.24,17.45,6.2,5.27,5.32,5.33,7.2,9.94,415.25,2.44,3171806640.0,3119619084.0,4.78,6.23,17.62,24.54
11,839273,一致魔芋,54.92,14.9,7.12,85081.0,435741366.5,16.99,55.0,46.88,47.98,47.8,1.81,12.56,62.41,9.34,5667107312.0,3721333452.0,1.53,1.52,233.45,276.16
12,920016,中草香料,28.29,13.61,3.39,62836.0,168780782.38,15.18,28.4,24.62,24.8,24.9,6.89,23.84,142.38,5.95,2177818771.0,745699533.0,4.08,4.47,19.12,42.81
13,833171,国航远洋,13.85,12.15,1.5,976968.0,1400243023.77,15.47,15.44,13.53,14.0,12.35,2.63,34.05,-124.64,5.72,7692393224.0,3974097519.0,-1.77,-2.19,124.47,128.93
14,873305,九菱科技,50.33,11.94,5.37,74498.0,363344411.81,27.36,55.8,43.5,44.0,44.96,1.87,20.54,130.12,9.74,3264792851.0,1825831023.0,-0.93,-0.93,107.03,168.28
15,300871,回盛生物,25.26,10.94,2.49,477394.0,1147068702.28,15.46,26.13,22.61,22.76,22.77,3.67,25.9,26.16,2.48,4655867679.0,4655867679.0,0.08,-0.39,121.97,151.09
16,300879,大叶股份,48.32,10.8,4.71,360513.0,1655574122.19,17.43,50.0,42.4,43.0,43.61,1.46,17.93,12.59,6.99,9779911611.0,9713694607.0,-0.9,-0.49,198.82,208.16
17,872351,华光源海,42.97,10.66,4.14,160293.0,691476989.82,21.81,48.87,40.4,41.5,38.83,1.97,45.46,88.77,8.24,3782882814.0,1515141064.0,-0.35,-1.15,214.34,317.18
18,600403,大有能源,3.81,10.12,0.35,165108.0,61147536.0,10.69,3.81,3.44,3.46,3.46,1.69,0.69,-7.37,1.69,9108995252.0,9108995252.0,0.0,0.0,35.11,29.59
19,601008,连云港,6.77,10.08,0.62,1033315.0,694192997.0,4.72,6.77,6.48,6.53,6.15,1.27,8.33,92.12,2.08,8399119301.0,8399119301.0,0.0,0.0,83.97,79.58
20,000639,西王食品,3.17,10.07,0.29,1125880.0,343841713.62,11.11,3.17,2.85,2.87,2.88,5.2,10.43,113.81,1.17,3421787061.0,3421781203.0,0.0,0.0,-0.63,-11.94
21,002040,南 京 港,9.3,10.06,0.85,61317.0,57025042.5,0.0,9.3,9.3,9.3,8.45,0.32,1.26,28.4,1.37,4556146865.0,4519243349.0,0.0,0.0,40.48,41.12
22,002735,王子新材,11.72,10.05,1.07,803235.0,911668346.01,9.95,11.72,10.66,10.75,10.65,4.69,28.63,132.99,2.59,4477116801.0,3288582893.0,0.0,0.0,28.37,26.57
23,605055,迎丰股份,9.31,10.05,0.85,488299.0,440842297.0,13.48,9.31,8.17,8.17,8.46,3.41,11.1,-103.84,3.55,4096400000.0,4096400000.0,0.0,0.0,78.35,89.23
24,603839,安正时尚,6.79,10.05,0.62,109246.0,70667828.0,10.05,6.79,6.17,6.17,6.17,2.01,2.74,29.4,1.44,2710650566.0,2710650566.0,0.0,0.0,22.12,23.01
25,600223,福瑞达,8.11,10.04,0.74,329990.0,259242348.0,10.85,8.11,7.31,7.38,7.37,4.28,3.25,40.64,1.98,8244372765.0,8244372765.0,0.0,0.0,12.8,7.28
26,603630,拉芳家化,21.97,10.02,2.0,150765.0,320820577.0,11.12,21.97,19.75,19.86,19.97,1.63,6.69,94.79,2.56,4947744623.0,4947744623.0,0.0,0.0,72.86,59.43
27,002190,成飞集成,32.63,10.01,2.97,427265.0,1388099375.05,2.8,32.63,31.8,32.62,29.66,3.44,11.91,6043.0,3.45,11705338462.0,11705338462.0,0.0,0.0,91.72,68.72
28,605136,丽人丽妆,8.57,10.01,0.78,235208.0,199932911.0,6.68,8.57,8.05,8.05,7.79,3.06,5.87,-46.83,1.39,3431929345.0,3431929345.0,0.0,0.0,7.8,-0.7
29,000420,吉林化纤,4.51,10.0,0.41,2587662.0,1141380673.9,7.07,4.51,4.22,4.24,4.1,3.59,10.53,335.24,2.52,11089496227.0,11085706925.0,0.0,0.0,28.49,24.93
30,600798,宁波海运,4.07,10.0,0.37,169073.0,68812780.0,0.0,4.07,4.07,4.07,3.7,0.87,1.4,-26.43,1.25,4910594198.0,4910594198.0,0.0,0.0,37.04,34.32
