序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301137,哈焊华通,32.99,20.01,5.5,146909.0,450027503.61,16.88,32.99,28.35,28.53,27.49,1.48,14.45,243.82,4.4,5998024066.0,3355142382.0,0.0,0.0,83.48,88.84
2,301003,江苏博云,35.1,20.0,5.85,74763.0,243290761.09,19.62,35.1,29.36,29.36,29.25,1.86,9.77,27.02,3.19,3476771988.0,2686206966.0,0.0,0.0,59.91,72.65
3,688455,科捷智能,14.4,20.0,2.4,119903.0,165350425.0,20.75,14.4,11.91,12.06,12.0,5.78,9.23,-14.98,2.81,2604228005.0,1869828005.0,0.0,0.0,21.21,31.39
4,300771,智莱科技,12.9,20.0,2.15,449602.0,544511941.44,21.12,12.9,10.63,10.68,10.75,3.19,24.81,114.12,1.62,3096000000.0,2337468880.0,0.0,0.0,13.96,24.4
5,300578,会畅通讯,21.13,19.99,3.52,230849.0,465772147.36,20.44,21.13,17.53,17.6,17.61,12.83,11.89,158.87,3.53,4189439606.0,4101207361.0,0.0,0.0,-5.08,9.77
6,300678,中科信息,35.12,19.99,5.85,302199.0,1029769239.98,10.66,35.12,32.0,32.0,29.27,13.97,10.58,815.75,12.32,10409086610.0,10028478492.0,0.0,0.0,-9.67,-3.44
7,688648,中邮科技,55.07,19.72,9.07,123883.0,652046384.0,17.83,55.2,47.0,47.0,46.0,1.65,18.73,-84.29,4.87,7489520000.0,3641719845.0,0.11,-0.05,120.54,136.45
8,833781,瑞奇智造,12.82,18.7,2.02,272186.0,335597606.07,18.98,13.28,11.23,11.25,10.8,4.88,26.66,-286.96,4.89,1981549632.0,1308694189.0,-0.62,0.55,63.73,76.83
9,301536,星宸科技,62.32,16.9,9.01,155538.0,907433826.4,19.7,63.5,53.0,53.29,53.31,7.3,8.34,128.18,8.91,26240459200.0,11628187218.0,-0.72,-0.29,-24.14,-21.81
10,301070,开勒股份,74.2,15.22,9.8,68541.0,493632168.64,17.36,77.28,66.1,66.5,64.4,2.79,16.13,-231.7,6.26,4789995840.0,3153618720.0,-0.04,-0.43,27.71,33.65
11,835892,XD中科美,22.43,15.08,2.94,94184.0,214640206.86,19.65,25.2,21.37,21.51,19.49,3.55,33.76,107.17,3.56,2169674850.0,625756110.0,0.9,0.58,47.08,64.81
12,871396,常辅股份,52.62,14.64,6.72,106651.0,536527229.26,18.67,53.56,44.99,46.8,45.9,1.4,25.19,134.51,9.41,3156162334.0,2228115970.0,-1.64,0.23,177.39,230.74
13,300493,润欣科技,20.93,14.25,2.61,458335.0,892232053.25,13.86,20.97,18.43,18.46,18.32,3.41,9.15,211.2,9.58,10728195734.0,10485784474.0,1.5,2.75,-23.36,-25.6
14,300963,中洲特材,38.37,13.45,4.55,654815.0,2280961618.05,23.42,38.98,31.06,32.08,33.82,1.42,32.65,243.19,11.83,12570012000.0,7694412571.0,-1.36,0.97,310.37,340.02
15,301076,新瀚新材,44.8,13.1,5.19,161298.0,669952758.04,14.9,45.4,39.5,40.39,39.61,1.48,19.1,93.07,5.17,6026675200.0,3784230240.0,4.07,7.07,27.71,44.89
16,301112,信邦智能,38.6,11.37,3.94,149796.0,558744861.17,14.08,39.88,35.0,35.0,34.66,2.32,41.32,89.79,3.45,4256290760.0,1399516687.0,0.36,0.49,45.55,65.17
17,837748,路桥信息,28.48,10.86,2.79,38467.0,107286949.11,14.09,29.5,25.88,25.9,25.69,4.06,6.17,-83.25,6.95,2185555200.0,1775658936.0,-0.42,-0.7,14.61,45.9
18,688319,欧林生物,16.89,10.83,1.65,133012.0,217313662.0,10.5,17.1,15.5,15.66,15.24,6.77,3.28,-242.31,7.46,6856218504.0,6847363077.0,-1.05,-0.76,38.56,59.34
19,300210,森远股份,11.29,10.58,1.08,469314.0,550640120.13,10.68,12.25,11.16,11.61,10.21,2.29,9.7,164.89,13.25,5466843269.0,5461232805.0,-0.53,-0.79,0.89,10.25
20,000838,财信发展,2.59,10.21,0.24,205732.0,52493335.0,10.64,2.59,2.34,2.34,2.35,2.64,1.95,-200.63,6.7,2850197020.0,2729253564.0,0.0,0.0,-9.12,-6.5
21,600558,大西洋,5.57,10.08,0.51,1109096.0,608362441.0,8.5,5.57,5.14,5.2,5.06,2.81,12.36,30.51,2.07,4999658909.0,4999658909.0,0.0,0.0,24.89,36.86
22,605388,均瑶健康,6.99,10.08,0.64,122413.0,83069513.0,10.87,6.99,6.3,6.35,6.35,2.65,2.04,96.21,2.36,4197383160.0,4197383160.0,0.0,0.0,13.84,11.13
23,002161,远 望 谷,6.12,10.07,0.56,168161.0,102914617.68,0.0,6.12,6.12,6.12,5.56,0.57,2.36,-46.72,3.0,4527315288.0,4366370940.0,0.0,0.0,0.49,9.87
24,920128,胜业电气,38.51,10.06,3.52,58212.0,215426142.97,11.77,38.92,34.8,35.55,34.99,1.5,28.12,83.07,5.85,3126626900.0,797157000.0,-1.0,0.03,28.41,33.81
25,000510,新金路,5.91,10.06,0.54,1036745.0,597845454.36,7.45,5.91,5.51,5.53,5.37,1.61,17.09,-26.13,3.0,3832892611.0,3585389068.0,0.0,0.0,60.16,64.17
26,600650,锦江在线,15.68,10.04,1.43,330265.0,503599294.0,11.86,15.68,13.99,14.08,14.25,3.37,8.46,171.39,2.07,8649246478.0,6123981976.0,0.0,0.0,-4.39,12.16
27,600550,保变电气,9.43,10.04,0.86,1344903.0,1247703478.0,8.52,9.43,8.7,8.89,8.57,1.07,7.3,153.35,27.55,17365613566.0,17365613566.0,0.0,0.0,19.37,20.13
