序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,871263,莱赛激光,23.79,30.0,5.49,218226.0,488750715.45,18.09,23.79,20.48,20.5,18.3,5.66,42.06,1959.4,6.53,2270755500.0,1234448112.0,0.0,0.0,40.11,96.61
2,430047,诺思兰德,25.26,20.63,4.32,226646.0,496686989.21,26.22,25.26,19.77,19.91,20.94,3.09,12.58,-224.45,21.42,6928110063.0,4549488346.0,1.12,3.1,75.42,119.08
3,300651,金陵体育,20.4,20.0,3.4,165073.0,320310171.49,11.12,20.4,18.51,18.51,17.0,2.81,22.02,-387.64,3.43,2626555855.0,1529511950.0,0.0,0.0,49.67,63.07
4,300204,舒泰神,31.8,20.0,5.3,445108.0,1323072626.43,20.0,31.8,26.5,26.5,26.5,0.98,9.43,-1626.65,15.94,15193167249.0,15008941772.0,0.0,0.0,325.7,329.15
5,300703,创源股份,24.43,19.99,4.07,433833.0,984262794.93,19.5,24.43,20.46,20.46,20.36,1.25,25.57,53.73,5.0,4406972651.0,4144832473.0,0.0,0.0,68.02,73.02
6,300865,大宏立,27.74,19.98,4.62,88568.0,234215250.48,17.82,27.74,23.62,23.62,23.12,8.12,13.07,648.45,3.08,2654163200.0,1879330962.0,0.0,0.0,15.82,18.85
7,300945,曼卡龙,25.1,19.98,4.18,460527.0,1064016034.57,19.98,25.1,20.92,21.53,20.92,1.44,19.32,38.23,3.97,6577997888.0,5982158225.0,0.0,0.0,126.94,118.45
8,300238,冠昊生物,18.38,19.97,3.06,718763.0,1263359197.33,22.45,18.38,14.94,14.94,15.32,4.99,27.11,81.96,8.75,4873561784.0,4873164427.0,0.0,0.0,41.38,52.66
9,688799,华纳药厂,54.97,18.57,8.61,154015.0,747680662.0,23.12,55.0,44.28,44.28,46.36,2.32,11.73,43.79,4.02,7218660400.0,7218660400.0,2.65,3.95,86.72,86.4
10,301225,恒勃股份,83.17,17.54,12.41,78116.0,637541459.87,17.95,84.91,72.21,72.21,70.76,1.49,25.88,65.02,5.73,8598114600.0,2510070600.0,0.52,0.75,178.07,213.38
11,300702,天宇股份,26.61,17.38,3.94,216763.0,564820103.08,17.64,27.2,23.2,23.3,22.67,7.81,10.27,26.86,2.59,9259672201.0,5619086893.0,0.87,1.49,47.83,59.72
12,300149,睿智医药,12.04,17.23,1.77,1535961.0,1609624073.44,26.58,12.18,9.45,9.46,10.27,2.46,30.9,225.66,4.91,5995486464.0,5984896308.0,1.6,-0.17,79.43,87.54
13,300315,掌趣科技,5.77,14.94,0.75,5638849.0,3224376013.64,17.13,6.02,5.16,5.24,5.02,6.21,21.83,140.84,3.21,15695370791.0,14904050251.0,-0.17,-0.17,1.05,4.91
